Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       2.24,     2.25,     2.25,     2.25,     2.19
        2.0,       3.63,     3.64,     3.64,     3.64,     3.60
        3.0,       4.81,     4.81,     4.81,     4.81,     4.81
        4.0,       5.88,     5.87,     5.87,     5.87,     5.91
        5.0,       6.87,     6.85,     6.85,     6.85,     6.93
        6.0,       7.80,     7.77,     7.77,     7.77,     7.89
        7.0,       8.69,     8.65,     8.65,     8.65,     8.81
        8.0,       9.53,     9.48,     9.48,     9.48,     9.69
        9.0,      10.35,    10.29,    10.29,    10.29,    10.54
       10.0,      11.14,    11.06,    11.06,    11.06,    11.37
       11.0,      11.90,    11.82,    11.82,    11.82,    12.17
       12.0,      12.65,    12.55,    12.55,    12.55,    12.95
       13.0,      13.37,    13.26,    13.26,    13.26,    13.71
       14.0,      14.08,    13.96,    13.96,    13.96,    14.46
       15.0,      14.78,    14.64,    14.64,    14.64,    15.19
       16.0,      15.46,    15.31,    15.31,    15.31,    15.90
       17.0,      16.12,    15.96,    15.96,    15.96,    16.61
       18.0,      16.78,    16.61,    16.61,    16.61,    17.30
       19.0,      17.43,    17.24,    17.24,    17.24,    17.98
       20.0,      18.06,    17.86,    17.86,    17.86,    18.65
       21.0,      18.69,    18.48,    18.47,    18.47,    19.32
       22.0,      19.32,    19.11,    19.08,    19.08,    19.99
       23.0,      19.97,    19.79,    19.70,    19.68,    20.69
       24.0,      20.65,    20.52,    20.36,    20.30,    21.43
       25.0,      21.40,    21.34,    21.05,    20.95,    22.25
       26.0,      22.21,    22.22,    21.81,    21.65,    23.14
       27.0,      23.07,    23.16,    22.62,    22.41,    24.08
       28.0,      23.95,    24.11,    23.46,    23.20,    25.04
       29.0,      24.83,    25.02,    24.31,    24.01,    25.98
       30.0,      25.66,    25.85,    25.11,    24.81,    26.86
       31.0,      26.39,    26.55,    25.83,    25.55,    27.63
       32.0,      26.99,    27.09,    26.44,    26.19,    28.25
       33.0,      27.44,    27.45,    26.91,    26.71,    28.70
       34.0,      27.73,    27.63,    27.22,    27.08,    28.99
       35.0,      27.86,    27.66,    27.39,    27.30,    29.11
       36.0,      27.86,    27.55,    27.42,    27.39,    29.10
       37.0,      27.76,    27.36,    27.35,    27.35,    28.98
       38.0,      27.58,    27.11,    27.21,    27.23,    28.80
       39.0,      27.37,    26.83,    27.02,    27.05,    28.58
       40.0,      27.14,    26.56,    26.82,    26.84,    28.35
       41.0,      26.92,    26.29,    26.61,    26.64,    28.13
       42.0,      26.70,    26.04,    26.42,    26.44,    27.92
       43.0,      26.50,    25.80,    26.23,    26.26,    27.71
       44.0,      26.30,    25.57,    26.05,    26.08,    27.51
       45.0,      26.11,    25.35,    25.87,    25.92,    27.31
       46.0,      25.93,    25.13,    25.69,    25.76,    27.12
       47.0,      25.74,    24.92,    25.52,    25.60,    26.93
       48.0,      25.56,    24.72,    25.35,    25.45,    26.74
       49.0,      25.39,    24.52,    25.17,    25.30,    26.55
       50.0,      25.21,    24.33,    25.00,    25.15,    26.37
       51.0,      25.04,    24.14,    24.84,    25.01,    26.19
       52.0,      24.88,    23.97,    24.67,    24.87,    26.01
       53.0,      24.71,    23.79,    24.50,    24.73,    25.83
       54.0,      24.55,    23.62,    24.34,    24.59,    25.66
       55.0,      24.40,    23.46,    24.18,    24.46,    25.49
       56.0,      24.24,    23.30,    24.02,    24.33,    25.32
       57.0,      24.09,    23.15,    23.86,    24.21,    25.15
       58.0,      23.94,    23.00,    23.70,    24.08,    24.99
       59.0,      23.80,    22.86,    23.55,    23.96,    24.83
