Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       2.20,     2.14,     2.29,     2.29,     2.08
        2.0,       3.61,     3.57,     3.67,     3.67,     3.52
        3.0,       4.82,     4.82,     4.84,     4.84,     4.79
        4.0,       5.92,     5.95,     5.89,     5.89,     5.95
        5.0,       6.95,     7.02,     6.86,     6.86,     7.05
        6.0,       7.92,     8.03,     7.77,     7.77,     8.10
        7.0,       8.84,     9.00,     8.63,     8.63,     9.10
        8.0,       9.73,     9.93,     9.45,     9.45,    10.07
        9.0,      10.58,    10.83,    10.24,    10.24,    11.01
       10.0,      11.41,    11.70,    11.01,    11.01,    11.93
       11.0,      12.22,    12.56,    11.75,    11.75,    12.82
       12.0,      13.00,    13.39,    12.46,    12.46,    13.69
       13.0,      13.77,    14.20,    13.16,    13.16,    14.55
       14.0,      14.52,    15.00,    13.85,    13.85,    15.39
       15.0,      15.26,    15.78,    14.51,    14.51,    16.22
       16.0,      15.98,    16.55,    15.17,    15.17,    17.03
       17.0,      16.69,    17.31,    15.81,    15.81,    17.84
       18.0,      17.39,    18.06,    16.43,    16.43,    18.63
       19.0,      18.07,    18.79,    17.05,    17.05,    19.41
       20.0,      18.75,    19.52,    17.66,    17.66,    20.18
       21.0,      19.42,    20.23,    18.26,    18.26,    20.94
       22.0,      20.09,    20.94,    18.85,    18.84,    21.71
       23.0,      20.76,    21.66,    19.44,    19.43,    22.52
       24.0,      21.47,    22.41,    20.06,    20.04,    23.39
       25.0,      22.23,    23.20,    20.71,    20.68,    24.34
       26.0,      23.05,    24.06,    21.41,    21.37,    25.37
       27.0,      23.92,    24.96,    22.14,    22.11,    26.47
       28.0,      24.83,    25.91,    22.91,    22.89,    27.60
       29.0,      25.73,    26.86,    23.68,    23.69,    28.70
       30.0,      26.60,    27.78,    24.42,    24.46,    29.73
       31.0,      27.38,    28.62,    25.10,    25.18,    30.63
       32.0,      28.05,    29.34,    25.69,    25.80,    31.36
