Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       1.00,     0.88,     1.13,     1.13,     0.88
        2.0,       2.01,     1.83,     2.19,     2.19,     1.83
        3.0,       3.02,     2.81,     3.22,     3.22,     2.81
        4.0,       4.03,     3.82,     4.24,     4.24,     3.82
        5.0,       5.04,     4.84,     5.25,     5.25,     4.84
        6.0,       6.06,     5.87,     6.24,     6.24,     5.87
        7.0,       7.07,     6.91,     7.24,     7.24,     6.91
        8.0,       8.09,     7.96,     8.22,     8.22,     7.96
        9.0,       9.11,     9.03,     9.20,     9.20,     9.03
       10.0,      10.13,    10.09,    10.17,    10.17,    10.09
       11.0,      11.16,    11.17,    11.14,    11.14,    11.17
       12.0,      12.18,    12.25,    12.11,    12.11,    12.25
       13.0,      13.20,    13.34,    13.07,    13.07,    13.34
       14.0,      14.23,    14.43,    14.03,    14.03,    14.43
       15.0,      15.26,    15.52,    14.99,    14.99,    15.52
       16.0,      16.28,    16.63,    15.94,    15.94,    16.63
       17.0,      17.31,    17.73,    16.89,    16.89,    17.73
       18.0,      18.34,    18.84,    17.84,    17.84,    18.84
       19.0,      19.37,    19.95,    18.78,    18.78,    19.95
       20.0,      20.40,    21.07,    19.73,    19.73,    21.07
       21.0,      21.43,    22.19,    20.67,    20.67,    22.19
       22.0,      22.46,    23.31,    21.61,    21.61,    23.31
       23.0,      23.49,    24.44,    22.55,    22.55,    24.44
       24.0,      24.53,    25.57,    23.48,    23.48,    25.57
       25.0,      25.56,    26.70,    24.41,    24.41,    26.70
       26.0,      26.59,    27.84,    25.35,    25.35,    27.84
       27.0,      27.63,    28.98,    26.28,    26.28,    28.98
       28.0,      28.66,    30.12,    27.21,    27.21,    30.12
       29.0,      29.70,    31.26,    28.13,    28.13,    31.26
       30.0,      30.73,    32.41,    29.06,    29.06,    32.41
       31.0,      31.77,    33.56,    29.99,    29.99,    33.56
       32.0,      32.84,    34.75,    30.96,    30.91,    34.73
       33.0,      33.96,    36.02,    32.01,    31.86,    35.95
       34.0,      35.19,    37.40,    33.19,    32.87,    37.28
       35.0,      36.54,    38.94,    34.52,    33.98,    38.73
       36.0,      38.04,    40.63,    36.00,    35.21,    40.31
       37.0,      39.65,    42.44,    37.59,    36.56,    42.01
       38.0,      41.31,    44.29,    39.21,    37.99,    43.76
       39.0,      42.95,    46.10,    40.77,    39.44,    45.50
       40.0,      44.47,    47.76,    42.16,    40.83,    47.14
       41.0,      45.79,    49.19,    43.31,    42.07,    48.58
       42.0,      46.82,    50.32,    44.14,    43.08,    49.76
       43.0,      47.54,    51.10,    44.62,    43.80,    50.63
       44.0,      47.92,    51.52,    44.75,    44.20,    51.18
       45.0,      47.98,    51.62,    44.58,    44.29,    51.43
       46.0,      47.78,    51.46,    44.16,    44.10,    51.42
       47.0,      47.39,    51.10,    43.56,    43.68,    51.20
       48.0,      46.86,    50.62,    42.86,    43.11,    50.86
       49.0,      46.29,    50.09,    42.14,    42.46,    50.45
       50.0,      45.70,    49.56,    41.43,    41.78,    50.03
       51.0,      45.14,    49.04,    40.75,    41.13,    49.62
       52.0,      44.61,    48.56,    40.12,    40.52,    49.24
       53.0,      44.11,    48.09,    39.51,    39.96,    48.87
       54.0,      43.63,    47.64,    38.94,    39.42,    48.51
       55.0,      43.16,    47.19,    38.38,    38.91,    48.16
       56.0,      42.71,    46.76,    37.85,    38.42,    47.81
       57.0,      42.27,    46.33,    37.33,    37.94,    47.47
       58.0,      41.84,    45.91,    36.83,    37.48,    47.12
       59.0,      41.42,    45.50,    36.35,    37.03,    46.78
       60.0,      41.01,    45.10,    35.89,    36.60,    46.45
       61.0,      40.61,    44.71,    35.45,    36.18,    46.12
       62.0,      40.22,    44.32,    35.02,    35.77,    45.79
       63.0,      39.85,    43.94,    34.60,    35.38,    45.47
       64.0,      39.48,    43.57,    34.20,    34.99,    45.15
       65.0,      39.12,    43.20,    33.82,    34.62,    44.83
       66.0,      38.77,    42.84,    33.45,    34.26,    44.52
       67.0,      38.43,    42.49,    33.09,    33.92,    44.21
       68.0,      38.09,    42.15,    32.74,    33.58,    43.90
       69.0,      37.77,    41.81,    32.41,    33.25,    43.60
       70.0,      37.45,    41.48,    32.08,    32.93,    43.30
       71.0,      37.14,    41.15,    31.77,    32.62,    43.00
       72.0,      36.83,    40.83,    31.47,    32.32,    42.71
       73.0,      36.54,    40.52,    31.18,    32.03,    42.42
       74.0,      36.25,    40.21,    30.90,    31.75,    42.13
       75.0,      35.97,    39.91,    30.63,    31.47,    41.85
       76.0,      35.69,    39.62,    30.37,    31.20,    41.57
       77.0,      35.42,    39.32,    30.12,    30.94,    41.29
       78.0,      35.15,    39.04,    29.87,    30.69,    41.01
       79.0,      34.89,    38.76,    29.64,    30.44,    40.74
       80.0,      34.64,    38.48,    29.41,    30.20,    40.47
       81.0,      34.39,    38.21,    29.19,    29.97,    40.20
       82.0,      34.15,    37.95,    28.97,    29.74,    39.94
       83.0,      33.91,    37.69,    28.77,    29.52,    39.68
       84.0,      33.68,    37.43,    28.57,    29.30,    39.42
       85.0,      33.45,    37.18,    28.37,    29.09,    39.17
       86.0,      33.23,    36.94,    28.18,    28.88,    38.91
       87.0,      33.01,    36.69,    28.00,    28.68,    38.66
       88.0,      32.80,    36.46,    27.83,    28.49,    38.42
       89.0,      32.59,    36.22,    27.66,    28.30,    38.17
       90.0,      32.38,    35.99,    27.49,    28.11,    37.93
       91.0,      32.18,    35.77,    27.33,    27.93,    37.69
       92.0,      31.98,    35.55,    27.17,    27.75,    37.45
       93.0,      31.79,    35.33,    27.02,    27.57,    37.22
