Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       1.39,     1.32,     1.43,     1.61,     1.21
        2.0,       2.67,     2.59,     2.73,     2.94,     2.44
        3.0,       3.92,     3.84,     3.99,     4.18,     3.68
        4.0,       5.15,     5.08,     5.22,     5.37,     4.93
        5.0,       6.36,     6.32,     6.42,     6.52,     6.19
        6.0,       7.56,     7.55,     7.61,     7.64,     7.45
        7.0,       8.75,     8.77,     8.79,     8.74,     8.72
        8.0,       9.94,     9.99,     9.96,     9.82,     9.98
        9.0,      11.11,    11.21,    11.11,    10.88,    11.25
       10.0,      12.28,    12.42,    12.26,    11.92,    12.52
       11.0,      13.45,    13.63,    13.40,    12.95,    13.80
       12.0,      14.60,    14.84,    14.54,    13.97,    15.08
       13.0,      15.76,    16.04,    15.66,    14.98,    16.35
       14.0,      16.91,    17.24,    16.79,    15.98,    17.63
       15.0,      18.06,    18.44,    17.90,    16.97,    18.91
       16.0,      19.20,    19.64,    19.01,    17.95,    20.20
       17.0,      20.34,    20.83,    20.12,    18.92,    21.48
       18.0,      21.47,    22.03,    21.22,    19.88,    22.76
       19.0,      22.61,    23.22,    22.32,    20.84,    24.05
       20.0,      23.74,    24.41,    23.41,    21.79,    25.34
       21.0,      24.87,    25.61,    24.51,    22.74,    26.63
       22.0,      26.03,    26.86,    25.61,    23.68,    27.96
       23.0,      27.25,    28.22,    26.75,    24.64,    29.37
       24.0,      28.58,    29.74,    27.99,    25.65,    30.95
       25.0,      30.08,    31.46,    29.37,    26.75,    32.75
       26.0,      31.76,    33.37,    30.91,    27.97,    34.77
       27.0,      33.58,    35.42,    32.61,    29.33,    36.99
       28.0,      35.50,    37.52,    34.40,    30.78,    39.31
       29.0,      37.42,    39.57,    36.20,    32.28,    41.62
       30.0,      39.22,    41.43,    37.92,    33.74,    43.77
       31.0,      40.79,    43.01,    39.45,    35.07,    45.62
       32.0,      42.04,    44.22,    40.69,    36.19,    47.07
       33.0,      42.91,    45.02,    41.58,    37.02,    48.04
       34.0,      43.38,    45.39,    42.09,    37.54,    48.51
       35.0,      43.47,    45.39,    42.24,    37.73,    48.52
       36.0,      43.22,    45.07,    42.06,    37.63,    48.13
       37.0,      42.72,    44.53,    41.63,    37.29,    47.44
       38.0,      42.05,    43.86,    41.03,    36.76,    46.56
       39.0,      41.30,    43.12,    40.34,    36.14,    45.59
       40.0,      40.52,    42.38,    39.63,    35.47,    44.61
       41.0,      39.77,    41.67,    38.93,    34.81,    43.67
       42.0,      39.06,    40.99,    38.27,    34.18,    42.78
       43.0,      38.39,    40.34,    37.66,    33.60,    41.94
       44.0,      37.75,    39.72,    37.07,    33.05,    41.13
       45.0,      37.13,    39.11,    36.51,    32.53,    40.36
       46.0,      36.54,    38.52,    35.97,    32.03,    39.62
       47.0,      35.96,    37.95,    35.45,    31.54,    38.91
       48.0,      35.41,    37.40,    34.95,    31.07,    38.22
       49.0,      34.88,    36.87,    34.46,    30.62,    37.56
       50.0,      34.36,    36.35,    34.00,    30.18,    36.92
       51.0,      33.87,    35.84,    33.55,    29.76,    36.31
       52.0,      33.39,    35.35,    33.11,    29.36,    35.72
       53.0,      32.92,    34.88,    32.69,    28.96,    35.15
       54.0,      32.48,    34.42,    32.29,    28.58,    34.61
       55.0,      32.04,    33.98,    31.89,    28.22,    34.08
       56.0,      31.63,    33.55,    31.52,    27.86,    33.57
       57.0,      31.22,    33.13,    31.15,    27.52,    33.09
       58.0,      30.83,    32.72,    30.80,    27.19,    32.62
       59.0,      30.46,    32.33,    30.46,    26.87,    32.16
       60.0,      30.09,    31.95,    30.13,    26.57,    31.73
       61.0,      29.74,    31.57,    29.82,    26.27,    31.31
       62.0,      29.40,    31.22,    29.51,    25.98,    30.90
       63.0,      29.07,    30.87,    29.22,    25.70,    30.51
       64.0,      28.76,    30.53,    28.93,    25.43,    30.14
       65.0,      28.45,    30.20,    28.65,    25.17,    29.77
       66.0,      28.15,    29.88,    28.39,    24.92,    29.42
       67.0,      27.87,    29.57,    28.13,    24.67,    29.09
       68.0,      27.59,    29.27,    27.88,    24.44,    28.76
       69.0,      27.32,    28.98,    27.64,    24.21,    28.45
       70.0,      27.06,    28.70,    27.40,    23.99,    28.15
       71.0,      26.81,    28.43,    27.18,    23.77,    27.86
       72.0,      26.56,    28.16,    26.96,    23.56,    27.57
       73.0,      26.33,    27.90,    26.74,    23.36,    27.30
       74.0,      26.10,    27.65,    26.54,    23.17,    27.04
       75.0,      25.88,    27.41,    26.34,    22.98,    26.79
       76.0,      25.66,    27.17,    26.15,    22.79,    26.54
       77.0,      25.46,    26.94,    25.96,    22.61,    26.31
       78.0,      25.26,    26.72,    25.78,    22.44,    26.08
       79.0,      25.06,    26.51,    25.60,    22.27,    25.86
       80.0,      24.87,    26.30,    25.43,    22.11,    25.65
       81.0,      24.69,    26.09,    25.27,    21.95,    25.45
       82.0,      24.51,    25.89,    25.10,    21.79,    25.25
       83.0,      24.34,    25.70,    24.95,    21.64,    25.06
       84.0,      24.17,    25.51,    24.80,    21.50,    24.87
       85.0,      24.01,    25.33,    24.65,    21.35,    24.69
       86.0,      23.85,    25.16,    24.51,    21.22,    24.52
       87.0,      23.70,    24.98,    24.37,    21.08,    24.35
       88.0,      23.55,    24.82,    24.23,    20.95,    24.19
       89.0,      23.40,    24.66,    24.10,    20.82,    24.03
       90.0,      23.26,    24.50,    23.97,    20.70,    23.88
       91.0,      23.13,    24.34,    23.85,    20.58,    23.74
       92.0,      22.99,    24.20,    23.73,    20.46,    23.59
       93.0,      22.86,    24.05,    23.61,    20.34,    23.46
       94.0,      22.74,    23.91,    23.49,    20.23,    23.32
       95.0,      22.62,    23.77,    23.38,    20.12,    23.19
       96.0,      22.50,    23.64,    23.27,    20.02,    23.07
       97.0,      22.38,    23.51,    23.16,    19.91,    22.95
       98.0,      22.27,    23.38,    23.06,    19.81,    22.83
       99.0,      22.16,    23.26,    22.96,    19.71,    22.72
      100.0,      22.05,    23.14,    22.86,    19.61,    22.60
      101.0,      21.95,    23.03,    22.76,    19.52,    22.50
      102.0,      21.85,    22.91,    22.67,    19.42,    22.39
      103.0,      21.75,    22.80,    22.57,    19.33,    22.29
      104.0,      21.65,    22.69,    22.48,    19.24,    22.19
      105.0,      21.56,    22.59,    22.39,    19.16,    22.10
      106.0,      21.47,    22.49,    22.31,    19.07,    22.00
      107.0,      21.38,    22.39,    22.22,    18.99,    21.91
      108.0,      21.29,    22.29,    22.14,    18.90,    21.83
      109.0,      21.20,    22.20,    22.06,    18.82,    21.74
      110.0,      21.12,    22.11,    21.98,    18.74,    21.66
      111.0,      21.04,    22.02,    21.90,    18.67,    21.57
      112.0,      20.96,    21.93,    21.82,    18.59,    21.50
      113.0,      20.88,    21.84,    21.75,    18.51,    21.42
      114.0,      20.80,    21.76,    21.67,    18.44,    21.34
      115.0,      20.73,    21.68,    21.60,    18.37,    21.27
      116.0,      20.66,    21.60,    21.53,    18.30,    21.20
      117.0,      20.58,    21.52,    21.46,    18.23,    21.13
      118.0,      20.51,    21.45,    21.39,    18.16,    21.06
      119.0,      20.45,    21.37,    21.33,    18.09,    20.99
      120.0,      20.38,    21.30,    21.26,    18.02,    20.93
      121.0,      20.31,    21.23,    21.19,    17.96,    20.87
      122.0,      20.25,    21.16,    21.13,    17.89,    20.80
      123.0,      20.18,    21.10,    21.07,    17.83,    20.74
      124.0,      20.12,    21.03,    21.00,    17.77,    20.68
      125.0,      20.06,    20.97,    20.94,    17.71,    20.63
      126.0,      20.00,    20.90,    20.88,    17.64,    20.57
      127.0,      19.94,    20.84,    20.82,    17.58,    20.51
      128.0,      19.88,    20.78,    20.76,    17.53,    20.46
      129.0,      19.83,    20.72,    20.71,    17.47,    20.41
      130.0,      19.77,    20.67,    20.65,    17.41,    20.35
      131.0,      19.71,    20.61,    20.59,    17.35,    20.30
      132.0,      19.66,    20.56,    20.54,    17.30,    20.25
      133.0,      19.61,    20.50,    20.48,    17.24,    20.20
      134.0,      19.55,    20.45,    20.43,    17.18,    20.15
      135.0,      19.50,    20.40,    20.37,    17.13,    20.11
      136.0,      19.45,    20.35,    20.32,    17.08,    20.06
      137.0,      19.40,    20.30,    20.27,    17.02,    20.01
      138.0,      19.35,    20.25,    20.22,    16.97,    19.97
      139.0,      19.30,    20.20,    20.17,    16.92,    19.92
      140.0,      19.25,    20.15,    20.12,    16.87,    19.88
      141.0,      19.21,    20.11,    20.07,    16.81,    19.84
      142.0,      19.16,    20.06,    20.02,    16.76,    19.79
      143.0,      19.11,    20.02,    19.97,    16.71,    19.75
      144.0,      19.07,    19.98,    19.92,    16.66,    19.71
      145.0,      19.02,    19.93,    19.87,    16.62,    19.67
      146.0,      18.98,    19.89,    19.82,    16.57,    19.63
      147.0,      18.93,    19.85,    19.77,    16.52,    19.59
      148.0,      18.89,    19.81,    19.73,    16.47,    19.55
      149.0,      18.85,    19.77,    19.68,    16.42,    19.51
      150.0,      18.80,    19.73,    19.64,    16.38,    19.47
      151.0,      18.76,    19.69,    19.59,    16.33,    19.44
      152.0,      18.72,    19.66,    19.54,    16.28,    19.40
      153.0,      18.68,    19.62,    19.50,    16.24,    19.36
      154.0,      18.64,    19.58,    19.45,    16.19,    19.33
      155.0,      18.60,    19.55,    19.41,    16.14,    19.29
      156.0,      18.56,    19.51,    19.37,    16.10,    19.25
      157.0,      18.52,    19.48,    19.32,    16.05,    19.22
      158.0,      18.48,    19.44,    19.28,    16.01,    19.19
      159.0,      18.44,    19.41,    19.24,    15.97,    19.15
      160.0,      18.40,    19.37,    19.19,    15.92,    19.12
      161.0,      18.36,    19.34,    19.15,    15.88,    19.08
      162.0,      18.33,    19.31,    19.11,    15.84,    19.05
      163.0,      18.29,    19.28,    19.07,    15.79,    19.02
      164.0,      18.25,    19.25,    19.02,    15.75,    18.98
      165.0,      18.21,    19.21,    18.98,    15.71,    18.95
      166.0,      18.18,    19.18,    18.94,    15.66,    18.92
      167.0,      18.14,    19.15,    18.90,    15.62,    18.89
      168.0,      18.11,    19.12,    18.86,    15.58,    18.86
      169.0,      18.07,    19.09,    18.82,    15.54,    18.82
      170.0,      18.03,    19.07,    18.78,    15.50,    18.79
      171.0,      18.00,    19.04,    18.74,    15.46,    18.76
      172.0,      17.96,    19.01,    18.70,    15.42,    18.73
      173.0,      17.93,    18.98,    18.66,    15.38,    18.70
      174.0,      17.89,    18.95,    18.62,    15.33,    18.67
      175.0,      17.86,    18.92,    18.58,    15.29,    18.64
      176.0,      17.83,    18.90,    18.54,    15.25,    18.61
      177.0,      17.79,    18.87,    18.50,    15.21,    18.58
      178.0,      17.76,    18.84,    18.46,    15.17,    18.55
      179.0,      17.72,    18.82,    18.42,    15.14,    18.52
      180.0,      17.69,    18.79,    18.39,    15.10,    18.49
      181.0,      17.66,    18.77,    18.35,    15.06,    18.46
      182.0,      17.63,    18.74,    18.31,    15.02,    18.43
      183.0,      17.59,    18.71,    18.27,    14.98,    18.41
      184.0,      17.56,    18.69,    18.23,    14.94,    18.38
      185.0,      17.53,    18.66,    18.20,    14.90,    18.35
      186.0,      17.50,    18.64,    18.16,    14.86,    18.32
      187.0,      17.46,    18.62,    18.12,    14.82,    18.29
      188.0,      17.43,    18.59,    18.08,    14.79,    18.26
      189.0,      17.40,    18.57,    18.05,    14.75,    18.24
      190.0,      17.37,    18.54,    18.01,    14.71,    18.21
      191.0,      17.34,    18.52,    17.97,    14.67,    18.18
      192.0,      17.31,    18.50,    17.94,    14.64,    18.15
      193.0,      17.27,    18.47,    17.90,    14.60,    18.13
      194.0,      17.24,    18.45,    17.86,    14.56,    18.10
      195.0,      17.21,    18.43,    17.83,    14.52,    18.07
      196.0,      17.18,    18.40,    17.79,    14.49,    18.05
      197.0,      17.15,    18.38,    17.75,    14.45,    18.02
      198.0,      17.12,    18.36,    17.72,    14.41,    17.99
      199.0,      17.09,    18.34,    17.68,    14.38,    17.96
      200.0,      17.06,    18.31,    17.65,    14.34,    17.94
      201.0,      17.03,    18.29,    17.61,    14.30,    17.91
      202.0,      17.00,    18.27,    17.57,    14.27,    17.89
      203.0,      16.97,    18.25,    17.54,    14.23,    17.86
      204.0,      16.94,    18.23,    17.50,    14.20,    17.83
      205.0,      16.91,    18.21,    17.47,    14.16,    17.81
      206.0,      16.88,    18.18,    17.43,    14.13,    17.78
      207.0,      16.85,    18.16,    17.40,    14.09,    17.75
      208.0,      16.82,    18.14,    17.36,    14.05,    17.73
      209.0,      16.79,    18.12,    17.33,    14.02,    17.70
      210.0,      16.76,    18.10,    17.29,    13.98,    17.68
      211.0,      16.73,    18.08,    17.26,    13.95,    17.65
      212.0,      16.71,    18.06,    17.22,    13.91,    17.63
      213.0,      16.68,    18.04,    17.19,    13.88,    17.60
      214.0,      16.65,    18.02,    17.15,    13.84,    17.57
      215.0,      16.62,    18.00,    17.12,    13.81,    17.55
      216.0,      16.59,    17.98,    17.09,    13.77,    17.52
      217.0,      16.56,    17.96,    17.05,    13.74,    17.50
      218.0,      16.53,    17.94,    17.02,    13.71,    17.47
      219.0,      16.50,    17.92,    16.98,    13.67,    17.45
      220.0,      16.48,    17.90,    16.95,    13.64,    17.42
      221.0,      16.45,    17.88,    16.92,    13.60,    17.40
      222.0,      16.42,    17.86,    16.88,    13.57,    17.37
      223.0,      16.39,    17.84,    16.85,    13.54,    17.35
      224.0,      16.36,    17.82,    16.81,    13.50,    17.32
      225.0,      16.34,    17.80,    16.78,    13.47,    17.30
      226.0,      16.31,    17.78,    16.75,    13.43,    17.27
