Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       1.43,     1.31,     1.48,     1.68,     1.25
        2.0,       2.72,     2.58,     2.79,     3.01,     2.50
        3.0,       3.97,     3.83,     4.04,     4.24,     3.75
        4.0,       5.18,     5.08,     5.26,     5.41,     4.99
        5.0,       6.38,     6.31,     6.45,     6.53,     6.24
        6.0,       7.57,     7.54,     7.62,     7.62,     7.49
        7.0,       8.74,     8.76,     8.78,     8.67,     8.74
        8.0,       9.90,     9.98,     9.92,     9.71,     9.98
        9.0,      11.05,    11.20,    11.05,    10.72,    11.23
       10.0,      12.20,    12.41,    12.17,    11.72,    12.48
       11.0,      13.33,    13.62,    13.28,    12.70,    13.73
       12.0,      14.46,    14.83,    14.38,    13.67,    14.97
       13.0,      15.59,    16.03,    15.48,    14.63,    16.22
       14.0,      16.71,    17.24,    16.57,    15.57,    17.47
       15.0,      17.83,    18.44,    17.65,    16.51,    18.71
       16.0,      18.94,    19.63,    18.72,    17.43,    19.96
       17.0,      20.04,    20.83,    19.79,    18.35,    21.21
       18.0,      21.15,    22.03,    20.85,    19.26,    22.45
       19.0,      22.25,    23.22,    21.91,    20.15,    23.70
       20.0,      23.34,    24.41,    22.97,    21.05,    24.95
       21.0,      24.44,    25.61,    24.02,    21.93,    26.20
       22.0,      25.56,    26.87,    25.08,    22.81,    27.47
       23.0,      26.74,    28.24,    26.18,    23.71,    28.81
       24.0,      28.03,    29.79,    27.39,    24.64,    30.29
       25.0,      29.48,    31.56,    28.74,    25.66,    31.95
       26.0,      31.10,    33.54,    30.25,    26.80,    33.82
       27.0,      32.87,    35.67,    31.92,    28.05,    35.86
       28.0,      34.74,    37.87,    33.68,    29.39,    38.01
       29.0,      36.59,    40.00,    35.45,    30.76,    40.16
       30.0,      38.33,    41.93,    37.12,    32.10,    42.18
       31.0,      39.85,    43.55,    38.59,    33.33,    43.95
       32.0,      41.06,    44.76,    39.77,    34.36,    45.37
       33.0,      41.90,    45.51,    40.60,    35.13,    46.36
       34.0,      42.34,    45.81,    41.05,    35.62,    46.90
       35.0,      42.41,    45.70,    41.13,    35.81,    47.01
       36.0,      42.16,    45.25,    40.89,    35.73,    46.76
       37.0,      41.66,    44.56,    40.41,    35.43,    46.22
       38.0,      40.99,    43.73,    39.76,    34.97,    45.49
       39.0,      40.24,    42.85,    39.03,    34.41,    44.67
       40.0,      39.47,    41.96,    38.27,    33.81,    43.84
       41.0,      38.73,    41.12,    37.54,    33.23,    43.03
       42.0,      38.02,    40.32,    36.85,    32.67,    42.26
       43.0,      37.36,    39.56,    36.20,    32.15,    41.55
       44.0,      36.73,    38.83,    35.58,    31.66,    40.86
       45.0,      36.13,    38.13,    34.99,    31.19,    40.21
       46.0,      35.55,    37.46,    34.42,    30.74,    39.57
       47.0,      34.99,    36.81,    33.87,    30.31,    38.96
       48.0,      34.45,    36.19,    33.34,    29.89,    38.38
       49.0,      33.93,    35.59,    32.83,    29.49,    37.81
       50.0,      33.43,    35.01,    32.34,    29.10,    37.26
       51.0,      32.94,    34.45,    31.87,    28.72,    36.74
       52.0,      32.48,    33.92,    31.41,    28.36,    36.23
       53.0,      32.03,    33.41,    30.97,    28.00,    35.74
       54.0,      31.60,    32.91,    30.55,    27.66,    35.27
