Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       0.86,     0.72,     0.72,     0.96,     1.05
        2.0,       1.48,     1.30,     1.30,     1.61,     1.71
        3.0,       2.02,     1.83,     1.83,     2.17,     2.27
        4.0,       2.53,     2.33,     2.33,     2.68,     2.78
        5.0,       3.01,     2.81,     2.81,     3.16,     3.25
        6.0,       3.46,     3.28,     3.28,     3.61,     3.69
        7.0,       3.91,     3.73,     3.73,     4.05,     4.11
        8.0,       4.33,     4.18,     4.18,     4.47,     4.52
        9.0,       4.75,     4.61,     4.61,     4.87,     4.90
       10.0,       5.16,     5.04,     5.04,     5.27,     5.28
       11.0,       5.56,     5.47,     5.47,     5.65,     5.65
       12.0,       5.95,     5.88,     5.88,     6.02,     6.00
       13.0,       6.33,     6.29,     6.29,     6.39,     6.35
       14.0,       6.71,     6.70,     6.70,     6.75,     6.69
       15.0,       7.08,     7.10,     7.10,     7.10,     7.02
       16.0,       7.45,     7.50,     7.50,     7.45,     7.34
       17.0,       7.81,     7.89,     7.89,     7.79,     7.66
       18.0,       8.17,     8.28,     8.28,     8.12,     7.98
       19.0,       8.52,     8.67,     8.67,     8.45,     8.28
       20.0,       8.87,     9.05,     9.05,     8.78,     8.59
       21.0,       9.21,     9.43,     9.43,     9.10,     8.89
       22.0,       9.56,     9.81,     9.81,     9.42,     9.18
       23.0,       9.89,    10.19,    10.19,     9.73,     9.47
       24.0,      10.23,    10.56,    10.56,    10.04,     9.76
       25.0,      10.56,    10.93,    10.93,    10.35,    10.04
       26.0,      10.89,    11.30,    11.30,    10.65,    10.32
       27.0,      11.22,    11.66,    11.66,    10.95,    10.60
       28.0,      11.54,    12.02,    12.02,    11.25,    10.87
       29.0,      11.87,    12.39,    12.39,    11.54,    11.15
       30.0,      12.19,    12.75,    12.75,    11.84,    11.41
       31.0,      12.50,    13.10,    13.10,    12.13,    11.68
       32.0,      12.82,    13.46,    13.46,    12.41,    11.94
       33.0,      13.13,    13.81,    13.81,    12.70,    12.20
       34.0,      13.44,    14.17,    14.17,    12.98,    12.46
       35.0,      13.75,    14.52,    14.52,    13.26,    12.72
       36.0,      14.06,    14.87,    14.87,    13.54,    12.97
       37.0,      14.37,    15.21,    15.21,    13.82,    13.22
       38.0,      14.67,    15.56,    15.56,    14.09,    13.47
       39.0,      14.97,    15.90,    15.90,    14.36,    13.72
