Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       1.64,     1.60,     1.67,     1.70,     1.60
        2.0,       2.96,     2.91,     2.99,     3.03,     2.91
        3.0,       4.18,     4.14,     4.21,     4.24,     4.14
        4.0,       5.35,     5.32,     5.36,     5.38,     5.32
        5.0,       6.46,     6.46,     6.47,     6.47,     6.46
        6.0,       7.55,     7.57,     7.54,     7.52,     7.57
        7.0,       8.61,     8.65,     8.58,     8.55,     8.65
        8.0,       9.64,     9.71,     9.60,     9.55,     9.71
        9.0,      10.66,    10.76,    10.60,    10.53,    10.76
       10.0,      11.66,    11.79,    11.59,    11.49,    11.79
       11.0,      12.65,    12.81,    12.55,    12.43,    12.81
       12.0,      13.62,    13.81,    13.51,    13.36,    13.81
       13.0,      14.58,    14.81,    14.45,    14.28,    14.81
       14.0,      15.53,    15.79,    15.37,    15.18,    15.79
       15.0,      16.47,    16.76,    16.29,    16.07,    16.76
       16.0,      17.40,    17.73,    17.20,    16.96,    17.73
       17.0,      18.33,    18.69,    18.10,    17.83,    18.69
       18.0,      19.24,    19.64,    18.99,    18.69,    19.64
       19.0,      20.15,    20.58,    19.87,    19.55,    20.58
       20.0,      21.05,    21.52,    20.75,    20.40,    21.52
       21.0,      21.95,    22.46,    21.63,    21.24,    22.45
       22.0,      22.86,    23.44,    22.52,    22.08,    23.38
       23.0,      23.81,    24.50,    23.49,    22.92,    24.32
       24.0,      24.84,    25.68,    24.56,    23.81,    25.30
       25.0,      25.98,    27.02,    25.78,    24.77,    26.36
       26.0,      27.25,    28.50,    27.13,    25.84,    27.52
       27.0,      28.62,    30.09,    28.58,    27.02,    28.78
       28.0,      30.06,    31.72,    30.08,    28.28,    30.13
       29.0,      31.48,    33.30,    31.55,    29.59,    31.51
       30.0,      32.83,    34.73,    32.88,    30.86,    32.85
       31.0,      34.01,    35.92,    34.01,    32.02,    34.09
       32.0,      34.96,    36.82,    34.87,    33.00,    35.15
       33.0,      35.63,    37.38,    35.41,    33.74,    35.98
       34.0,      36.00,    37.62,    35.65,    34.20,    36.55
       35.0,      36.10,    37.55,    35.60,    34.38,    36.85
       36.0,      35.94,    37.25,    35.32,    34.30,    36.91
       37.0,      35.60,    36.77,    34.86,    34.01,    36.76
       38.0,      35.13,    36.19,    34.30,    33.56,    36.46
       39.0,      34.59,    35.57,    33.69,    33.02,    36.08
       40.0,      34.03,    34.95,    33.08,    32.44,    35.66
       41.0,      33.49,    34.35,    32.49,    31.86,    35.24
       42.0,      32.97,    33.79,    31.93,    31.32,    34.84
       43.0,      32.48,    33.25,    31.40,    30.81,    34.47
       44.0,      32.02,    32.74,    30.89,    30.33,    34.12
       45.0,      31.57,    32.24,    30.40,    29.88,    33.78
       46.0,      31.14,    31.76,    29.92,    29.44,    33.46
       47.0,      30.73,    31.29,    29.46,    29.01,    33.15
       48.0,      30.33,    30.85,    29.01,    28.61,    32.84
       49.0,      29.94,    30.42,    28.58,    28.21,    32.55
       50.0,      29.56,    30.00,    28.17,    27.83,    32.26
       51.0,      29.20,    29.60,    27.76,    27.46,    31.98
       52.0,      28.85,    29.21,    27.38,    27.10,    31.71
       53.0,      28.51,    28.84,    27.00,    26.76,    31.44
       54.0,      28.18,    28.48,    26.64,    26.42,    31.19
       55.0,      27.86,    28.13,    26.29,    26.10,    30.94
       56.0,      27.56,    27.79,    25.95,    25.79,    30.70
       57.0,      27.26,    27.47,    25.62,    25.49,    30.46
       58.0,      26.97,    27.16,    25.30,    25.20,    30.23
       59.0,      26.69,    26.86,    25.00,    24.92,    30.01
       60.0,      26.42,    26.56,    24.70,    24.64,    29.79
       61.0,      26.16,    26.28,    24.41,    24.38,    29.57
       62.0,      25.91,    26.01,    24.13,    24.12,    29.37
       63.0,      25.66,    25.75,    23.87,    23.88,    29.16
       64.0,      25.43,    25.49,    23.61,    23.64,    28.97
       65.0,      25.20,    25.25,    23.36,    23.40,    28.77
       66.0,      24.97,    25.01,    23.11,    23.18,    28.59
       67.0,      24.76,    24.78,    22.88,    22.96,    28.40
       68.0,      24.55,    24.56,    22.65,    22.75,    28.22
       69.0,      24.34,    24.35,    22.43,    22.55,    28.05
       70.0,      24.15,    24.15,    22.22,    22.35,    27.88
       71.0,      23.96,    23.95,    22.01,    22.16,    27.71
       72.0,      23.77,    23.75,    21.81,    21.97,    27.55
       73.0,      23.59,    23.57,    21.62,    21.79,    27.39
       74.0,      23.42,    23.39,    21.43,    21.61,    27.23
       75.0,      23.25,    23.21,    21.25,    21.44,    27.08
       76.0,      23.08,    23.05,    21.08,    21.28,    26.93
       77.0,      22.92,    22.88,    20.91,    21.12,    26.78
       78.0,      22.77,    22.73,    20.74,    20.96,    26.64
       79.0,      22.61,    22.57,    20.59,    20.81,    26.49
       80.0,      22.47,    22.43,    20.43,    20.66,    26.36
       81.0,      22.33,    22.28,    20.28,    20.52,    26.22
       82.0,      22.19,    22.15,    20.14,    20.38,    26.09
       83.0,      22.05,    22.01,    20.00,    20.24,    25.95
       84.0,      21.92,    21.88,    19.86,    20.11,    25.83
       85.0,      21.79,    21.76,    19.73,    19.98,    25.70
       86.0,      21.67,    21.64,    19.60,    19.85,    25.57
       87.0,      21.55,    21.52,    19.48,    19.73,    25.45
       88.0,      21.43,    21.40,    19.36,    19.61,    25.33
       89.0,      21.31,    21.29,    19.24,    19.49,    25.21
       90.0,      21.20,    21.19,    19.13,    19.38,    25.10
       91.0,      21.09,    21.08,    19.02,    19.27,    24.98
       92.0,      20.98,    20.98,    18.92,    19.16,    24.87
       93.0,      20.88,    20.89,    18.81,    19.06,    24.76
       94.0,      20.78,    20.79,    18.71,    18.95,    24.65
       95.0,      20.68,    20.70,    18.62,    18.85,    24.54
       96.0,      20.58,    20.61,    18.52,    18.76,    24.44
       97.0,      20.49,    20.52,    18.43,    18.66,    24.33
       98.0,      20.39,    20.44,    18.34,    18.57,    24.23
       99.0,      20.30,    20.36,    18.25,    18.47,    24.13
      100.0,      20.22,    20.28,    18.17,    18.39,    24.03
      101.0,      20.13,    20.20,    18.09,    18.30,    23.93
      102.0,      20.04,    20.13,    18.01,    18.21,    23.83
      103.0,      19.96,    20.06,    17.93,    18.13,    23.73
      104.0,      19.88,    19.98,    17.86,    18.04,    23.64
      105.0,      19.80,    19.92,    17.79,    17.96,    23.54
      106.0,      19.72,    19.85,    17.72,    17.88,    23.45
      107.0,      19.65,    19.78,    17.65,    17.81,    23.36
      108.0,      19.57,    19.72,    17.58,    17.73,    23.27
      109.0,      19.50,    19.66,    17.51,    17.66,    23.18
      110.0,      19.43,    19.60,    17.45,    17.58,    23.09
      111.0,      19.36,    19.54,    17.39,    17.51,    23.00
      112.0,      19.29,    19.48,    17.33,    17.44,    22.91
      113.0,      19.22,    19.43,    17.27,    17.37,    22.82
      114.0,      19.16,    19.37,    17.21,    17.30,    22.74
      115.0,      19.09,    19.32,    17.16,    17.23,    22.65
      116.0,      19.03,    19.27,    17.10,    17.17,    22.57
      117.0,      18.96,    19.22,    17.05,    17.10,    22.49
      118.0,      18.90,    19.17,    17.00,    17.04,    22.40
      119.0,      18.84,    19.12,    16.95,    16.97,    22.32
      120.0,      18.78,    19.08,    16.90,    16.91,    22.24
      121.0,      18.72,    19.03,    16.85,    16.85,    22.16
      122.0,      18.67,    18.99,    16.80,    16.79,    22.08
      123.0,      18.61,    18.94,    16.76,    16.73,    22.00
      124.0,      18.55,    18.90,    16.71,    16.67,    21.92
      125.0,      18.50,    18.86,    16.67,    16.61,    21.85
      126.0,      18.44,    18.82,    16.63,    16.56,    21.77
      127.0,      18.39,    18.78,    16.59,    16.50,    21.69
      128.0,      18.34,    18.74,    16.54,    16.45,    21.62
      129.0,      18.28,    18.70,    16.50,    16.39,    21.54
      130.0,      18.23,    18.66,    16.47,    16.34,    21.47
      131.0,      18.18,    18.62,    16.43,    16.28,    21.39
      132.0,      18.13,    18.59,    16.39,    16.23,    21.32
      133.0,      18.08,    18.55,    16.35,    16.18,    21.24
      134.0,      18.03,    18.52,    16.32,    16.13,    21.17
      135.0,      17.98,    18.48,    16.28,    16.07,    21.10
      136.0,      17.94,    18.45,    16.25,    16.02,    21.03
      137.0,      17.89,    18.42,    16.21,    15.97,    20.96
      138.0,      17.84,    18.38,    16.18,    15.92,    20.88
      139.0,      17.80,    18.35,    16.15,    15.88,    20.81
      140.0,      17.75,    18.32,    16.12,    15.83,    20.74
      141.0,      17.71,    18.29,    16.08,    15.78,    20.67
      142.0,      17.66,    18.26,    16.05,    15.73,    20.60
      143.0,      17.62,    18.23,    16.02,    15.68,    20.54
      144.0,      17.57,    18.20,    15.99,    15.64,    20.47
      145.0,      17.53,    18.17,    15.96,    15.59,    20.40
      146.0,      17.49,    18.14,    15.94,    15.54,    20.33
      147.0,      17.45,    18.11,    15.91,    15.50,    20.26
      148.0,      17.40,    18.09,    15.88,    15.45,    20.20
      149.0,      17.36,    18.06,    15.85,    15.41,    20.13
      150.0,      17.32,    18.03,    15.83,    15.36,    20.06
      151.0,      17.28,    18.00,    15.80,    15.32,    20.00
      152.0,      17.24,    17.98,    15.77,    15.28,    19.93
      153.0,      17.20,    17.95,    15.75,    15.23,    19.87
      154.0,      17.16,    17.93,    15.72,    15.19,    19.80
      155.0,      17.12,    17.90,    15.70,    15.15,    19.74
      156.0,      17.08,    17.88,    15.67,    15.10,    19.67
      157.0,      17.04,    17.85,    15.65,    15.06,    19.61
      158.0,      17.00,    17.83,    15.62,    15.02,    19.55
      159.0,      16.97,    17.80,    15.60,    14.98,    19.48
      160.0,      16.93,    17.78,    15.58,    14.94,    19.42
      161.0,      16.89,    17.75,    15.55,    14.90,    19.36
      162.0,      16.85,    17.73,    15.53,    14.86,    19.29
      163.0,      16.82,    17.71,    15.51,    14.81,    19.23
      164.0,      16.78,    17.69,    15.49,    14.77,    19.17
      165.0,      16.74,    17.66,    15.46,    14.73,    19.11
      166.0,      16.71,    17.64,    15.44,    14.69,    19.05
      167.0,      16.67,    17.62,    15.42,    14.65,    18.98
      168.0,      16.63,    17.60,    15.40,    14.62,    18.92
      169.0,      16.60,    17.57,    15.38,    14.58,    18.86
      170.0,      16.56,    17.55,    15.36,    14.54,    18.80
      171.0,      16.53,    17.53,    15.34,    14.50,    18.74
      172.0,      16.49,    17.51,    15.32,    14.46,    18.68
      173.0,      16.46,    17.49,    15.30,    14.42,    18.62
