Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       1.02,     0.89,     1.01,     1.23,     0.95
        2.0,       1.95,     1.76,     1.95,     2.22,     1.85
        3.0,       2.84,     2.64,     2.85,     3.15,     2.74
        4.0,       3.72,     3.51,     3.73,     4.03,     3.62
        5.0,       4.59,     4.38,     4.60,     4.88,     4.49
        6.0,       5.44,     5.25,     5.46,     5.70,     5.36
        7.0,       6.29,     6.12,     6.31,     6.51,     6.22
        8.0,       7.13,     6.99,     7.15,     7.30,     7.08
        9.0,       7.96,     7.86,     7.99,     8.08,     7.93
       10.0,       8.79,     8.72,     8.82,     8.84,     8.78
       11.0,       9.61,     9.59,     9.64,     9.59,     9.62
       12.0,      10.43,    10.45,    10.46,    10.34,    10.47
       13.0,      11.24,    11.32,    11.28,    11.07,    11.31
       14.0,      12.06,    12.18,    12.09,    11.80,    12.15
       15.0,      12.86,    13.04,    12.90,    12.52,    12.98
       16.0,      13.67,    13.91,    13.71,    13.23,    13.82
       17.0,      14.47,    14.77,    14.51,    13.94,    14.65
       18.0,      15.27,    15.63,    15.31,    14.64,    15.48
       19.0,      16.06,    16.49,    16.11,    15.34,    16.31
       20.0,      16.86,    17.36,    16.90,    16.03,    17.14
       21.0,      17.65,    18.22,    17.70,    16.71,    17.97
       22.0,      18.44,    19.08,    18.49,    17.39,    18.80
       23.0,      19.23,    19.94,    19.28,    18.07,    19.62
       24.0,      20.01,    20.80,    20.06,    18.74,    20.44
       25.0,      20.79,    21.66,    20.85,    19.41,    21.27
       26.0,      21.58,    22.52,    21.63,    20.07,    22.09
       27.0,      22.36,    23.38,    22.41,    20.74,    22.91
       28.0,      23.14,    24.24,    23.19,    21.39,    23.73
       29.0,      23.91,    25.10,    23.96,    22.05,    24.54
       30.0,      24.69,    25.96,    24.74,    22.70,    25.36
       31.0,      25.46,    26.81,    25.51,    23.35,    26.18
       32.0,      26.23,    27.67,    26.28,    23.99,    26.99
       33.0,      27.01,    28.53,    27.05,    24.63,    27.81
       34.0,      27.78,    29.39,    27.82,    25.27,    28.62
       35.0,      28.54,    30.25,    28.59,    25.91,    29.43
       36.0,      29.31,    31.11,    29.36,    26.54,    30.24
       37.0,      30.08,    31.96,    30.12,    27.18,    31.05
       38.0,      30.84,    32.82,    30.88,    27.80,    31.86
       39.0,      31.61,    33.68,    31.65,    28.43,    32.67
       40.0,      32.37,    34.54,    32.41,    29.06,    33.48
       41.0,      33.14,    35.40,    33.17,    29.68,    34.30
       42.0,      33.93,    36.29,    33.96,    30.33,    35.14
       43.0,      34.79,    37.26,    34.82,    31.02,    36.05
       44.0,      35.75,    38.36,    35.77,    31.80,    37.07
       45.0,      36.83,    39.60,    36.84,    32.67,    38.22
       46.0,      38.04,    40.98,    38.03,    33.64,    39.50
       47.0,      39.33,    42.46,    39.30,    34.67,    40.88
       48.0,      40.63,    43.96,    40.59,    35.71,    42.27
       49.0,      41.88,    45.39,    41.82,    36.71,    43.60
       50.0,      42.98,    46.64,    42.90,    37.59,    44.78
       51.0,      43.85,    47.63,    43.76,    38.28,    45.71
       52.0,      44.43,    48.29,    44.35,    38.75,    46.33
       53.0,      44.71,    48.59,    44.64,    38.98,    46.63
       54.0,      44.68,    48.54,    44.63,    38.96,    46.59
       55.0,      44.39,    48.17,    44.37,    38.73,    46.27
       56.0,      43.88,    47.56,    43.89,    38.33,    45.72
       57.0,      43.22,    46.78,    43.28,    37.82,    45.02
       58.0,      42.50,    45.92,    42.59,    37.24,    44.23
       59.0,      41.75,    45.03,    41.89,    36.66,    43.43
       60.0,      41.03,    44.18,    41.21,    36.09,    42.65
       61.0,      40.35,    43.37,    40.57,    35.55,    41.91
       62.0,      39.72,    42.62,    39.97,    35.05,    41.23
       63.0,      39.12,    41.91,    39.40,    34.58,    40.58
       64.0,      38.54,    41.23,    38.86,    34.12,    39.96
       65.0,      37.99,    40.58,    38.33,    33.68,    39.36
       66.0,      37.46,    39.95,    37.83,    33.26,    38.79
