Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
      105.0,      21.66,    25.18,    24.83,    16.18,    20.47
      106.0,      21.54,    25.06,    24.70,    16.09,    20.31
      107.0,      21.42,    24.94,    24.58,    16.00,    20.17
      108.0,      21.30,    24.83,    24.46,    15.91,    20.02
      109.0,      21.19,    24.71,    24.34,    15.82,    19.87
      110.0,      21.07,    24.60,    24.22,    15.74,    19.73
      111.0,      20.96,    24.50,    24.10,    15.66,    19.59
      112.0,      20.85,    24.39,    23.98,    15.58,    19.46
      113.0,      20.75,    24.29,    23.87,    15.50,    19.32
      114.0,      20.64,    24.18,    23.76,    15.42,    19.19
      115.0,      20.54,    24.08,    23.65,    15.35,    19.06
      116.0,      20.43,    23.99,    23.54,    15.27,    18.94
      117.0,      20.34,    23.89,    23.44,    15.20,    18.81
      118.0,      20.24,    23.80,    23.33,    15.13,    18.69
      119.0,      20.14,    23.71,    23.23,    15.06,    18.57
      120.0,      20.05,    23.62,    23.13,    15.00,    18.45
      121.0,      19.95,    23.53,    23.03,    14.93,    18.33
      122.0,      19.86,    23.44,    22.93,    14.86,    18.22
      123.0,      19.77,    23.36,    22.83,    14.80,    18.10
      124.0,      19.68,    23.27,    22.74,    14.74,    17.99
      125.0,      19.60,    23.19,    22.64,    14.68,    17.88
      126.0,      19.51,    23.11,    22.55,    14.62,    17.77
      127.0,      19.43,    23.03,    22.46,    14.56,    17.67
      128.0,      19.35,    22.95,    22.37,    14.50,    17.56
      129.0,      19.27,    22.88,    22.28,    14.44,    17.46
      130.0,      19.19,    22.80,    22.19,    14.39,    17.36
      131.0,      19.11,    22.73,    22.11,    14.33,    17.26
      132.0,      19.03,    22.66,    22.02,    14.28,    17.16
      133.0,      18.95,    22.58,    21.94,    14.23,    17.07
      134.0,      18.88,    22.51,    21.85,    14.17,    16.97
      135.0,      18.81,    22.44,    21.77,    14.12,    16.88
      136.0,      18.73,    22.38,    21.69,    14.07,    16.79
      137.0,      18.66,    22.31,    21.61,    14.03,    16.70
      138.0,      18.59,    22.24,    21.53,    13.98,    16.61
      139.0,      18.52,    22.18,    21.46,    13.93,    16.52
      140.0,      18.45,    22.11,    21.38,    13.88,    16.44
      141.0,      18.39,    22.05,    21.30,    13.84,    16.35
      142.0,      18.32,    21.99,    21.23,    13.79,    16.27
      143.0,      18.25,    21.93,    21.15,    13.75,    16.19
      144.0,      18.19,    21.87,    21.08,    13.70,    16.10
      145.0,      18.13,    21.81,    21.01,    13.66,    16.02
      146.0,      18.06,    21.75,    20.94,    13.62,    15.95
      147.0,      18.00,    21.69,    20.87,    13.58,    15.87
      148.0,      17.94,    21.63,    20.80,    13.54,    15.79
      149.0,      17.88,    21.58,    20.73,    13.50,    15.72
      150.0,      17.82,    21.52,    20.66,    13.46,    15.64
      151.0,      17.76,    21.46,    20.60,    13.42,    15.57
      152.0,      17.70,    21.41,    20.53,    13.38,    15.50
      153.0,      17.65,    21.35,    20.47,    13.34,    15.43
      154.0,      17.59,    21.30,    20.40,    13.30,    15.35
      155.0,      17.53,    21.25,    20.34,    13.27,    15.29
      156.0,      17.48,    21.20,    20.27,    13.23,    15.22
      157.0,      17.42,    21.14,    20.21,    13.20,    15.15
      158.0,      17.37,    21.09,    20.15,    13.16,    15.08
      159.0,      17.32,    21.04,    20.09,    13.13,    15.02
      160.0,      17.27,    20.99,    20.03,    13.09,    14.95
      161.0,      17.21,    20.94,    19.97,    13.06,    14.89
      162.0,      17.16,    20.89,    19.91,    13.02,    14.83
      163.0,      17.11,    20.84,    19.85,    12.99,    14.76
      164.0,      17.06,    20.80,    19.79,    12.96,    14.70
      165.0,      17.01,    20.75,    19.73,    12.93,    14.64
      166.0,      16.96,    20.70,    19.68,    12.89,    14.58
      167.0,      16.91,    20.65,    19.62,    12.86,    14.52
      168.0,      16.87,    20.61,    19.56,    12.83,    14.46
      169.0,      16.82,    20.56,    19.51,    12.80,    14.41
      170.0,      16.77,    20.52,    19.45,    12.77,    14.35
      171.0,      16.73,    20.47,    19.40,    12.74,    14.29
      172.0,      16.68,    20.43,    19.34,    12.71,    14.24
      173.0,      16.63,    20.38,    19.29,    12.68,    14.18
      174.0,      16.59,    20.34,    19.24,    12.65,    14.13
      175.0,      16.54,    20.29,    19.18,    12.62,    14.08
      176.0,      16.50,    20.25,    19.13,    12.60,    14.02
      177.0,      16.46,    20.21,    19.08,    12.57,    13.97
