Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       1.80,     1.38,     1.80,     2.25,     1.80
        2.0,       3.53,     2.98,     3.55,     4.05,     3.55
        3.0,       5.24,     4.69,     5.28,     5.71,     5.28
        4.0,       6.94,     6.47,     7.00,     7.28,     7.00
        5.0,       8.63,     8.30,     8.72,     8.80,     8.72
        6.0,      10.32,    10.17,    10.43,    10.27,    10.43
        7.0,      12.01,    12.08,    12.13,    11.70,    12.13
        8.0,      13.70,    14.03,    13.83,    13.10,    13.83
        9.0,      15.38,    16.00,    15.53,    14.47,    15.53
       10.0,      17.07,    18.00,    17.22,    15.83,    17.22
       11.0,      18.75,    20.02,    18.91,    17.16,    18.91
       12.0,      20.47,    22.11,    20.63,    18.49,    20.64
       13.0,      22.27,    24.32,    22.44,    19.87,    22.45
       14.0,      24.23,    26.75,    24.39,    21.36,    24.42
       15.0,      26.42,    29.48,    26.57,    23.01,    26.63
       16.0,      28.87,    32.54,    28.97,    24.87,    29.10
       17.0,      31.54,    35.89,    31.59,    26.91,    31.79
       18.0,      34.37,    39.44,    34.35,    29.07,    34.63
       19.0,      37.23,    43.05,    37.12,    31.25,    37.50
       20.0,      39.96,    46.52,    39.78,    33.32,    40.23
       21.0,      42.43,    49.68,    42.18,    35.18,    42.69
       22.0,      44.50,    52.36,    44.20,    36.69,    44.73
       23.0,      46.07,    54.45,    45.75,    37.80,    46.28
       24.0,      47.11,    55.89,    46.81,    38.47,    47.28
       25.0,      47.63,    56.70,    47.38,    38.71,    47.76
       26.0,      47.70,    56.94,    47.51,    38.56,    47.78
       27.0,      47.39,    56.73,    47.30,    38.11,    47.42
       28.0,      46.83,    56.19,    46.85,    37.45,    46.82
       29.0,      46.12,    55.48,    46.27,    36.67,    46.07
       30.0,      45.36,    54.68,    45.62,    35.86,    45.26
       31.0,      44.59,    53.88,    44.98,    35.05,    44.47
       32.0,      43.86,    53.11,    44.36,    34.29,    43.70
       33.0,      43.17,    52.38,    43.77,    33.57,    42.97
       34.0,      42.50,    51.66,    43.19,    32.88,    42.26
       35.0,      41.85,    50.97,    42.63,    32.22,    41.58
       36.0,      41.21,    50.28,    42.08,    31.59,    40.91
       37.0,      40.60,    49.61,    41.54,    30.98,    40.26
       38.0,      40.00,    48.96,    41.01,    30.39,    39.63
       39.0,      39.41,    48.31,    40.50,    29.83,    39.01
       40.0,      38.84,    47.68,    39.99,    29.29,    38.42
       41.0,      38.29,    47.06,    39.50,    28.76,    37.83
       42.0,      37.75,    46.46,    39.01,    28.26,    37.27
       43.0,      37.22,    45.86,    38.54,    27.78,    36.71
       44.0,      36.71,    45.28,    38.07,    27.31,    36.18
       45.0,      36.21,    44.71,    37.62,    26.87,    35.65
       46.0,      35.73,    44.15,    37.17,    26.44,    35.14
       47.0,      35.25,    43.60,    36.73,    26.02,    34.65
       48.0,      34.79,    43.07,    36.31,    25.62,    34.17
       49.0,      34.34,    42.54,    35.89,    25.24,    33.70
       50.0,      33.90,    42.02,    35.48,    24.87,    33.24
       51.0,      33.48,    41.52,    35.08,    24.51,    32.79
       52.0,      33.06,    41.02,    34.69,    24.17,    32.36
       53.0,      32.65,    40.54,    34.30,    23.84,    31.94
       54.0,      32.26,    40.06,    33.92,    23.52,    31.53
       55.0,      31.87,    39.59,    33.56,    23.22,    31.13
       56.0,      31.50,    39.13,    33.19,    22.92,    30.74
       57.0,      31.13,    38.68,    32.84,    22.64,    30.36
       58.0,      30.77,    38.24,    32.49,    22.37,    29.99
       59.0,      30.42,    37.81,    32.15,    22.10,    29.63
       60.0,      30.09,    37.39,    31.82,    21.85,    29.28
       61.0,      29.75,    36.98,    31.50,    21.61,    28.94
       62.0,      29.43,    36.57,    31.18,    21.37,    28.61
       63.0,      29.11,    36.17,    30.86,    21.14,    28.28
       64.0,      28.81,    35.78,    30.56,    20.92,    27.97
       65.0,      28.51,    35.40,    30.26,    20.71,    27.66
       66.0,      28.21,    35.02,    29.97,    20.51,    27.36
       67.0,      27.93,    34.65,    29.68,    20.31,    27.07
       68.0,      27.65,    34.29,    29.40,    20.12,    26.78
       69.0,      27.38,    33.94,    29.12,    19.94,    26.51
       70.0,      27.11,    33.59,    28.85,    19.77,    26.24
       71.0,      26.85,    33.25,    28.58,    19.60,    25.98
       72.0,      26.60,    32.92,    28.32,    19.43,    25.72
       73.0,      26.35,    32.59,    28.07,    19.28,    25.47
       74.0,      26.11,    32.27,    27.82,    19.12,    25.23
       75.0,      25.87,    31.95,    27.58,    18.98,    24.99
       76.0,      25.64,    31.64,    27.34,    18.83,    24.76
       77.0,      25.42,    31.34,    27.10,    18.70,    24.54
       78.0,      25.20,    31.04,    26.87,    18.56,    24.32
       79.0,      24.99,    30.75,    26.65,    18.44,    24.11
       80.0,      24.78,    30.47,    26.43,    18.31,    23.90
       81.0,      24.57,    30.19,    26.21,    18.19,    23.69
       82.0,      24.37,    29.91,    26.00,    18.08,    23.50
       83.0,      24.18,    29.64,    25.79,    17.97,    23.30
       84.0,      23.99,    29.38,    25.59,    17.86,    23.12
       85.0,      23.80,    29.12,    25.39,    17.75,    22.93
       86.0,      23.62,    28.87,    25.19,    17.65,    22.75
       87.0,      23.44,    28.62,    25.00,    17.55,    22.58
       88.0,      23.26,    28.37,    24.81,    17.46,    22.41
       89.0,      23.09,    28.13,    24.63,    17.37,    22.25
       90.0,      22.93,    27.90,    24.45,    17.28,    22.08
       91.0,      22.76,    27.67,    24.27,    17.19,    21.93
       92.0,      22.61,    27.44,    24.10,    17.11,    21.77
       93.0,      22.45,    27.22,    23.93,    17.03,    21.62
       94.0,      22.30,    27.00,    23.76,    16.95,    21.48
       95.0,      22.15,    26.79,    23.60,    16.88,    21.33
       96.0,      22.00,    26.58,    23.44,    16.80,    21.20
       97.0,      21.86,    26.37,    23.28,    16.73,    21.06
