Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
      105.0,      24.17,    24.78,    22.23,    25.57,    24.08
      106.0,      24.08,    24.69,    22.15,    25.48,    23.99
      107.0,      23.99,    24.60,    22.06,    25.39,    23.89
      108.0,      23.90,    24.51,    21.98,    25.30,    23.80
      109.0,      23.81,    24.42,    21.90,    25.21,    23.71
      110.0,      23.72,    24.34,    21.82,    25.12,    23.61
      111.0,      23.64,    24.25,    21.74,    25.03,    23.52
      112.0,      23.55,    24.16,    21.66,    24.94,    23.43
      113.0,      23.46,    24.08,    21.58,    24.86,    23.34
      114.0,      23.38,    23.99,    21.51,    24.77,    23.25
      115.0,      23.30,    23.91,    21.43,    24.68,    23.16
      116.0,      23.21,    23.83,    21.36,    24.59,    23.07
      117.0,      23.13,    23.75,    21.28,    24.50,    22.99
      118.0,      23.05,    23.66,    21.21,    24.42,    22.90
      119.0,      22.97,    23.58,    21.14,    24.33,    22.81
      120.0,      22.89,    23.50,    21.07,    24.24,    22.73
      121.0,      22.81,    23.42,    21.00,    24.16,    22.64
      122.0,      22.73,    23.34,    20.93,    24.07,    22.56
      123.0,      22.65,    23.27,    20.86,    23.99,    22.48
      124.0,      22.57,    23.19,    20.79,    23.90,    22.39
      125.0,      22.49,    23.11,    20.73,    23.82,    22.31
      126.0,      22.41,    23.03,    20.66,    23.73,    22.23
      127.0,      22.34,    22.96,    20.59,    23.65,    22.15
      128.0,      22.26,    22.88,    20.53,    23.57,    22.07
      129.0,      22.19,    22.81,    20.47,    23.48,    21.99
      130.0,      22.11,    22.73,    20.40,    23.40,    21.91
      131.0,      22.04,    22.66,    20.34,    23.32,    21.83
      132.0,      21.96,    22.58,    20.28,    23.24,    21.76
      133.0,      21.89,    22.51,    20.22,    23.15,    21.68
      134.0,      21.82,    22.44,    20.16,    23.07,    21.60
      135.0,      21.74,    22.37,    20.10,    22.99,    21.53
      136.0,      21.67,    22.30,    20.04,    22.91,    21.45
      137.0,      21.60,    22.22,    19.98,    22.83,    21.38
      138.0,      21.53,    22.15,    19.92,    22.75,    21.30
      139.0,      21.46,    22.09,    19.86,    22.67,    21.23
      140.0,      21.39,    22.02,    19.81,    22.59,    21.16
      141.0,      21.32,    21.95,    19.75,    22.51,    21.08
      142.0,      21.25,    21.88,    19.70,    22.43,    21.01
      143.0,      21.19,    21.81,    19.64,    22.35,    20.94
      144.0,      21.12,    21.74,    19.59,    22.27,    20.87
      145.0,      21.05,    21.68,    19.53,    22.19,    20.80
      146.0,      20.98,    21.61,    19.48,    22.12,    20.73
      147.0,      20.92,    21.55,    19.43,    22.04,    20.66
      148.0,      20.85,    21.48,    19.38,    21.96,    20.59
      149.0,      20.79,    21.42,    19.32,    21.88,    20.52
      150.0,      20.72,    21.35,    19.27,    21.81,    20.45
      151.0,      20.66,    21.29,    19.22,    21.73,    20.39
      152.0,      20.59,    21.23,    19.17,    21.65,    20.32
      153.0,      20.53,    21.16,    19.12,    21.58,    20.25
      154.0,      20.47,    21.10,    19.07,    21.50,    20.19
      155.0,      20.40,    21.04,    19.03,    21.43,    20.12
