Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       2.10,     2.07,     2.13,     2.15,     2.07
        2.0,       3.79,     3.76,     3.81,     3.83,     3.76
        3.0,       5.35,     5.34,     5.37,     5.38,     5.34
        4.0,       6.84,     6.84,     6.84,     6.84,     6.84
        5.0,       8.27,     8.29,     8.25,     8.24,     8.29
        6.0,       9.66,     9.71,     9.63,     9.59,     9.71
        7.0,      11.01,    11.09,    10.96,    10.91,    11.09
        8.0,      12.33,    12.44,    12.27,    12.19,    12.44
        9.0,      13.64,    13.77,    13.55,    13.45,    13.77
       10.0,      14.91,    15.08,    14.80,    14.69,    15.08
       11.0,      16.18,    16.38,    16.04,    15.91,    16.38
       12.0,      17.43,    17.67,    17.26,    17.12,    17.68
       13.0,      18.72,    18.99,    18.49,    18.36,    19.02
       14.0,      20.07,    20.40,    19.75,    19.67,    20.46
       15.0,      21.53,    21.94,    21.08,    21.08,    22.01
       16.0,      23.12,    23.63,    22.54,    22.60,    23.70
       17.0,      24.83,    25.46,    24.11,    24.23,    25.51
       18.0,      26.63,    27.39,    25.80,    25.94,    27.38
       19.0,      28.44,    29.34,    27.53,    27.64,    29.25
       20.0,      30.19,    31.21,    29.25,    29.28,    31.03
       21.0,      31.80,    32.90,    30.87,    30.78,    32.63
       22.0,      33.18,    34.34,    32.30,    32.07,    34.00
       23.0,      34.28,    35.46,    33.48,    33.09,    35.07
       24.0,      35.06,    36.23,    34.35,    33.84,    35.84
       25.0,      35.54,    36.65,    34.91,    34.31,    36.31
       26.0,      35.75,    36.77,    35.16,    34.53,    36.52
       27.0,      35.72,    36.64,    35.16,    34.55,    36.52
       28.0,      35.53,    36.34,    34.96,    34.44,    36.38
       29.0,      35.24,    35.93,    34.63,    34.24,    36.15
       30.0,      34.90,    35.49,    34.24,    33.99,    35.89
       31.0,      34.56,    35.04,    33.82,    33.75,    35.63
       32.0,      34.23,    34.61,    33.42,    33.51,    35.38
       33.0,      33.92,    34.21,    33.05,    33.28,    35.13
       34.0,      33.62,    33.83,    32.70,    33.06,    34.89
       35.0,      33.33,    33.46,    32.36,    32.84,    34.66
       36.0,      33.05,    33.10,    32.04,    32.62,    34.43
       37.0,      32.77,    32.76,    31.72,    32.40,    34.20
       38.0,      32.50,    32.42,    31.41,    32.19,    33.97
       39.0,      32.23,    32.09,    31.11,    31.98,    33.75
       40.0,      31.98,    31.78,    30.82,    31.77,    33.53
       41.0,      31.72,    31.47,    30.54,    31.57,    33.31
       42.0,      31.47,    31.18,    30.27,    31.36,    33.09
       43.0,      31.23,    30.89,    30.00,    31.16,    32.88
       44.0,      30.99,    30.61,    29.74,    30.96,    32.67
       45.0,      30.76,    30.34,    29.49,    30.76,    32.46
       46.0,      30.53,    30.08,    29.24,    30.56,    32.25
       47.0,      30.31,    29.83,    29.00,    30.37,    32.04
       48.0,      30.09,    29.58,    28.77,    30.18,    31.84
       49.0,      29.88,    29.35,    28.54,    29.99,    31.64
       50.0,      29.67,    29.11,    28.32,    29.80,    31.45
       51.0,      29.46,    28.89,    28.10,    29.61,    31.25
       52.0,      29.26,    28.67,    27.89,    29.43,    31.06
       53.0,      29.06,    28.46,    27.69,    29.24,    30.87
       54.0,      28.87,    28.26,    27.49,    29.06,    30.68
       55.0,      28.68,    28.06,    27.29,    28.88,    30.49
       56.0,      28.49,    27.86,    27.10,    28.71,    30.31
       57.0,      28.31,    27.67,    26.91,    28.53,    30.12
       58.0,      28.13,    27.49,    26.73,    28.36,    29.94
       59.0,      27.95,    27.31,    26.56,    28.19,    29.77
       60.0,      27.78,    27.14,    26.38,    28.01,    29.59
       61.0,      27.61,    26.97,    26.21,    27.85,    29.41
       62.0,      27.44,    26.81,    26.05,    27.68,    29.24
       63.0,      27.28,    26.65,    25.89,    27.51,    29.07
       64.0,      27.12,    26.49,    25.73,    27.35,    28.90
       65.0,      26.96,    26.34,    25.57,    27.19,    28.74
       66.0,      26.80,    26.20,    25.42,    27.03,    28.57
       67.0,      26.65,    26.05,    25.27,    26.87,    28.41
       68.0,      26.50,    25.91,    25.13,    26.71,    28.25
       69.0,      26.35,    25.78,    24.99,    26.56,    28.09
       70.0,      26.21,    25.65,    24.85,    26.40,    27.93
       71.0,      26.06,    25.52,    24.71,    26.25,    27.78
       72.0,      25.92,    25.39,    24.58,    26.10,    27.62
       73.0,      25.78,    25.27,    24.44,    25.95,    27.47
       74.0,      25.65,    25.15,    24.32,    25.80,    27.32
       75.0,      25.51,    25.03,    24.19,    25.65,    27.17
       76.0,      25.38,    24.92,    24.07,    25.51,    27.02
       77.0,      25.25,    24.81,    23.95,    25.36,    26.88
       78.0,      25.12,    24.70,    23.83,    25.22,    26.73
       79.0,      24.99,    24.59,    23.71,    25.08,    26.59
       80.0,      24.87,    24.49,    23.59,    24.94,    26.45
       81.0,      24.75,    24.39,    23.48,    24.80,    26.31
       82.0,      24.62,    24.29,    23.37,    24.66,    26.17
       83.0,      24.50,    24.19,    23.26,    24.53,    26.04
       84.0,      24.39,    24.10,    23.15,    24.39,    25.90
       85.0,      24.27,    24.01,    23.05,    24.26,    25.77
       86.0,      24.16,    23.92,    22.94,    24.13,    25.64
       87.0,      24.04,    23.83,    22.84,    24.00,    25.51
       88.0,      23.93,    23.74,    22.74,    23.87,    25.38
       89.0,      23.82,    23.65,    22.64,    23.74,    25.25
       90.0,      23.71,    23.57,    22.54,    23.62,    25.12
       91.0,      23.61,    23.49,    22.45,    23.49,    25.00
       92.0,      23.50,    23.41,    22.35,    23.37,    24.87
       93.0,      23.40,    23.33,    22.26,    23.24,    24.75
       94.0,      23.29,    23.25,    22.17,    23.12,    24.63
       95.0,      23.19,    23.18,    22.08,    23.00,    24.51
       96.0,      23.09,    23.10,    21.99,    22.88,    24.39
       97.0,      22.99,    23.03,    21.90,    22.76,    24.28
       98.0,      22.89,    22.96,    21.81,    22.65,    24.16
       99.0,      22.80,    22.89,    21.72,    22.53,    24.05
      100.0,      22.70,    22.82,    21.64,    22.41,    23.93
      101.0,      22.61,    22.75,    21.56,    22.30,    23.82
      102.0,      22.51,    22.68,    21.47,    22.19,    23.71
      103.0,      22.42,    22.62,    21.39,    22.08,    23.60
      104.0,      22.33,    22.55,    21.31,    21.97,    23.49
