Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
      105.0,      21.93,    26.38,    22.33,    21.04,    17.96
      106.0,      21.80,    26.33,    22.13,    20.89,    17.86
      107.0,      21.68,    26.27,    21.93,    20.75,    17.77
      108.0,      21.56,    26.21,    21.74,    20.62,    17.68
      109.0,      21.45,    26.16,    21.55,    20.49,    17.59
      110.0,      21.33,    26.10,    21.36,    20.36,    17.50
      111.0,      21.22,    26.04,    21.18,    20.24,    17.42
      112.0,      21.11,    25.99,    21.01,    20.12,    17.33
      113.0,      21.00,    25.93,    20.84,    20.01,    17.24
      114.0,      20.90,    25.87,    20.67,    19.90,    17.16
      115.0,      20.80,    25.82,    20.51,    19.79,    17.07
      116.0,      20.70,    25.76,    20.35,    19.69,    16.99
      117.0,      20.60,    25.70,    20.19,    19.59,    16.91
      118.0,      20.50,    25.65,    20.04,    19.49,    16.82
      119.0,      20.41,    25.59,    19.89,    19.40,    16.74
      120.0,      20.31,    25.54,    19.75,    19.31,    16.66
      121.0,      20.22,    25.48,    19.61,    19.22,    16.58
      122.0,      20.13,    25.43,    19.47,    19.13,    16.50
      123.0,      20.04,    25.37,    19.33,    19.05,    16.42
      124.0,      19.96,    25.32,    19.20,    18.97,    16.34
      125.0,      19.87,    25.26,    19.07,    18.89,    16.26
      126.0,      19.79,    25.21,    18.95,    18.82,    16.19
      127.0,      19.71,    25.15,    18.83,    18.74,    16.11
      128.0,      19.63,    25.10,    18.71,    18.67,    16.03
      129.0,      19.55,    25.04,    18.59,    18.60,    15.96
      130.0,      19.47,    24.99,    18.48,    18.53,    15.88
      131.0,      19.39,    24.94,    18.36,    18.47,    15.81
      132.0,      19.32,    24.88,    18.26,    18.40,    15.73
      133.0,      19.24,    24.83,    18.15,    18.34,    15.66
      134.0,      19.17,    24.77,    18.05,    18.28,    15.58
      135.0,      19.10,    24.72,    17.94,    18.22,    15.51
      136.0,      19.03,    24.67,    17.84,    18.16,    15.44
      137.0,      18.96,    24.61,    17.75,    18.11,    15.37
      138.0,      18.89,    24.56,    17.65,    18.05,    15.30
      139.0,      18.82,    24.51,    17.56,    18.00,    15.23
      140.0,      18.76,    24.45,    17.47,    17.95,    15.16
      141.0,      18.69,    24.40,    17.38,    17.90,    15.08
      142.0,      18.63,    24.35,    17.29,    17.85,    15.02
      143.0,      18.56,    24.30,    17.21,    17.80,    14.95
      144.0,      18.50,    24.24,    17.13,    17.75,    14.88
      145.0,      18.44,    24.19,    17.05,    17.70,    14.81
      146.0,      18.38,    24.14,    16.97,    17.66,    14.74
      147.0,      18.32,    24.09,    16.89,    17.61,    14.67
      148.0,      18.26,    24.04,    16.81,    17.57,    14.61
      149.0,      18.20,    23.98,    16.74,    17.53,    14.54
      150.0,      18.14,    23.93,    16.66,    17.49,    14.47
      151.0,      18.08,    23.88,    16.59,    17.45,    14.41
      152.0,      18.03,    23.83,    16.52,    17.41,    14.34
      153.0,      17.97,    23.78,    16.46,    17.37,    14.28
      154.0,      17.91,    23.73,    16.39,    17.33,    14.21
      155.0,      17.86,    23.67,    16.32,    17.29,    14.15
      156.0,      17.81,    23.62,    16.26,    17.26,    14.08
      157.0,      17.75,    23.57,    16.20,    17.22,    14.02
      158.0,      17.70,    23.52,    16.13,    17.18,    13.96
      159.0,      17.65,    23.47,    16.07,    17.15,    13.89
      160.0,      17.60,    23.42,    16.02,    17.11,    13.83
      161.0,      17.54,    23.37,    15.96,    17.08,    13.77
      162.0,      17.49,    23.32,    15.90,    17.05,    13.71
      163.0,      17.44,    23.27,    15.84,    17.02,    13.64
      164.0,      17.39,    23.22,    15.79,    16.98,    13.58
      165.0,      17.34,    23.17,    15.74,    16.95,    13.52
      166.0,      17.30,    23.12,    15.68,    16.92,    13.46
      167.0,      17.25,    23.07,    15.63,    16.89,    13.40
      168.0,      17.20,    23.02,    15.58,    16.86,    13.34
      169.0,      17.15,    22.97,    15.53,    16.83,    13.28
      170.0,      17.11,    22.92,    15.48,    16.80,    13.22
      171.0,      17.06,    22.87,    15.44,    16.77,    13.16
      172.0,      17.01,    22.82,    15.39,    16.74,    13.10
      173.0,      16.97,    22.77,    15.34,    16.71,    13.04
      174.0,      16.92,    22.73,    15.30,    16.69,    12.98
      175.0,      16.88,    22.68,    15.25,    16.66,    12.93
      176.0,      16.84,    22.63,    15.21,    16.63,    12.87
      177.0,      16.79,    22.58,    15.17,    16.60,    12.81
      178.0,      16.75,    22.53,    15.13,    16.58,    12.75
      179.0,      16.70,    22.48,    15.09,    16.55,    12.70
      180.0,      16.66,    22.44,    15.04,    16.53,    12.64
      181.0,      16.62,    22.39,    15.01,    16.50,    12.58
      182.0,      16.58,    22.34,    14.97,    16.47,    12.53
      183.0,      16.54,    22.29,    14.93,    16.45,    12.47
      184.0,      16.49,    22.24,    14.89,    16.42,    12.42
      185.0,      16.45,    22.20,    14.85,    16.40,    12.36
      186.0,      16.41,    22.15,    14.82,    16.38,    12.31
      187.0,      16.37,    22.10,    14.78,    16.35,    12.25
      188.0,      16.33,    22.05,    14.74,    16.33,    12.20
      189.0,      16.29,    22.01,    14.71,    16.30,    12.14
      190.0,      16.25,    21.96,    14.68,    16.28,    12.09
      191.0,      16.21,    21.91,    14.64,    16.26,    12.03
      192.0,      16.17,    21.87,    14.61,    16.23,    11.98
      193.0,      16.13,    21.82,    14.58,    16.21,    11.93
      194.0,      16.09,    21.77,    14.54,    16.19,    11.88
      195.0,      16.06,    21.73,    14.51,    16.16,    11.82
      196.0,      16.02,    21.68,    14.48,    16.14,    11.77
      197.0,      15.98,    21.63,    14.45,    16.12,    11.72
      198.0,      15.94,    21.59,    14.42,    16.10,    11.67
      199.0,      15.90,    21.54,    14.39,    16.07,    11.61
      200.0,      15.87,    21.49,    14.36,    16.05,    11.56
      201.0,      15.83,    21.45,    14.33,    16.03,    11.51
      202.0,      15.79,    21.40,    14.30,    16.01,    11.46
      203.0,      15.76,    21.36,    14.27,    15.99,    11.41
      204.0,      15.72,    21.31,    14.25,    15.96,    11.36
      205.0,      15.68,    21.27,    14.22,    15.94,    11.31
      206.0,      15.65,    21.22,    14.19,    15.92,    11.26
      207.0,      15.61,    21.17,    14.16,    15.90,    11.21
      208.0,      15.58,    21.13,    14.14,    15.88,    11.16
      209.0,      15.54,    21.08,    14.11,    15.86,    11.11
      210.0,      15.51,    21.04,    14.09,    15.84,    11.06
      211.0,      15.47,    20.99,    14.06,    15.82,    11.01
      212.0,      15.44,    20.95,    14.04,    15.80,    10.96
      213.0,      15.40,    20.90,    14.01,    15.78,    10.91
      214.0,      15.37,    20.86,    13.99,    15.76,    10.87
      215.0,      15.33,    20.82,    13.96,    15.73,    10.82
      216.0,      15.30,    20.77,    13.94,    15.71,    10.77
      217.0,      15.26,    20.73,    13.91,    15.69,    10.72
      218.0,      15.23,    20.68,    13.89,    15.67,    10.67
      219.0,      15.20,    20.64,    13.87,    15.65,    10.63
      220.0,      15.16,    20.60,    13.84,    15.63,    10.58
      221.0,      15.13,    20.55,    13.82,    15.61,    10.53
      222.0,      15.10,    20.51,    13.80,    15.59,    10.49
      223.0,      15.06,    20.46,    13.78,    15.57,    10.44
      224.0,      15.03,    20.42,    13.76,    15.55,    10.39
      225.0,      15.00,    20.38,    13.73,    15.53,    10.35
      226.0,      14.97,    20.33,    13.71,    15.52,    10.30
      227.0,      14.93,    20.29,    13.69,    15.50,    10.26
      228.0,      14.90,    20.25,    13.67,    15.48,    10.21
      229.0,      14.87,    20.20,    13.65,    15.46,    10.17
      230.0,      14.84,    20.16,    13.63,    15.44,    10.12
      231.0,      14.81,    20.12,    13.61,    15.42,    10.08
      232.0,      14.77,    20.08,    13.59,    15.40,    10.03
      233.0,      14.74,    20.03,    13.57,    15.38,     9.99
      234.0,      14.71,    19.99,    13.55,    15.36,     9.94
      235.0,      14.68,    19.95,    13.53,    15.34,     9.90
      236.0,      14.65,    19.91,    13.51,    15.32,     9.86
