Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
      105.0,      28.68,    28.45,    25.65,    28.11,    32.49
      106.0,      28.50,    28.26,    25.47,    27.98,    32.27
      107.0,      28.32,    28.06,    25.30,    27.86,    32.05
      108.0,      28.14,    27.88,    25.13,    27.73,    31.84
      109.0,      27.97,    27.69,    24.97,    27.61,    31.62
      110.0,      27.80,    27.51,    24.80,    27.48,    31.41
      111.0,      27.63,    27.34,    24.64,    27.36,    31.21
      112.0,      27.47,    27.16,    24.48,    27.23,    31.00
      113.0,      27.31,    26.99,    24.32,    27.11,    30.80
      114.0,      27.14,    26.82,    24.16,    26.99,    30.60
      115.0,      26.99,    26.66,    24.01,    26.87,    30.40
      116.0,      26.83,    26.50,    23.86,    26.75,    30.21
      117.0,      26.67,    26.34,    23.70,    26.63,    30.02
      118.0,      26.52,    26.19,    23.56,    26.51,    29.83
      119.0,      26.37,    26.04,    23.41,    26.39,    29.64
      120.0,      26.22,    25.89,    23.26,    26.27,    29.46
      121.0,      26.07,    25.74,    23.12,    26.16,    29.28
      122.0,      25.93,    25.60,    22.98,    26.04,    29.10
      123.0,      25.79,    25.46,    22.84,    25.93,    28.92
      124.0,      25.64,    25.32,    22.70,    25.81,    28.75
      125.0,      25.51,    25.18,    22.56,    25.70,    28.57
      126.0,      25.37,    25.05,    22.43,    25.59,    28.40
      127.0,      25.23,    24.92,    22.30,    25.47,    28.24
      128.0,      25.10,    24.79,    22.17,    25.36,    28.07
      129.0,      24.97,    24.67,    22.04,    25.25,    27.91
      130.0,      24.83,    24.54,    21.91,    25.14,    27.74
      131.0,      24.71,    24.42,    21.78,    25.03,    27.58
      132.0,      24.58,    24.30,    21.66,    24.92,    27.43
      133.0,      24.45,    24.19,    21.53,    24.82,    27.27
      134.0,      24.33,    24.07,    21.41,    24.71,    27.12
      135.0,      24.20,    23.96,    21.29,    24.60,    26.97
      136.0,      24.08,    23.85,    21.17,    24.50,    26.82
      137.0,      23.96,    23.74,    21.05,    24.39,    26.67
      138.0,      23.84,    23.63,    20.93,    24.29,    26.53
      139.0,      23.73,    23.53,    20.82,    24.18,    26.38
      140.0,      23.61,    23.43,    20.71,    24.08,    26.24
      141.0,      23.50,    23.33,    20.59,    23.98,    26.10
      142.0,      23.39,    23.23,    20.48,    23.87,    25.96
      143.0,      23.27,    23.13,    20.37,    23.77,    25.82
      144.0,      23.16,    23.03,    20.26,    23.67,    25.69
      145.0,      23.06,    22.94,    20.16,    23.57,    25.56
      146.0,      22.95,    22.85,    20.05,    23.47,    25.42
      147.0,      22.84,    22.76,    19.94,    23.37,    25.30
      148.0,      22.74,    22.67,    19.84,    23.27,    25.17
      149.0,      22.63,    22.58,    19.74,    23.18,    25.04
      150.0,      22.53,    22.49,    19.64,    23.08,    24.92
      151.0,      22.43,    22.41,    19.54,    22.98,    24.79
      152.0,      22.33,    22.32,    19.44,    22.89,    24.67
      153.0,      22.23,    22.24,    19.34,    22.79,    24.55
      154.0,      22.13,    22.16,    19.24,    22.70,    24.43
      155.0,      22.04,    22.08,    19.15,    22.60,    24.31
      156.0,      21.94,    22.00,    19.05,    22.51,    24.20
      157.0,      21.84,    21.93,    18.96,    22.41,    24.08
      158.0,      21.75,    21.85,    18.86,    22.32,    23.97
      159.0,      21.66,    21.78,    18.77,    22.23,    23.86
      160.0,      21.57,    21.70,    18.68,    22.14,    23.75
      161.0,      21.48,    21.63,    18.59,    22.05,    23.64
      162.0,      21.39,    21.56,    18.50,    21.96,    23.53
      163.0,      21.30,    21.49,    18.41,    21.87,    23.42
      164.0,      21.21,    21.42,    18.33,    21.78,    23.32
      165.0,      21.13,    21.36,    18.24,    21.69,    23.22
      166.0,      21.04,    21.29,    18.16,    21.60,    23.11
