Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       3.52,     3.27,     3.54,     3.73,     3.54
        2.0,       6.04,     5.92,     6.09,     6.06,     6.07
        3.0,       8.35,     8.45,     8.46,     8.10,     8.38
        4.0,      10.64,    11.01,    10.82,    10.05,    10.67
        5.0,      13.01,    13.72,    13.28,    12.02,    13.03
        6.0,      15.53,    16.62,    15.89,    14.07,    15.52
        7.0,      18.18,    19.73,    18.62,    16.20,    18.16
        8.0,      20.91,    22.98,    21.42,    18.37,    20.87
        9.0,      23.64,    26.26,    24.18,    20.53,    23.59
       10.0,      26.24,    29.43,    26.78,    22.58,    26.19
       11.0,      28.60,    32.34,    29.10,    24.43,    28.55
       12.0,      30.61,    34.85,    31.04,    26.00,    30.57
       13.0,      32.20,    36.87,    32.55,    27.23,    32.16
       14.0,      33.34,    38.34,    33.59,    28.11,    33.31
       15.0,      34.02,    39.26,    34.19,    28.63,    34.01
       16.0,      34.31,    39.68,    34.40,    28.84,    34.30
       17.0,      34.27,    39.70,    34.31,    28.80,    34.27
       18.0,      34.00,    39.42,    34.01,    28.58,    34.00
       19.0,      33.59,    38.95,    33.59,    28.25,    33.59
       20.0,      33.12,    38.39,    33.12,    27.86,    33.11
       21.0,      32.64,    37.82,    32.64,    27.47,    32.62
       22.0,      32.17,    37.26,    32.19,    27.09,    32.15
       23.0,      31.73,    36.73,    31.75,    26.73,    31.70
       24.0,      31.31,    36.23,    31.34,    26.39,    31.28
       25.0,      30.90,    35.75,    30.94,    26.06,    30.87
       26.0,      30.51,    35.29,    30.55,    25.74,    30.47
       27.0,      30.14,    34.84,    30.18,    25.44,    30.09
       28.0,      29.77,    34.40,    29.82,    25.14,    29.72
       29.0,      29.42,    33.98,    29.47,    24.86,    29.36
       30.0,      29.08,    33.57,    29.14,    24.58,    29.02
       31.0,      28.75,    33.18,    28.82,    24.32,    28.68
       32.0,      28.43,    32.80,    28.50,    24.06,    28.36
       33.0,      28.13,    32.44,    28.20,    23.81,    28.05
       34.0,      27.83,    32.08,    27.91,    23.57,    27.75
       35.0,      27.54,    31.74,    27.63,    23.34,    27.46
       36.0,      27.27,    31.40,    27.36,    23.12,    27.18
       37.0,      27.00,    31.08,    27.10,    22.91,    26.91
       38.0,      26.74,    30.77,    26.85,    22.70,    26.64
       39.0,      26.49,    30.47,    26.60,    22.50,    26.39
       40.0,      26.25,    30.18,    26.37,    22.30,    26.15
       41.0,      26.02,    29.90,    26.14,    22.12,    25.91
       42.0,      25.79,    29.63,    25.92,    21.93,    25.68
       43.0,      25.57,    29.36,    25.70,    21.76,    25.46
       44.0,      25.36,    29.11,    25.50,    21.59,    25.24
       45.0,      25.15,    28.86,    25.30,    21.43,    25.04
       46.0,      24.96,    28.62,    25.11,    21.27,    24.83
       47.0,      24.77,    28.39,    24.92,    21.11,    24.64
       48.0,      24.58,    28.16,    24.74,    20.97,    24.45
       49.0,      24.40,    27.94,    24.57,    20.82,    24.27
       50.0,      24.23,    27.73,    24.40,    20.68,    24.09
       51.0,      24.06,    27.53,    24.24,    20.55,    23.92
       52.0,      23.90,    27.33,    24.08,    20.42,    23.76
       53.0,      23.74,    27.13,    23.93,    20.29,    23.60
       54.0,      23.58,    26.95,    23.78,    20.17,    23.44
       55.0,      23.44,    26.77,    23.64,    20.05,    23.29
       56.0,      23.29,    26.59,    23.50,    19.94,    23.14
       57.0,      23.15,    26.42,    23.36,    19.83,    23.00
       58.0,      23.02,    26.25,    23.23,    19.72,    22.86
       59.0,      22.89,    26.09,    23.11,    19.61,    22.73
       60.0,      22.76,    25.94,    22.99,    19.51,    22.60
       61.0,      22.64,    25.78,    22.87,    19.42,    22.48
       62.0,      22.52,    25.64,    22.75,    19.32,    22.35
       63.0,      22.40,    25.49,    22.64,    19.23,    22.24
       64.0,      22.29,    25.35,    22.54,    19.14,    22.12
       65.0,      22.18,    25.22,    22.43,    19.05,    22.01
       66.0,      22.07,    25.09,    22.33,    18.97,    21.90
       67.0,      21.97,    24.96,    22.23,    18.88,    21.80
       68.0,      21.87,    24.83,    22.14,    18.80,    21.69
       69.0,      21.77,    24.71,    22.05,    18.73,    21.59
       70.0,      21.67,    24.59,    21.96,    18.65,    21.50
       71.0,      21.58,    24.48,    21.87,    18.58,    21.40
       72.0,      21.49,    24.37,    21.78,    18.51,    21.31
       73.0,      21.41,    24.26,    21.70,    18.44,    21.22
       74.0,      21.32,    24.15,    21.62,    18.37,    21.14
       75.0,      21.24,    24.05,    21.54,    18.30,    21.05
       76.0,      21.16,    23.95,    21.47,    18.24,    20.97
       77.0,      21.08,    23.85,    21.40,    18.18,    20.89
       78.0,      21.00,    23.75,    21.32,    18.12,    20.81
       79.0,      20.93,    23.66,    21.25,    18.06,    20.74
       80.0,      20.85,    23.57,    21.19,    18.00,    20.66
       81.0,      20.78,    23.48,    21.12,    17.94,    20.59
       82.0,      20.71,    23.39,    21.06,    17.89,    20.52
       83.0,      20.65,    23.31,    20.99,    17.83,    20.45
       84.0,      20.58,    23.22,    20.93,    17.78,    20.38
       85.0,      20.52,    23.14,    20.87,    17.73,    20.32
       86.0,      20.45,    23.06,    20.82,    17.68,    20.25
       87.0,      20.39,    22.98,    20.76,    17.63,    20.19
       88.0,      20.33,    22.91,    20.70,    17.58,    20.13
       89.0,      20.27,    22.83,    20.65,    17.53,    20.07
       90.0,      20.21,    22.76,    20.60,    17.49,    20.01
       91.0,      20.16,    22.69,    20.55,    17.44,    19.95
       92.0,      20.10,    22.62,    20.50,    17.40,    19.90
       93.0,      20.05,    22.55,    20.45,    17.36,    19.84
       94.0,      20.00,    22.48,    20.40,    17.31,    19.79
       95.0,      19.94,    22.42,    20.35,    17.27,    19.74
       96.0,      19.89,    22.35,    20.31,    17.23,    19.68
       97.0,      19.84,    22.29,    20.26,    17.19,    19.63
       98.0,      19.80,    22.23,    20.22,    17.15,    19.58
       99.0,      19.75,    22.17,    20.18,    17.12,    19.53
      100.0,      19.70,    22.11,    20.13,    17.08,    19.49
      101.0,      19.66,    22.05,    20.09,    17.04,    19.44
      102.0,      19.61,    21.99,    20.05,    17.01,    19.39
      103.0,      19.57,    21.93,    20.01,    16.97,    19.35
      104.0,      19.52,    21.88,    19.97,    16.93,    19.30
      105.0,      19.48,    21.82,    19.94,    16.90,    19.26
      106.0,      19.44,    21.77,    19.90,    16.87,    19.22
      107.0,      19.40,    21.71,    19.86,    16.83,    19.18
      108.0,      19.35,    21.66,    19.83,    16.80,    19.13
      109.0,      19.31,    21.61,    19.79,    16.77,    19.09
      110.0,      19.28,    21.56,    19.76,    16.74,    19.05
      111.0,      19.24,    21.51,    19.72,    16.70,    19.01
      112.0,      19.20,    21.46,    19.69,    16.67,    18.97
      113.0,      19.16,    21.41,    19.65,    16.64,    18.93
      114.0,      19.12,    21.36,    19.62,    16.61,    18.90
      115.0,      19.09,    21.31,    19.59,    16.58,    18.86
      116.0,      19.05,    21.27,    19.56,    16.55,    18.82
      117.0,      19.01,    21.22,    19.53,    16.53,    18.79
      118.0,      18.98,    21.17,    19.50,    16.50,    18.75
      119.0,      18.94,    21.13,    19.47,    16.47,    18.71
      120.0,      18.91,    21.08,    19.44,    16.44,    18.68
      121.0,      18.88,    21.04,    19.41,    16.41,    18.65
      122.0,      18.84,    21.00,    19.38,    16.39,    18.61
      123.0,      18.81,    20.95,    19.35,    16.36,    18.58
      124.0,      18.78,    20.91,    19.32,    16.33,    18.54
      125.0,      18.75,    20.87,    19.29,    16.31,    18.51
      126.0,      18.71,    20.83,    19.27,    16.28,    18.48
      127.0,      18.68,    20.79,    19.24,    16.25,    18.45
      128.0,      18.65,    20.75,    19.21,    16.23,    18.41
      129.0,      18.62,    20.71,    19.19,    16.20,    18.38
      130.0,      18.59,    20.67,    19.16,    16.18,    18.35
      131.0,      18.56,    20.63,    19.13,    16.15,    18.32
      132.0,      18.53,    20.59,    19.11,    16.13,    18.29
      133.0,      18.50,    20.55,    19.08,    16.10,    18.26
      134.0,      18.47,    20.51,    19.06,    16.08,    18.23
      135.0,      18.44,    20.47,    19.03,    16.06,    18.20
      136.0,      18.41,    20.43,    19.01,    16.03,    18.17
