Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,      16.92,    17.88,    15.96,    15.96,    17.86
        1.0,      24.60,    25.67,    23.43,    23.57,    25.72
        2.0,      30.81,    32.11,    29.33,    29.59,    32.22
        3.0,      35.74,    37.24,    33.97,    34.33,    37.40
        4.0,      39.35,    41.02,    37.37,    37.80,    41.22
        5.0,      41.73,    43.51,    39.62,    40.06,    43.72
        6.0,      43.01,    44.86,    40.85,    41.26,    45.06
        7.0,      43.40,    45.29,    41.28,    41.60,    45.45
        8.0,      43.17,    45.06,    41.13,    41.33,    45.16
        9.0,      42.54,    44.43,    40.62,    40.67,    44.45
       10.0,      41.73,    43.60,    39.95,    39.82,    43.54
       11.0,      40.86,    42.72,    39.22,    38.92,    42.57
       12.0,      40.01,    41.86,    38.51,    38.05,    41.62
       13.0,      39.21,    41.04,    37.84,    37.21,    40.73
       14.0,      38.44,    40.26,    37.19,    36.42,    39.88
       15.0,      37.70,    39.51,    36.57,    35.66,    39.06
       16.0,      36.99,    38.79,    35.97,    34.93,    38.27
       17.0,      36.30,    38.09,    35.39,    34.23,    37.51
       18.0,      35.64,    37.42,    34.83,    33.55,    36.78
       19.0,      35.01,    36.77,    34.28,    32.90,    36.08
       20.0,      34.40,    36.15,    33.76,    32.28,    35.41
       21.0,      33.81,    35.55,    33.26,    31.68,    34.76
       22.0,      33.24,    34.97,    32.77,    31.10,    34.14
       23.0,      32.70,    34.41,    32.29,    30.54,    33.54
       24.0,      32.17,    33.87,    31.84,    30.01,    32.96
       25.0,      31.66,    33.36,    31.40,    29.49,    32.40
       26.0,      31.17,    32.86,    30.97,    29.00,    31.87
       27.0,      30.70,    32.38,    30.56,    28.52,    31.35
       28.0,      30.25,    31.91,    30.16,    28.06,    30.86
       29.0,      29.81,    31.46,    29.78,    27.62,    30.38
       30.0,      29.39,    31.03,    29.41,    27.19,    29.93
       31.0,      28.98,    30.62,    29.05,    26.79,    29.48
       32.0,      28.59,    30.22,    28.70,    26.39,    29.06
       33.0,      28.22,    29.83,    28.37,    26.01,    28.65
       34.0,      27.85,    29.46,    28.04,    25.65,    28.26
       35.0,      27.50,    29.10,    27.73,    25.30,    27.88
       36.0,      27.16,    28.75,    27.42,    24.96,    27.52
       37.0,      26.84,    28.42,    27.13,    24.64,    27.16
       38.0,      26.52,    28.10,    26.85,    24.32,    26.83
       39.0,      26.22,    27.78,    26.57,    24.02,    26.50
       40.0,      25.93,    27.48,    26.31,    23.73,    26.19
       41.0,      25.65,    27.20,    26.05,    23.45,    25.89
       42.0,      25.37,    26.92,    25.80,    23.18,    25.60
       43.0,      25.11,    26.65,    25.56,    22.92,    25.32
       44.0,      24.86,    26.39,    25.33,    22.67,    25.05
       45.0,      24.62,    26.13,    25.11,    22.43,    24.79
       46.0,      24.38,    25.89,    24.89,    22.20,    24.54
       47.0,      24.15,    25.66,    24.68,    21.98,    24.30
       48.0,      23.93,    25.43,    24.48,    21.76,    24.06
       49.0,      23.72,    25.21,    24.28,    21.55,    23.84
       50.0,      23.52,    25.00,    24.09,    21.35,    23.62
       51.0,      23.32,    24.80,    23.90,    21.16,    23.41
       52.0,      23.13,    24.60,    23.72,    20.98,    23.21
       53.0,      22.95,    24.41,    23.55,    20.80,    23.02
       54.0,      22.77,    24.23,    23.38,    20.62,    22.83
       55.0,      22.60,    24.05,    23.22,    20.46,    22.65
       56.0,      22.43,    23.88,    23.06,    20.30,    22.48
       57.0,      22.27,    23.72,    22.91,    20.14,    22.31
       58.0,      22.11,    23.56,    22.76,    19.99,    22.15
       59.0,      21.96,    23.40,    22.62,    19.85,    21.99
       60.0,      21.82,    23.25,    22.48,    19.71,    21.84
       61.0,      21.68,    23.11,    22.34,    19.57,    21.70
       62.0,      21.54,    22.97,    22.21,    19.44,    21.56
       63.0,      21.41,    22.83,    22.09,    19.32,    21.42
       64.0,      21.29,    22.70,    21.96,    19.20,    21.29
       65.0,      21.16,    22.57,    21.85,    19.08,    21.16
       66.0,      21.05,    22.45,    21.73,    18.97,    21.04
       67.0,      20.93,    22.33,    21.62,    18.86,    20.92
       68.0,      20.82,    22.21,    21.51,    18.75,    20.81
       69.0,      20.71,    22.10,    21.40,    18.65,    20.70
       70.0,      20.61,    21.99,    21.30,    18.55,    20.59
       71.0,      20.51,    21.89,    21.20,    18.45,    20.49
