Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       3.64,     3.60,     3.61,     3.78,     3.60
        2.0,       6.12,     6.12,     6.16,     6.10,     6.11
        3.0,       8.35,     8.41,     8.51,     8.10,     8.38
        4.0,      10.51,    10.64,    10.85,     9.99,    10.58
        5.0,      12.72,    12.90,    13.28,    11.87,    12.82
        6.0,      15.01,    15.25,    15.84,    13.79,    15.15
        7.0,      17.40,    17.69,    18.51,    15.78,    17.60
        8.0,      19.84,    20.19,    21.23,    17.82,    20.13
        9.0,      22.27,    22.67,    23.90,    19.85,    22.67
       10.0,      24.59,    25.05,    26.40,    21.80,    25.12
       11.0,      26.71,    27.23,    28.63,    23.59,    27.38
       12.0,      28.53,    29.13,    30.49,    25.14,    29.36
       13.0,      30.00,    30.68,    31.93,    26.41,    30.97
       14.0,      31.08,    31.86,    32.92,    27.35,    32.19
       15.0,      31.79,    32.68,    33.50,    27.98,    32.99
       16.0,      32.15,    33.16,    33.71,    28.31,    33.43
       17.0,      32.24,    33.37,    33.65,    28.40,    33.56
       18.0,      32.13,    33.39,    33.39,    28.31,    33.46
       19.0,      31.90,    33.27,    33.01,    28.11,    33.21
       20.0,      31.60,    33.10,    32.60,    27.84,    32.88
       21.0,      31.29,    32.90,    32.18,    27.56,    32.53
       22.0,      30.99,    32.71,    31.78,    27.29,    32.19
       23.0,      30.71,    32.53,    31.40,    27.04,    31.88
       24.0,      30.44,    32.35,    31.04,    26.79,    31.57
       25.0,      30.18,    32.18,    30.69,    26.56,    31.29
       26.0,      29.93,    32.01,    30.36,    26.34,    31.00
       27.0,      29.68,    31.84,    30.03,    26.12,    30.73
       28.0,      29.45,    31.68,    29.72,    25.91,    30.47
       29.0,      29.22,    31.52,    29.42,    25.71,    30.21
       30.0,      28.99,    31.36,    29.13,    25.51,    29.97
       31.0,      28.78,    31.20,    28.85,    25.32,    29.73
       32.0,      28.57,    31.04,    28.59,    25.14,    29.50
       33.0,      28.36,    30.89,    28.33,    24.96,    29.27
       34.0,      28.16,    30.74,    28.08,    24.79,    29.05
       35.0,      27.97,    30.59,    27.84,    24.62,    28.84
       36.0,      27.78,    30.44,    27.60,    24.46,    28.63
       37.0,      27.60,    30.29,    27.38,    24.30,    28.43
       38.0,      27.43,    30.15,    27.16,    24.15,    28.24
       39.0,      27.25,    30.01,    26.96,    24.00,    28.05
       40.0,      27.09,    29.87,    26.75,    23.85,    27.87
       41.0,      26.92,    29.73,    26.56,    23.72,    27.69
       42.0,      26.77,    29.60,    26.37,    23.58,    27.52
       43.0,      26.61,    29.46,    26.19,    23.45,    27.35
       44.0,      26.46,    29.33,    26.02,    23.32,    27.19
       45.0,      26.32,    29.20,    25.85,    23.20,    27.03
       46.0,      26.18,    29.07,    25.69,    23.08,    26.87
       47.0,      26.04,    28.94,    25.53,    22.96,    26.72
       48.0,      25.90,    28.82,    25.38,    22.84,    26.58
       49.0,      25.77,    28.69,    25.23,    22.73,    26.43
       50.0,      25.65,    28.57,    25.09,    22.62,    26.30
       51.0,      25.52,    28.45,    24.95,    22.52,    26.16
       52.0,      25.40,    28.33,    24.82,    22.42,    26.03
       53.0,      25.28,    28.21,    24.69,    22.32,    25.90
       54.0,      25.16,    28.10,    24.57,    22.22,    25.78
       55.0,      25.05,    27.98,    24.45,    22.12,    25.65
       56.0,      24.94,    27.87,    24.33,    22.03,    25.53
       57.0,      24.83,    27.76,    24.22,    21.94,    25.42
       58.0,      24.73,    27.65,    24.11,    21.85,    25.30
       59.0,      24.63,    27.54,    24.00,    21.77,    25.19
       60.0,      24.52,    27.43,    23.90,    21.68,    25.08
       61.0,      24.43,    27.32,    23.80,    21.60,    24.98
       62.0,      24.33,    27.22,    23.71,    21.52,    24.88
       63.0,      24.24,    27.12,    23.61,    21.44,    24.77
       64.0,      24.14,    27.01,    23.52,    21.37,    24.68
       65.0,      24.05,    26.91,    23.43,    21.29,    24.58
       66.0,      23.97,    26.81,    23.35,    21.22,    24.48
       67.0,      23.88,    26.71,    23.27,    21.15,    24.39
       68.0,      23.79,    26.62,    23.19,    21.07,    24.30
       69.0,      23.71,    26.52,    23.11,    21.01,    24.21
       70.0,      23.63,    26.42,    23.03,    20.94,    24.12
       71.0,      23.55,    26.33,    22.96,    20.87,    24.04
       72.0,      23.47,    26.24,    22.89,    20.81,    23.96
       73.0,      23.39,    26.14,    22.82,    20.74,    23.87
       74.0,      23.32,    26.05,    22.75,    20.68,    23.79
       75.0,      23.25,    25.96,    22.69,    20.62,    23.71
       76.0,      23.17,    25.87,    22.62,    20.56,    23.64
       77.0,      23.10,    25.79,    22.56,    20.50,    23.56
       78.0,      23.03,    25.70,    22.50,    20.44,    23.48
       79.0,      22.96,    25.61,    22.44,    20.38,    23.41
       80.0,      22.89,    25.53,    22.38,    20.33,    23.34
       81.0,      22.83,    25.44,    22.33,    20.27,    23.27
       82.0,      22.76,    25.36,    22.27,    20.21,    23.20
       83.0,      22.70,    25.28,    22.22,    20.16,    23.13
       84.0,      22.63,    25.20,    22.17,    20.11,    23.06
       85.0,      22.57,    25.12,    22.12,    20.06,    22.99
       86.0,      22.51,    25.04,    22.07,    20.00,    22.93
       87.0,      22.45,    24.96,    22.02,    19.95,    22.86
       88.0,      22.39,    24.88,    21.97,    19.90,    22.80
       89.0,      22.33,    24.80,    21.92,    19.85,    22.74
       90.0,      22.27,    24.73,    21.88,    19.80,    22.67
       91.0,      22.21,    24.65,    21.83,    19.76,    22.61
       92.0,      22.16,    24.58,    21.79,    19.71,    22.55
       93.0,      22.10,    24.50,    21.75,    19.66,    22.49
       94.0,      22.05,    24.43,    21.71,    19.61,    22.43
       95.0,      21.99,    24.36,    21.66,    19.57,    22.37
       96.0,      21.94,    24.29,    21.62,    19.52,    22.32
       97.0,      21.88,    24.22,    21.58,    19.48,    22.26
       98.0,      21.83,    24.15,    21.55,    19.43,    22.20
       99.0,      21.78,    24.08,    21.51,    19.39,    22.15
      100.0,      21.73,    24.01,    21.47,    19.35,    22.09
      101.0,      21.68,    23.94,    21.43,    19.30,    22.04
      102.0,      21.63,    23.87,    21.40,    19.26,    21.99
      103.0,      21.58,    23.81,    21.36,    19.22,    21.93
      104.0,      21.53,    23.74,    21.33,    19.18,    21.88
      105.0,      21.48,    23.67,    21.29,    19.13,    21.83
      106.0,      21.43,    23.61,    21.26,    19.09,    21.78
      107.0,      21.39,    23.55,    21.23,    19.05,    21.72
      108.0,      21.34,    23.48,    21.19,    19.01,    21.67
      109.0,      21.29,    23.42,    21.16,    18.97,    21.62
      110.0,      21.25,    23.36,    21.13,    18.93,    21.57
      111.0,      21.20,    23.29,    21.10,    18.89,    21.52
      112.0,      21.16,    23.23,    21.07,    18.85,    21.48
      113.0,      21.11,    23.17,    21.04,    18.81,    21.43
      114.0,      21.07,    23.11,    21.01,    18.78,    21.38
      115.0,      21.03,    23.05,    20.98,    18.74,    21.33
      116.0,      20.98,    22.99,    20.95,    18.70,    21.28
      117.0,      20.94,    22.94,    20.92,    18.66,    21.24
      118.0,      20.90,    22.88,    20.89,    18.62,    21.19
      119.0,      20.85,    22.82,    20.86,    18.59,    21.14
      120.0,      20.81,    22.76,    20.83,    18.55,    21.10
      121.0,      20.77,    22.71,    20.81,    18.51,    21.05
      122.0,      20.73,    22.65,    20.78,    18.48,    21.01
      123.0,      20.69,    22.59,    20.75,    18.44,    20.96
      124.0,      20.65,    22.54,    20.73,    18.40,    20.92
      125.0,      20.61,    22.48,    20.70,    18.37,    20.87
      126.0,      20.57,    22.43,    20.67,    18.33,    20.83
      127.0,      20.53,    22.38,    20.65,    18.30,    20.79
      128.0,      20.49,    22.32,    20.62,    18.26,    20.74
      129.0,      20.45,    22.27,    20.60,    18.23,    20.70
      130.0,      20.41,    22.22,    20.57,    18.19,    20.66
      131.0,      20.37,    22.17,    20.54,    18.16,    20.61
      132.0,      20.33,    22.11,    20.52,    18.12,    20.57
      133.0,      20.29,    22.06,    20.50,    18.09,    20.53
      134.0,      20.25,    22.01,    20.47,    18.05,    20.49
      135.0,      20.22,    21.96,    20.45,    18.02,    20.44
      136.0,      20.18,    21.91,    20.42,    17.98,    20.40
      137.0,      20.14,    21.86,    20.40,    17.95,    20.36
      138.0,      20.11,    21.81,    20.37,    17.92,    20.32
      139.0,      20.07,    21.76,    20.35,    17.88,    20.28
      140.0,      20.03,    21.71,    20.33,    17.85,    20.24
      141.0,      20.00,    21.67,    20.30,    17.81,    20.20
      142.0,      19.96,    21.62,    20.28,    17.78,    20.16
      143.0,      19.92,    21.57,    20.26,    17.75,    20.12
      144.0,      19.89,    21.52,    20.23,    17.72,    20.08
