Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       2.18,     1.98,     2.24,     2.40,     2.12
        2.0,       3.54,     3.41,     3.62,     3.58,     3.53
        3.0,       4.69,     4.69,     4.79,     4.53,     4.77
        4.0,       5.74,     5.88,     5.85,     5.35,     5.90
        5.0,       6.72,     7.01,     6.83,     6.09,     6.95
        6.0,       7.64,     8.08,     7.75,     6.76,     7.96
        7.0,       8.51,     9.12,     8.62,     7.39,     8.92
        8.0,       9.35,    10.13,     9.45,     7.99,     9.84
        9.0,      10.16,    11.12,    10.26,     8.55,    10.74
       10.0,      10.95,    12.07,    11.03,     9.09,    11.61
       11.0,      11.71,    13.01,    11.79,     9.60,    12.45
       12.0,      12.46,    13.93,    12.52,    10.10,    13.28
       13.0,      13.18,    14.84,    13.23,    10.57,    14.09
       14.0,      13.89,    15.73,    13.93,    11.04,    14.88
       15.0,      14.59,    16.60,    14.61,    11.49,    15.66
       16.0,      15.27,    17.47,    15.28,    11.92,    16.43
       17.0,      15.95,    18.32,    15.94,    12.35,    17.18
       18.0,      16.61,    19.16,    16.58,    12.76,    17.92
       19.0,      17.26,    19.99,    17.21,    13.17,    18.65
       20.0,      17.90,    20.81,    17.83,    13.56,    19.37
       21.0,      18.53,    21.63,    18.45,    13.95,    20.09
       22.0,      19.19,    22.48,    19.08,    14.34,    20.84
       23.0,      19.88,    23.40,    19.76,    14.75,    21.64
       24.0,      20.65,    24.42,    20.50,    15.18,    22.52
       25.0,      21.51,    25.57,    21.33,    15.66,    23.50
       26.0,      22.46,    26.83,    22.25,    16.18,    24.57
       27.0,      23.47,    28.19,    23.24,    16.74,    25.70
       28.0,      24.49,    29.57,    24.25,    17.31,    26.84
       29.0,      25.48,    30.90,    25.22,    17.87,    27.94
       30.0,      26.38,    32.10,    26.11,    18.39,    28.93
       31.0,      27.14,    33.10,    26.85,    18.84,    29.75
       32.0,      27.71,    33.85,    27.40,    19.19,    30.38
       33.0,      28.07,    34.32,    27.75,    19.43,    30.78
       34.0,      28.23,    34.51,    27.90,    19.56,    30.97
       35.0,      28.21,    34.45,    27.85,    19.58,    30.97
       36.0,      28.04,    34.19,    27.65,    19.51,    30.82
       37.0,      27.77,    33.79,    27.35,    19.38,    30.56
       38.0,      27.43,    33.30,    26.97,    19.20,    30.24
       39.0,      27.06,    32.77,    26.57,    19.00,    29.89
       40.0,      26.69,    32.26,    26.17,    18.79,    29.54
       41.0,      26.34,    31.76,    25.78,    18.59,    29.21
       42.0,      26.00,    31.29,    25.42,    18.40,    28.90
       43.0,      25.69,    30.84,    25.07,    18.22,    28.60
       44.0,      25.38,    30.42,    24.74,    18.05,    28.32
       45.0,      25.09,    30.00,    24.42,    17.88,    28.04
       46.0,      24.80,    29.61,    24.12,    17.71,    27.77
       47.0,      24.53,    29.22,    23.82,    17.55,    27.52
       48.0,      24.26,    28.86,    23.54,    17.39,    27.27
       49.0,      24.01,    28.50,    23.26,    17.24,    27.03
       50.0,      23.76,    28.16,    23.00,    17.09,    26.80
       51.0,      23.52,    27.83,    22.75,    16.94,    26.58
       52.0,      23.30,    27.51,    22.50,    16.80,    26.37
       53.0,      23.07,    27.21,    22.27,    16.66,    26.16
       54.0,      22.86,    26.92,    22.04,    16.53,    25.96
       55.0,      22.65,    26.63,    21.82,    16.40,    25.77
       56.0,      22.45,    26.36,    21.61,    16.27,    25.58
       57.0,      22.26,    26.10,    21.41,    16.14,    25.40
       58.0,      22.08,    25.84,    21.21,    16.02,    25.23
       59.0,      21.90,    25.60,    21.02,    15.90,    25.07
       60.0,      21.72,    25.37,    20.84,    15.79,    24.90
       61.0,      21.56,    25.14,    20.66,    15.67,    24.75
       62.0,      21.39,    24.92,    20.49,    15.56,    24.60
       63.0,      21.24,    24.71,    20.33,    15.46,    24.45
       64.0,      21.09,    24.51,    20.17,    15.35,    24.31
       65.0,      20.94,    24.31,    20.02,    15.25,    24.18
       66.0,      20.80,    24.12,    19.87,    15.15,    24.05
       67.0,      20.66,    23.94,    19.73,    15.05,    23.92
       68.0,      20.53,    23.76,    19.59,    14.96,    23.80
       69.0,      20.40,    23.59,    19.46,    14.87,    23.68
       70.0,      20.28,    23.43,    19.33,    14.78,    23.56
       71.0,      20.15,    23.27,    19.21,    14.69,    23.45
       72.0,      20.04,    23.12,    19.09,    14.60,    23.34
       73.0,      19.93,    22.97,    18.98,    14.52,    23.24
       74.0,      19.82,    22.83,    18.87,    14.44,    23.14
       75.0,      19.71,    22.69,    18.76,    14.36,    23.04
       76.0,      19.61,    22.55,    18.65,    14.28,    22.95
       77.0,      19.51,    22.43,    18.55,    14.20,    22.86
       78.0,      19.41,    22.30,    18.46,    14.13,    22.77
       79.0,      19.32,    22.18,    18.36,    14.06,    22.68
       80.0,      19.23,    22.06,    18.27,    13.99,    22.60
       81.0,      19.14,    21.95,    18.18,    13.92,    22.51
       82.0,      19.06,    21.84,    18.10,    13.85,    22.44
       83.0,      18.97,    21.74,    18.02,    13.78,    22.36
       84.0,      18.89,    21.64,    17.94,    13.72,    22.29
       85.0,      18.82,    21.54,    17.86,    13.66,    22.21
       86.0,      18.74,    21.44,    17.79,    13.59,    22.14
       87.0,      18.67,    21.35,    17.71,    13.53,    22.07
       88.0,      18.60,    21.26,    17.64,    13.48,    22.01
       89.0,      18.53,    21.17,    17.57,    13.42,    21.94
       90.0,      18.46,    21.09,    17.51,    13.36,    21.88
       91.0,      18.39,    21.01,    17.44,    13.31,    21.82
       92.0,      18.33,    20.93,    17.38,    13.25,    21.76
       93.0,      18.27,    20.85,    17.32,    13.20,    21.70
       94.0,      18.21,    20.77,    17.26,    13.15,    21.64
       95.0,      18.15,    20.70,    17.21,    13.10,    21.59
       96.0,      18.09,    20.63,    17.15,    13.05,    21.54
