Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
      105.0,      15.93,    15.10,    16.76,    17.48,    14.36
      106.0,      15.87,    15.04,    16.69,    17.43,    14.31
      107.0,      15.81,    14.98,    16.63,    17.39,    14.26
      108.0,      15.76,    14.91,    16.57,    17.34,    14.21
      109.0,      15.71,    14.85,    16.50,    17.30,    14.16
      110.0,      15.65,    14.80,    16.44,    17.26,    14.12
      111.0,      15.60,    14.74,    16.38,    17.21,    14.07
      112.0,      15.55,    14.69,    16.33,    17.17,    14.03
      113.0,      15.51,    14.64,    16.27,    17.13,    13.99
      114.0,      15.46,    14.58,    16.21,    17.09,    13.94
      115.0,      15.41,    14.54,    16.16,    17.05,    13.90
      116.0,      15.37,    14.49,    16.11,    17.01,    13.87
      117.0,      15.32,    14.44,    16.05,    16.97,    13.83
      118.0,      15.28,    14.40,    16.00,    16.94,    13.79
      119.0,      15.24,    14.35,    15.95,    16.90,    13.75
      120.0,      15.20,    14.31,    15.90,    16.86,    13.72
      121.0,      15.16,    14.27,    15.86,    16.83,    13.68
      122.0,      15.12,    14.23,    15.81,    16.79,    13.65
      123.0,      15.08,    14.19,    15.76,    16.76,    13.62
      124.0,      15.04,    14.15,    15.72,    16.73,    13.59
      125.0,      15.01,    14.11,    15.67,    16.69,    13.55
      126.0,      14.97,    14.07,    15.63,    16.66,    13.52
      127.0,      14.94,    14.04,    15.58,    16.63,    13.49
      128.0,      14.90,    14.00,    15.54,    16.60,    13.46
      129.0,      14.87,    13.97,    15.50,    16.56,    13.44
      130.0,      14.83,    13.94,    15.46,    16.53,    13.41
      131.0,      14.80,    13.90,    15.42,    16.50,    13.38
      132.0,      14.77,    13.87,    15.38,    16.47,    13.35
      133.0,      14.74,    13.84,    15.34,    16.44,    13.33
      134.0,      14.71,    13.81,    15.30,    16.41,    13.30
      135.0,      14.68,    13.78,    15.26,    16.38,    13.28
      136.0,      14.65,    13.75,    15.22,    16.36,    13.25
      137.0,      14.62,    13.73,    15.18,    16.33,    13.23
      138.0,      14.59,    13.70,    15.15,    16.30,    13.20
      139.0,      14.56,    13.67,    15.11,    16.27,    13.18
      140.0,      14.53,    13.64,    15.07,    16.24,    13.16
      141.0,      14.50,    13.62,    15.04,    16.22,    13.14
      142.0,      14.48,    13.59,    15.00,    16.19,    13.11
      143.0,      14.45,    13.57,    14.97,    16.16,    13.09
      144.0,      14.42,    13.54,    14.94,    16.14,    13.07
      145.0,      14.40,    13.52,    14.90,    16.11,    13.05
      146.0,      14.37,    13.50,    14.87,    16.08,    13.03
      147.0,      14.34,    13.47,    14.83,    16.06,    13.01
      148.0,      14.32,    13.45,    14.80,    16.03,    12.99
      149.0,      14.29,    13.43,    14.77,    16.01,    12.97
      150.0,      14.27,    13.41,    14.74,    15.98,    12.95
      151.0,      14.24,    13.38,    14.70,    15.96,    12.93
      152.0,      14.22,    13.36,    14.67,    15.93,    12.91
      153.0,      14.20,    13.34,    14.64,    15.91,    12.89
      154.0,      14.17,    13.32,    14.61,    15.89,    12.87
      155.0,      14.15,    13.30,    14.58,    15.86,    12.86
      156.0,      14.13,    13.28,    14.55,    15.84,    12.84
      157.0,      14.10,    13.26,    14.52,    15.81,    12.82
      158.0,      14.08,    13.24,    14.49,    15.79,    12.80
      159.0,      14.06,    13.22,    14.46,    15.77,    12.78
      160.0,      14.04,    13.20,    14.43,    15.74,    12.77
      161.0,      14.01,    13.18,    14.40,    15.72,    12.75
      162.0,      13.99,    13.17,    14.37,    15.70,    12.73
      163.0,      13.97,    13.15,    14.34,    15.67,    12.72
      164.0,      13.95,    13.13,    14.31,    15.65,    12.70
      165.0,      13.93,    13.11,    14.29,    15.63,    12.68
      166.0,      13.91,    13.09,    14.26,    15.61,    12.67
      167.0,      13.89,    13.08,    14.23,    15.58,    12.65
      168.0,      13.86,    13.06,    14.20,    15.56,    12.64
      169.0,      13.84,    13.04,    14.17,    15.54,    12.62
      170.0,      13.82,    13.03,    14.15,    15.52,    12.61
      171.0,      13.80,    13.01,    14.12,    15.49,    12.59
      172.0,      13.78,    12.99,    14.09,    15.47,    12.57
      173.0,      13.76,    12.98,    14.06,    15.45,    12.56
      174.0,      13.74,    12.96,    14.04,    15.43,    12.54
      175.0,      13.72,    12.94,    14.01,    15.41,    12.53
      176.0,      13.70,    12.93,    13.98,    15.39,    12.51
      177.0,      13.68,    12.91,    13.96,    15.36,    12.50
      178.0,      13.66,    12.90,    13.93,    15.34,    12.49
      179.0,      13.64,    12.88,    13.90,    15.32,    12.47
      180.0,      13.62,    12.86,    13.88,    15.30,    12.46
      181.0,      13.61,    12.85,    13.85,    15.28,    12.44
      182.0,      13.59,    12.83,    13.82,    15.26,    12.43
      183.0,      13.57,    12.82,    13.80,    15.24,    12.41
      184.0,      13.55,    12.80,    13.77,    15.22,    12.40
      185.0,      13.53,    12.79,    13.75,    15.20,    12.39
      186.0,      13.51,    12.77,    13.72,    15.18,    12.37
      187.0,      13.49,    12.76,    13.70,    15.15,    12.36
      188.0,      13.47,    12.75,    13.67,    15.13,    12.34
      189.0,      13.46,    12.73,    13.65,    15.11,    12.33
      190.0,      13.44,    12.72,    13.62,    15.09,    12.32
      191.0,      13.42,    12.70,    13.60,    15.07,    12.30
      192.0,      13.40,    12.69,    13.57,    15.05,    12.29
      193.0,      13.38,    12.67,    13.55,    15.03,    12.28
      194.0,      13.36,    12.66,    13.52,    15.01,    12.26
      195.0,      13.35,    12.64,    13.50,    14.99,    12.25
      196.0,      13.33,    12.63,    13.47,    14.97,    12.24
      197.0,      13.31,    12.62,    13.45,    14.95,    12.22
      198.0,      13.29,    12.60,    13.42,    14.93,    12.21
      199.0,      13.27,    12.59,    13.40,    14.91,    12.20
      200.0,      13.26,    12.58,    13.37,    14.89,    12.18
      201.0,      13.24,    12.56,    13.35,    14.87,    12.17
      202.0,      13.22,    12.55,    13.33,    14.85,    12.16
      203.0,      13.20,    12.53,    13.30,    14.83,    12.14
