Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       3.09,     2.96,     3.12,     3.15,     3.15
        2.0,       5.35,     5.33,     5.37,     5.36,     5.35
        3.0,       7.42,     7.59,     7.41,     7.36,     7.31
        4.0,       9.45,     9.88,     9.42,     9.32,     9.19
        5.0,      11.56,    12.29,    11.48,    11.35,    11.10
        6.0,      13.80,    14.91,    13.65,    13.52,    13.10
        7.0,      16.18,    17.73,    15.95,    15.83,    15.24
        8.0,      18.69,    20.69,    18.34,    18.24,    17.49
        9.0,      21.23,    23.71,    20.75,    20.68,    19.80
       10.0,      23.70,    26.64,    23.08,    23.02,    22.07
       11.0,      25.98,    29.33,    25.22,    25.17,    24.20
       12.0,      27.95,    31.64,    27.09,    27.00,    26.08
       13.0,      29.53,    33.49,    28.59,    28.43,    27.62
       14.0,      30.67,    34.80,    29.70,    29.42,    28.76
       15.0,      31.35,    35.57,    30.40,    29.97,    29.47
       16.0,      31.62,    35.86,    30.73,    30.12,    29.79
       17.0,      31.54,    35.74,    30.76,    29.93,    29.75
       18.0,      31.20,    35.33,    30.55,    29.50,    29.45
       19.0,      30.70,    34.72,    30.19,    28.92,    28.96
       20.0,      30.11,    34.03,    29.76,    28.27,    28.38
       21.0,      29.50,    33.32,    29.30,    27.60,    27.77
       22.0,      28.90,    32.63,    28.86,    26.96,    27.17
       23.0,      28.34,    31.98,    28.43,    26.35,    26.60
       24.0,      27.81,    31.37,    28.02,    25.77,    26.07
       25.0,      27.30,    30.78,    27.62,    25.22,    25.56
       26.0,      26.80,    30.22,    27.23,    24.68,    25.08
       27.0,      26.33,    29.67,    26.85,    24.17,    24.61
       28.0,      25.86,    29.15,    26.48,    23.67,    24.16
       29.0,      25.42,    28.64,    26.12,    23.19,    23.72
       30.0,      24.99,    28.16,    25.77,    22.73,    23.30
       31.0,      24.58,    27.69,    25.42,    22.29,    22.90
       32.0,      24.18,    27.24,    25.08,    21.86,    22.51
       33.0,      23.79,    26.81,    24.75,    21.45,    22.14
       34.0,      23.41,    26.39,    24.43,    21.05,    21.78
       35.0,      23.05,    25.99,    24.12,    20.67,    21.43
       36.0,      22.70,    25.61,    23.81,    20.30,    21.10
       37.0,      22.37,    25.23,    23.51,    19.95,    20.78
