Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       2.13,     2.17,     1.99,     2.17,     2.17
        2.0,       3.97,     4.02,     3.82,     4.02,     4.02
        3.0,       5.73,     5.77,     5.59,     5.77,     5.77
        4.0,       7.42,     7.46,     7.33,     7.46,     7.46
        5.0,       9.08,     9.09,     9.04,     9.09,     9.09
        6.0,      10.70,    10.69,    10.73,    10.69,    10.69
        7.0,      12.30,    12.27,    12.40,    12.27,    12.27
        8.0,      13.88,    13.81,    14.06,    13.81,    13.81
        9.0,      15.43,    15.34,    15.71,    15.34,    15.34
       10.0,      16.97,    16.85,    17.35,    16.85,    16.85
       11.0,      18.50,    18.35,    18.98,    18.34,    18.34
       12.0,      20.04,    19.87,    20.61,    19.82,    19.85
       13.0,      21.63,    21.49,    22.28,    21.33,    21.42
       14.0,      23.34,    23.26,    24.06,    22.90,    23.13
       15.0,      25.22,    25.26,    26.03,    24.59,    25.02
       16.0,      27.30,    27.47,    28.21,    26.42,    27.10
       17.0,      29.56,    29.87,    30.61,    28.39,    29.36
       18.0,      31.93,    32.37,    33.17,    30.46,    31.72
       19.0,      34.32,    34.84,    35.79,    32.58,    34.08
       20.0,      36.61,    37.15,    38.34,    34.64,    36.31
       21.0,      38.68,    39.17,    40.68,    36.57,    38.30
       22.0,      40.42,    40.80,    42.68,    38.25,    39.95
       23.0,      41.76,    41.96,    44.25,    39.64,    41.19
       24.0,      42.66,    42.65,    45.32,    40.68,    41.99
       25.0,      43.13,    42.88,    45.89,    41.38,    42.38
       26.0,      43.23,    42.73,    46.01,    41.76,    42.41
       27.0,      43.02,    42.29,    45.75,    41.87,    42.15
       28.0,      42.59,    41.66,    45.23,    41.78,    41.70
       29.0,      42.04,    40.93,    44.55,    41.56,    41.14
       30.0,      41.45,    40.17,    43.79,    41.28,    40.55
       31.0,      40.85,    39.43,    43.03,    40.99,    39.97
       32.0,      40.29,    38.72,    42.31,    40.70,    39.42
       33.0,      39.75,    38.06,    41.63,    40.43,    38.90
       34.0,      39.24,    37.42,    40.98,    40.17,    38.40
       35.0,      38.75,    36.80,    40.37,    39.91,    37.92
       36.0,      38.27,    36.21,    39.77,    39.66,    37.45
       37.0,      37.81,    35.64,    39.19,    39.40,    37.01
       38.0,      37.36,    35.09,    38.64,    39.15,    36.57
       39.0,      36.93,    34.55,    38.10,    38.91,    36.16
