Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
      105.0,      11.69,    20.91,     6.54,     6.96,    12.34
      106.0,      11.64,    20.82,     6.51,     6.94,    12.31
      107.0,      11.60,    20.73,     6.47,     6.91,    12.28
      108.0,      11.55,    20.64,     6.44,     6.89,    12.25
      109.0,      11.51,    20.55,     6.40,     6.87,    12.22
      110.0,      11.47,    20.46,     6.37,     6.85,    12.19
      111.0,      11.43,    20.38,     6.34,     6.83,    12.16
      112.0,      11.38,    20.29,     6.31,     6.81,    12.13
      113.0,      11.34,    20.20,     6.28,     6.79,    12.10
      114.0,      11.30,    20.12,     6.25,     6.77,    12.08
      115.0,      11.26,    20.03,     6.22,     6.75,    12.05
      116.0,      11.22,    19.94,     6.19,     6.73,    12.02
      117.0,      11.18,    19.86,     6.16,     6.72,    12.00
      118.0,      11.14,    19.77,     6.13,     6.70,    11.97
      119.0,      11.11,    19.69,     6.10,     6.68,    11.95
      120.0,      11.07,    19.61,     6.07,     6.67,    11.93
      121.0,      11.03,    19.52,     6.05,     6.65,    11.90
      122.0,      10.99,    19.44,     6.02,     6.63,    11.88
      123.0,      10.96,    19.36,     5.99,     6.62,    11.86
      124.0,      10.92,    19.28,     5.97,     6.60,    11.83
      125.0,      10.88,    19.20,     5.94,     6.59,    11.81
      126.0,      10.85,    19.11,     5.91,     6.57,    11.79
      127.0,      10.81,    19.03,     5.89,     6.56,    11.77
      128.0,      10.78,    18.95,     5.86,     6.55,    11.75
      129.0,      10.74,    18.87,     5.84,     6.53,    11.73
      130.0,      10.71,    18.79,     5.81,     6.52,    11.71
      131.0,      10.68,    18.72,     5.79,     6.51,    11.69
      132.0,      10.64,    18.64,     5.77,     6.50,    11.67
      133.0,      10.61,    18.56,     5.74,     6.48,    11.65
      134.0,      10.58,    18.48,     5.72,     6.47,    11.63
      135.0,      10.54,    18.40,     5.70,     6.46,    11.61
      136.0,      10.51,    18.33,     5.67,     6.45,    11.59
      137.0,      10.48,    18.25,     5.65,     6.44,    11.57
      138.0,      10.45,    18.17,     5.63,     6.42,    11.56
      139.0,      10.41,    18.10,     5.61,     6.41,    11.54
      140.0,      10.38,    18.02,     5.59,     6.40,    11.52
      141.0,      10.35,    17.95,     5.56,     6.39,    11.50
      142.0,      10.32,    17.87,     5.54,     6.38,    11.49
      143.0,      10.29,    17.80,     5.52,     6.37,    11.47
      144.0,      10.26,    17.72,     5.50,     6.36,    11.45
      145.0,      10.23,    17.65,     5.48,     6.35,    11.44
      146.0,      10.20,    17.58,     5.46,     6.34,    11.42
      147.0,      10.17,    17.50,     5.44,     6.33,    11.40
      148.0,      10.14,    17.43,     5.42,     6.32,    11.39
      149.0,      10.11,    17.36,     5.40,     6.31,    11.37
      150.0,      10.08,    17.28,     5.38,     6.30,    11.35
      151.0,      10.05,    17.21,     5.36,     6.29,    11.34
      152.0,      10.02,    17.14,     5.34,     6.28,    11.32
      153.0,       9.99,    17.07,     5.32,     6.27,    11.31
      154.0,       9.96,    17.00,     5.30,     6.26,    11.29
      155.0,       9.94,    16.93,     5.28,     6.25,    11.28
      156.0,       9.91,    16.86,     5.26,     6.25,    11.26
      157.0,       9.88,    16.79,     5.24,     6.24,    11.25
      158.0,       9.85,    16.72,     5.23,     6.23,    11.23
      159.0,       9.82,    16.65,     5.21,     6.22,    11.22
      160.0,       9.80,    16.58,     5.19,     6.21,    11.20
      161.0,       9.77,    16.51,     5.17,     6.20,    11.19
      162.0,       9.74,    16.45,     5.15,     6.19,    11.17
      163.0,       9.71,    16.38,     5.13,     6.19,    11.16
      164.0,       9.69,    16.31,     5.12,     6.18,    11.15
      165.0,       9.66,    16.24,     5.10,     6.17,    11.13
      166.0,       9.63,    16.18,     5.08,     6.16,    11.12
      167.0,       9.61,    16.11,     5.06,     6.15,    11.10
      168.0,       9.58,    16.04,     5.04,     6.15,    11.09
      169.0,       9.55,    15.98,     5.03,     6.14,    11.08
      170.0,       9.53,    15.91,     5.01,     6.13,    11.06
      171.0,       9.50,    15.85,     4.99,     6.12,    11.05
      172.0,       9.48,    15.78,     4.97,     6.11,    11.03
      173.0,       9.45,    15.72,     4.96,     6.11,    11.02
      174.0,       9.43,    15.65,     4.94,     6.10,    11.01
      175.0,       9.40,    15.59,     4.92,     6.09,    10.99
      176.0,       9.37,    15.53,     4.91,     6.08,    10.98
      177.0,       9.35,    15.46,     4.89,     6.08,    10.97
      178.0,       9.32,    15.40,     4.87,     6.07,    10.95
      179.0,       9.30,    15.34,     4.86,     6.06,    10.94
      180.0,       9.27,    15.27,     4.84,     6.05,    10.93
      181.0,       9.25,    15.21,     4.82,     6.05,    10.92
