Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       1.58,     1.71,     1.64,     1.64,     1.34
        2.0,       2.52,     2.63,     2.59,     2.59,     2.28
        3.0,       3.31,     3.39,     3.37,     3.37,     3.12
        4.0,       4.02,     4.06,     4.07,     4.07,     3.89
        5.0,       4.68,     4.67,     4.71,     4.71,     4.62
        6.0,       5.29,     5.23,     5.31,     5.31,     5.31
        7.0,       5.87,     5.76,     5.87,     5.87,     5.98
        8.0,       6.43,     6.26,     6.40,     6.40,     6.63
        9.0,       6.96,     6.74,     6.92,     6.92,     7.26
       10.0,       7.47,     7.20,     7.41,     7.41,     7.88
       11.0,       7.97,     7.64,     7.89,     7.89,     8.47
       12.0,       8.46,     8.07,     8.35,     8.35,     9.06
       13.0,       8.93,     8.48,     8.80,     8.80,     9.64
       14.0,       9.39,     8.89,     9.24,     9.24,    10.20
       15.0,       9.84,     9.28,     9.66,     9.66,    10.76
       16.0,      10.28,     9.66,    10.08,    10.08,    11.31
       17.0,      10.72,    10.03,    10.49,    10.49,    11.85
       18.0,      11.14,    10.40,    10.89,    10.89,    12.38
       19.0,      11.56,    10.76,    11.28,    11.28,    12.91
       20.0,      11.97,    11.11,    11.67,    11.67,    13.43
       21.0,      12.37,    11.45,    12.04,    12.04,    13.94
       22.0,      12.77,    11.79,    12.42,    12.42,    14.45
       23.0,      13.16,    12.12,    12.78,    12.78,    14.95
       24.0,      13.55,    12.45,    13.14,    13.14,    15.45
       25.0,      13.93,    12.77,    13.50,    13.50,    15.95
       26.0,      14.31,    13.09,    13.85,    13.85,    16.44
       27.0,      14.68,    13.40,    14.20,    14.20,    16.92
       28.0,      15.05,    13.71,    14.54,    14.54,    17.40
       29.0,      15.41,    14.01,    14.88,    14.88,    17.88
       30.0,      15.77,    14.31,    15.21,    15.21,    18.35
       31.0,      16.13,    14.61,    15.54,    15.54,    18.82
       32.0,      16.48,    14.90,    15.87,    15.87,    19.28
       33.0,      16.83,    15.19,    16.19,    16.19,    19.75
       34.0,      17.18,    15.48,    16.51,    16.51,    20.21
       35.0,      17.52,    15.76,    16.82,    16.82,    20.66
       36.0,      17.86,    16.04,    17.14,    17.14,    21.11
       37.0,      18.20,    16.32,    17.45,    17.45,    21.56
       38.0,      18.53,    16.59,    17.76,    17.76,    22.01
       39.0,      18.86,    16.87,    18.06,    18.06,    22.46
       40.0,      19.19,    17.14,    18.36,    18.36,    22.90
       41.0,      19.52,    17.40,    18.66,    18.66,    23.34
       42.0,      19.84,    17.67,    18.96,    18.96,    23.78
       43.0,      20.16,    17.93,    19.25,    19.25,    24.21
       44.0,      20.48,    18.19,    19.54,    19.54,    24.64
       45.0,      20.80,    18.45,    19.83,    19.83,    25.07
       46.0,      21.11,    18.70,    20.12,    20.12,    25.50
       47.0,      21.42,    18.95,    20.40,    20.40,    25.93
       48.0,      21.73,    19.21,    20.69,    20.69,    26.35
       49.0,      22.04,    19.45,    20.97,    20.97,    26.77
       50.0,      22.35,    19.70,    21.25,    21.25,    27.20
       51.0,      22.67,    19.96,    21.53,    21.54,    27.66
       52.0,      23.02,    20.24,    21.82,    21.84,    28.17
       53.0,      23.40,    20.54,    22.13,    22.18,    28.75
       54.0,      23.83,    20.87,    22.46,    22.54,    29.43
       55.0,      24.29,    21.24,    22.83,    22.93,    30.18
       56.0,      24.79,    21.62,    23.23,    23.35,    30.97
       57.0,      25.29,    22.00,    23.64,    23.76,    31.76
       58.0,      25.77,    22.36,    24.04,    24.16,    32.50
       59.0,      26.19,    22.69,    24.42,    24.52,    33.12
       60.0,      26.52,    22.95,    24.74,    24.82,    33.58
       61.0,      26.76,    23.14,    24.99,    25.04,    33.85
       62.0,      26.88,    23.25,    25.16,    25.18,    33.92
       63.0,      26.89,    23.28,    25.24,    25.25,    33.80
       64.0,      26.81,    23.25,    25.24,    25.23,    33.53
       65.0,      26.65,    23.16,    25.16,    25.17,    33.13
       66.0,      26.44,    23.03,    25.03,    25.06,    32.65
       67.0,      26.20,    22.88,    24.87,    24.92,    32.14
       68.0,      25.96,    22.72,    24.69,    24.78,    31.63
       69.0,      25.71,    22.57,    24.51,    24.64,    31.13
       70.0,      25.48,    22.42,    24.34,    24.51,    30.66
       71.0,      25.26,    22.28,    24.18,    24.38,    30.22
       72.0,      25.05,    22.14,    24.03,    24.25,    29.80
