Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       1.55,     1.71,     1.49,     1.50,     1.49
        2.0,       2.59,     2.76,     2.54,     2.54,     2.54
        3.0,       3.50,     3.65,     3.46,     3.46,     3.46
        4.0,       4.34,     4.44,     4.30,     4.31,     4.30
        5.0,       5.12,     5.18,     5.10,     5.11,     5.10
        6.0,       5.87,     5.87,     5.86,     5.87,     5.86
        7.0,       6.58,     6.53,     6.59,     6.60,     6.59
        8.0,       7.26,     7.15,     7.30,     7.30,     7.30
        9.0,       7.93,     7.76,     7.99,     7.98,     7.99
       10.0,       8.58,     8.34,     8.66,     8.65,     8.66
       11.0,       9.21,     8.90,     9.31,     9.30,     9.31
       12.0,       9.82,     9.45,     9.95,     9.94,     9.95
       13.0,      10.42,     9.99,    10.58,    10.56,    10.58
       14.0,      11.02,    10.51,    11.19,    11.17,    11.19
       15.0,      11.60,    11.02,    11.80,    11.78,    11.80
       16.0,      12.17,    11.52,    12.39,    12.37,    12.39
       17.0,      12.73,    12.01,    12.98,    12.95,    12.98
       18.0,      13.28,    12.49,    13.56,    13.53,    13.56
       19.0,      13.83,    12.96,    14.13,    14.09,    14.13
       20.0,      14.37,    13.43,    14.69,    14.66,    14.69
       21.0,      14.90,    13.89,    15.25,    15.21,    15.25
       22.0,      15.42,    14.34,    15.80,    15.76,    15.80
       23.0,      15.94,    14.78,    16.34,    16.30,    16.34
       24.0,      16.46,    15.22,    16.88,    16.84,    16.88
       25.0,      16.96,    15.65,    17.42,    17.37,    17.42
       26.0,      17.47,    16.08,    17.94,    17.89,    17.94
       27.0,      17.96,    16.50,    18.47,    18.41,    18.47
       28.0,      18.46,    16.92,    18.99,    18.93,    18.99
       29.0,      18.95,    17.34,    19.50,    19.44,    19.50
       30.0,      19.43,    17.74,    20.01,    19.95,    20.01
       31.0,      19.91,    18.15,    20.52,    20.45,    20.52
       32.0,      20.39,    18.55,    21.02,    20.95,    21.02
       33.0,      20.86,    18.95,    21.52,    21.45,    21.52
       34.0,      21.33,    19.34,    22.02,    21.94,    22.02
       35.0,      21.80,    19.73,    22.51,    22.43,    22.51
       36.0,      22.26,    20.11,    23.00,    22.92,    23.00
       37.0,      22.72,    20.49,    23.49,    23.40,    23.49
       38.0,      23.17,    20.87,    23.97,    23.88,    23.97
       39.0,      23.63,    21.25,    24.45,    24.36,    24.45
       40.0,      24.08,    21.62,    24.93,    24.83,    24.93
       41.0,      24.52,    21.99,    25.40,    25.30,    25.40
       42.0,      24.97,    22.36,    25.87,    25.77,    25.87
       43.0,      25.41,    22.72,    26.34,    26.23,    26.34
       44.0,      25.85,    23.09,    26.81,    26.70,    26.81
       45.0,      26.30,    23.45,    27.28,    27.17,    27.32
       46.0,      26.78,    23.83,    27.76,    27.66,    27.87
       47.0,      27.30,    24.23,    28.28,    28.19,    28.51
       48.0,      27.88,    24.66,    28.83,    28.76,    29.25
       49.0,      28.50,    25.14,    29.42,    29.37,    30.07
       50.0,      29.16,    25.64,    30.04,    30.00,    30.94
       51.0,      29.82,    26.16,    30.67,    30.64,    31.81
       52.0,      30.46,    26.67,    31.29,    31.25,    32.62
       53.0,      31.03,    27.14,    31.86,    31.81,    33.30
       54.0,      31.50,    27.55,    32.37,    32.30,    33.80
       55.0,      31.85,    27.86,    32.78,    32.68,    34.09
       56.0,      32.07,    28.07,    33.08,    32.96,    34.15
       57.0,      32.15,    28.18,    33.27,    33.14,    34.00
       58.0,      32.10,    28.17,    33.36,    33.21,    33.67
       59.0,      31.97,    28.09,    33.37,    33.21,    33.20
       60.0,      31.76,    27.94,    33.31,    33.15,    32.63
       61.0,      31.51,    27.75,    33.22,    33.06,    32.03
       62.0,      31.25,    27.54,    33.10,    32.95,    31.43
       63.0,      31.00,    27.32,    32.98,    32.85,    30.85
       64.0,      30.76,    27.12,    32.87,    32.75,    30.30
       65.0,      30.53,    26.93,    32.77,    32.66,    29.78
       66.0,      30.32,    26.75,    32.68,    32.57,    29.29
       67.0,      30.11,    26.57,    32.58,    32.48,    28.82
       68.0,      29.91,    26.40,    32.49,    32.40,    28.36
       69.0,      29.71,    26.23,    32.39,    32.31,    27.92
       70.0,      29.52,    26.06,    32.30,    32.23,    27.50
       71.0,      29.33,    25.89,    32.21,    32.14,    27.10
       72.0,      29.15,    25.73,    32.12,    32.05,    26.71
       73.0,      28.97,    25.57,    32.02,    31.97,    26.33
       74.0,      28.80,    25.41,    31.93,    31.89,    25.97
       75.0,      28.63,    25.25,    31.84,    31.80,    25.62
       76.0,      28.46,    25.10,    31.75,    31.72,    25.29
       77.0,      28.30,    24.95,    31.66,    31.63,    24.97
       78.0,      28.14,    24.80,    31.57,    31.55,    24.66
       79.0,      27.99,    24.65,    31.48,    31.47,    24.36
       80.0,      27.84,    24.51,    31.39,    31.39,    24.07
       81.0,      27.69,    24.36,    31.30,    31.30,    23.79
       82.0,      27.54,    24.22,    31.21,    31.22,    23.52
       83.0,      27.40,    24.08,    31.12,    31.14,    23.26
       84.0,      27.26,    23.95,    31.03,    31.06,    23.02
       85.0,      27.13,    23.81,    30.94,    30.98,    22.78
       86.0,      26.99,    23.68,    30.85,    30.90,    22.55
       87.0,      26.86,    23.55,    30.77,    30.82,    22.32
       88.0,      26.74,    23.42,    30.68,    30.74,    22.11
       89.0,      26.61,    23.29,    30.59,    30.66,    21.90
       90.0,      26.49,    23.17,    30.50,    30.58,    21.70
       91.0,      26.37,    23.04,    30.42,    30.50,    21.51
       92.0,      26.25,    22.92,    30.33,    30.42,    21.32
       93.0,      26.13,    22.80,    30.25,    30.34,    21.14
       94.0,      26.02,    22.68,    30.16,    30.26,    20.97
       95.0,      25.91,    22.56,    30.07,    30.19,    20.80
       96.0,      25.80,    22.45,    29.99,    30.11,    20.64
       97.0,      25.69,    22.33,    29.90,    30.03,    20.49
       98.0,      25.58,    22.22,    29.82,    29.95,    20.34
       99.0,      25.48,    22.11,    29.73,    29.88,    20.19
      100.0,      25.38,    22.00,    29.65,    29.80,    20.05
      101.0,      25.27,    21.89,    29.57,    29.72,    19.92
      102.0,      25.18,    21.78,    29.48,    29.65,    19.79
      103.0,      25.08,    21.68,    29.40,    29.57,    19.66
      104.0,      24.98,    21.57,    29.32,    29.50,    19.54
      105.0,      24.89,    21.47,    29.23,    29.42,    19.42
      106.0,      24.79,    21.37,    29.15,    29.35,    19.31
      107.0,      24.70,    21.27,    29.07,    29.27,    19.20
      108.0,      24.61,    21.17,    28.99,    29.20,    19.09
      109.0,      24.52,    21.07,    28.90,    29.12,    18.99
      110.0,      24.43,    20.98,    28.82,    29.05,    18.89
