Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       1.15,     1.13,     1.13,     1.14,     1.20
        2.0,       1.70,     1.69,     1.69,     1.69,     1.75
        3.0,       2.15,     2.13,     2.13,     2.14,     2.19
        4.0,       2.53,     2.52,     2.52,     2.53,     2.56
        5.0,       2.88,     2.87,     2.87,     2.88,     2.89
        6.0,       3.19,     3.19,     3.19,     3.19,     3.19
        7.0,       3.49,     3.49,     3.49,     3.49,     3.47
        8.0,       3.76,     3.77,     3.77,     3.77,     3.73
        9.0,       4.02,     4.04,     4.04,     4.04,     3.98
       10.0,       4.27,     4.30,     4.30,     4.29,     4.21
       11.0,       4.51,     4.54,     4.54,     4.53,     4.44
       12.0,       4.74,     4.78,     4.78,     4.77,     4.65
       13.0,       4.97,     5.00,     5.00,     4.99,     4.86
       14.0,       5.18,     5.23,     5.23,     5.21,     5.06
       15.0,       5.39,     5.44,     5.44,     5.42,     5.25
       16.0,       5.59,     5.65,     5.65,     5.63,     5.44
       17.0,       5.79,     5.85,     5.85,     5.83,     5.62
       18.0,       5.98,     6.05,     6.05,     6.02,     5.80
       19.0,       6.17,     6.24,     6.24,     6.21,     5.97
       20.0,       6.35,     6.43,     6.43,     6.40,     6.14
       21.0,       6.53,     6.61,     6.61,     6.58,     6.31
       22.0,       6.71,     6.80,     6.80,     6.76,     6.47
       23.0,       6.88,     6.97,     6.97,     6.94,     6.63
       24.0,       7.05,     7.15,     7.15,     7.11,     6.79
       25.0,       7.22,     7.32,     7.32,     7.28,     6.94
       26.0,       7.38,     7.49,     7.49,     7.45,     7.09
       27.0,       7.54,     7.66,     7.66,     7.61,     7.23
       28.0,       7.70,     7.82,     7.82,     7.77,     7.38
       29.0,       7.85,     7.98,     7.98,     7.93,     7.52
       30.0,       8.01,     8.14,     8.14,     8.09,     7.66
       31.0,       8.16,     8.30,     8.30,     8.25,     7.80
       32.0,       8.31,     8.45,     8.45,     8.40,     7.94
       33.0,       8.46,     8.60,     8.60,     8.55,     8.07
       34.0,       8.60,     8.75,     8.75,     8.70,     8.20
       35.0,       8.75,     8.90,     8.90,     8.84,     8.33
       36.0,       8.89,     9.05,     9.05,     8.99,     8.46
       37.0,       9.03,     9.19,     9.19,     9.13,     8.59
       38.0,       9.17,     9.34,     9.34,     9.27,     8.71
       39.0,       9.30,     9.48,     9.48,     9.41,     8.84
       40.0,       9.44,     9.62,     9.62,     9.55,     8.96
       41.0,       9.57,     9.76,     9.76,     9.69,     9.08
       42.0,       9.71,     9.90,     9.90,     9.83,     9.20
       43.0,       9.84,    10.03,    10.03,     9.96,     9.32
       44.0,       9.97,    10.17,    10.17,    10.09,     9.44
       45.0,      10.10,    10.30,    10.30,    10.22,     9.55
       46.0,      10.22,    10.44,    10.44,    10.36,     9.67
       47.0,      10.35,    10.57,    10.57,    10.48,     9.78
       48.0,      10.48,    10.70,    10.70,    10.61,     9.90
       49.0,      10.60,    10.83,    10.83,    10.74,    10.01
       50.0,      10.72,    10.95,    10.95,    10.87,    10.12
       51.0,      10.85,    11.08,    11.08,    10.99,    10.23
       52.0,      10.97,    11.21,    11.21,    11.12,    10.34
       53.0,      11.09,    11.33,    11.33,    11.24,    10.44
       54.0,      11.21,    11.46,    11.46,    11.36,    10.55
       55.0,      11.32,    11.58,    11.58,    11.48,    10.66
       56.0,      11.44,    11.70,    11.70,    11.60,    10.76
       57.0,      11.56,    11.82,    11.82,    11.72,    10.87
       58.0,      11.67,    11.94,    11.94,    11.84,    10.97
       59.0,      11.79,    12.06,    12.06,    11.96,    11.07
       60.0,      11.90,    12.18,    12.18,    12.07,    11.17
       61.0,      12.01,    12.30,    12.30,    12.19,    11.28
       62.0,      12.13,    12.41,    12.41,    12.30,    11.38
       63.0,      12.24,    12.53,    12.53,    12.42,    11.48
       64.0,      12.35,    12.65,    12.65,    12.53,    11.57
       65.0,      12.46,    12.76,    12.76,    12.64,    11.67
       66.0,      12.57,    12.87,    12.87,    12.76,    11.77
       67.0,      12.68,    12.99,    12.99,    12.87,    11.87
       68.0,      12.78,    13.10,    13.10,    12.98,    11.96
       69.0,      12.89,    13.21,    13.21,    13.09,    12.06
       70.0,      13.00,    13.32,    13.32,    13.20,    12.15
       71.0,      13.10,    13.43,    13.43,    13.30,    12.25
       72.0,      13.21,    13.54,    13.54,    13.41,    12.34
       73.0,      13.31,    13.65,    13.65,    13.52,    12.43
       74.0,      13.42,    13.76,    13.76,    13.63,    12.53
       75.0,      13.52,    13.87,    13.87,    13.73,    12.62
       76.0,      13.62,    13.97,    13.97,    13.84,    12.71
       77.0,      13.73,    14.08,    14.08,    13.94,    12.80
       78.0,      13.83,    14.19,    14.19,    14.05,    12.89
       79.0,      13.93,    14.29,    14.29,    14.15,    12.98
       80.0,      14.03,    14.40,    14.40,    14.25,    13.07
       81.0,      14.13,    14.50,    14.50,    14.36,    13.16
       82.0,      14.23,    14.61,    14.61,    14.46,    13.25
       83.0,      14.33,    14.71,    14.71,    14.56,    13.33
       84.0,      14.43,    14.81,    14.81,    14.66,    13.42
       85.0,      14.52,    14.91,    14.91,    14.76,    13.51
       86.0,      14.62,    15.02,    15.02,    14.86,    13.59
       87.0,      14.72,    15.12,    15.12,    14.96,    13.68
       88.0,      14.82,    15.22,    15.22,    15.06,    13.77
       89.0,      14.91,    15.32,    15.32,    15.16,    13.85
       90.0,      15.01,    15.42,    15.42,    15.26,    13.94
       91.0,      15.10,    15.52,    15.52,    15.35,    14.02
       92.0,      15.20,    15.62,    15.62,    15.45,    14.10
       93.0,      15.29,    15.72,    15.72,    15.55,    14.19
       94.0,      15.39,    15.81,    15.81,    15.65,    14.27
       95.0,      15.48,    15.91,    15.91,    15.74,    14.35
       96.0,      15.57,    16.01,    16.01,    15.84,    14.43
       97.0,      15.66,    16.10,    16.10,    15.93,    14.52
       98.0,      15.76,    16.20,    16.20,    16.03,    14.60
       99.0,      15.85,    16.30,    16.30,    16.12,    14.68
      100.0,      15.94,    16.39,    16.39,    16.21,    14.76
      101.0,      16.03,    16.49,    16.49,    16.31,    14.84
      102.0,      16.12,    16.58,    16.58,    16.40,    14.92
      103.0,      16.21,    16.68,    16.68,    16.49,    15.00
      104.0,      16.30,    16.77,    16.77,    16.59,    15.08
      105.0,      16.39,    16.86,    16.86,    16.68,    15.16
      106.0,      16.48,    16.96,    16.96,    16.77,    15.23
      107.0,      16.57,    17.05,    17.05,    16.86,    15.31
      108.0,      16.66,    17.14,    17.14,    16.95,    15.39
      109.0,      16.74,    17.23,    17.23,    17.04,    15.47
      110.0,      16.83,    17.33,    17.33,    17.13,    15.54
      111.0,      16.92,    17.42,    17.42,    17.22,    15.62
      112.0,      17.01,    17.51,    17.51,    17.31,    15.70
      113.0,      17.09,    17.60,    17.60,    17.40,    15.77
      114.0,      17.18,    17.69,    17.69,    17.49,    15.85
      115.0,      17.27,    17.78,    17.78,    17.58,    15.93
      116.0,      17.35,    17.87,    17.87,    17.67,    16.00
      117.0,      17.44,    17.96,    17.96,    17.75,    16.08
      118.0,      17.52,    18.05,    18.05,    17.84,    16.15
      119.0,      17.61,    18.14,    18.14,    17.93,    16.22
      120.0,      17.69,    18.23,    18.23,    18.01,    16.30
      121.0,      17.78,    18.31,    18.31,    18.10,    16.37
      122.0,      17.86,    18.40,    18.40,    18.19,    16.45
