Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       1.55,     1.58,     1.56,     1.56,     1.52
        2.0,       2.30,     2.31,     2.30,     2.31,     2.28
        3.0,       2.90,     2.90,     2.90,     2.90,     2.89
        4.0,       3.41,     3.40,     3.41,     3.41,     3.42
        5.0,       3.87,     3.84,     3.87,     3.86,     3.90
        6.0,       4.29,     4.25,     4.29,     4.28,     4.34
        7.0,       4.68,     4.63,     4.68,     4.67,     4.75
        8.0,       5.05,     4.98,     5.05,     5.04,     5.14
        9.0,       5.40,     5.32,     5.40,     5.38,     5.50
       10.0,       5.73,     5.64,     5.73,     5.71,     5.85
       11.0,       6.05,     5.95,     6.05,     6.03,     6.19
       12.0,       6.36,     6.24,     6.36,     6.33,     6.51
       13.0,       6.65,     6.52,     6.65,     6.62,     6.82
       14.0,       6.94,     6.80,     6.94,     6.90,     7.13
       15.0,       7.22,     7.06,     7.21,     7.18,     7.42
       16.0,       7.49,     7.32,     7.48,     7.44,     7.71
       17.0,       7.75,     7.57,     7.74,     7.70,     7.99
       18.0,       8.00,     7.81,     8.00,     7.95,     8.26
       19.0,       8.25,     8.05,     8.25,     8.20,     8.52
       20.0,       8.50,     8.28,     8.49,     8.44,     8.78
       21.0,       8.74,     8.51,     8.73,     8.67,     9.04
       22.0,       8.97,     8.73,     8.96,     8.90,     9.29
       23.0,       9.20,     8.95,     9.19,     9.13,     9.53
       24.0,       9.42,     9.16,     9.41,     9.35,     9.77
       25.0,       9.65,     9.37,     9.63,     9.57,    10.01
       26.0,       9.86,     9.58,     9.85,     9.78,    10.24
       27.0,      10.08,     9.78,    10.06,     9.99,    10.47
       28.0,      10.29,     9.98,    10.27,    10.20,    10.69
       29.0,      10.49,    10.17,    10.48,    10.40,    10.92
       30.0,      10.70,    10.37,    10.68,    10.60,    11.14
       31.0,      10.90,    10.56,    10.88,    10.80,    11.35
       32.0,      11.10,    10.74,    11.08,    11.00,    11.56
       33.0,      11.29,    10.93,    11.27,    11.19,    11.77
       34.0,      11.48,    11.11,    11.47,    11.38,    11.98
