Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       3.37,     3.29,     3.45,     3.45,     3.28
        2.0,       5.79,     5.80,     5.81,     5.78,     5.76
        3.0,       8.02,     8.17,     7.94,     7.88,     8.08
        4.0,      10.23,    10.58,    10.04,     9.91,    10.39
        5.0,      12.54,    13.13,    12.20,    11.99,    12.84
        6.0,      14.99,    15.85,    14.45,    14.18,    15.46
        7.0,      17.57,    18.72,    16.81,    16.48,    18.28
        8.0,      20.24,    21.67,    19.21,    18.86,    21.22
        9.0,      22.90,    24.58,    21.58,    21.25,    24.19
       10.0,      25.43,    27.33,    23.81,    23.54,    27.05
       11.0,      27.72,    29.78,    25.82,    25.63,    29.66
       12.0,      29.66,    31.83,    27.51,    27.42,    31.87
       13.0,      31.17,    33.41,    28.83,    28.83,    33.60
       14.0,      32.22,    34.49,    29.76,    29.85,    34.79
       15.0,      32.83,    35.10,    30.32,    30.45,    35.45
       16.0,      33.05,    35.30,    30.56,    30.70,    35.64
       17.0,      32.94,    35.18,    30.53,    30.64,    35.43
       18.0,      32.61,    34.83,    30.32,    30.36,    34.93
       19.0,      32.14,    34.36,    30.00,    29.95,    34.26
       20.0,      31.61,    33.84,    29.63,    29.47,    33.51
       21.0,      31.08,    33.31,    29.26,    28.98,    32.76
       22.0,      30.56,    32.81,    28.90,    28.51,    32.03
       23.0,      30.07,    32.34,    28.55,    28.07,    31.33
       24.0,      29.61,    31.88,    28.22,    27.65,    30.68
       25.0,      29.16,    31.44,    27.90,    27.24,    30.05
       26.0,      28.73,    31.02,    27.59,    26.85,    29.44
       27.0,      28.31,    30.62,    27.29,    26.47,    28.86
       28.0,      27.91,    30.23,    26.99,    26.11,    28.30
       29.0,      27.52,    29.85,    26.71,    25.76,    27.76
       30.0,      27.15,    29.49,    26.43,    25.43,    27.24
       31.0,      26.79,    29.14,    26.16,    25.10,    26.74
       32.0,      26.44,    28.81,    25.90,    24.79,    26.26
       33.0,      26.11,    28.48,    25.65,    24.49,    25.80
       34.0,      25.78,    28.17,    25.41,    24.20,    25.36
       35.0,      25.47,    27.87,    25.17,    23.92,    24.93
       36.0,      25.17,    27.58,    24.94,    23.65,    24.52
       37.0,      24.88,    27.31,    24.71,    23.39,    24.12
       38.0,      24.60,    27.04,    24.49,    23.14,    23.74
       39.0,      24.33,    26.78,    24.28,    22.90,    23.38
       40.0,      24.07,    26.53,    24.08,    22.66,    23.02
       41.0,      23.82,    26.29,    23.88,    22.44,    22.68
       42.0,      23.58,    26.06,    23.68,    22.22,    22.36
       43.0,      23.35,    25.83,    23.49,    22.01,    22.04
       44.0,      23.12,    25.62,    23.31,    21.81,    21.74
       45.0,      22.90,    25.41,    23.13,    21.62,    21.45
       46.0,      22.69,    25.21,    22.96,    21.43,    21.16
       47.0,      22.49,    25.02,    22.79,    21.25,    20.89
       48.0,      22.29,    24.83,    22.63,    21.07,    20.63
       49.0,      22.10,    24.65,    22.47,    20.90,    20.38
       50.0,      21.92,    24.48,    22.31,    20.74,    20.14
       51.0,      21.74,    24.31,    22.16,    20.58,    19.91
       52.0,      21.57,    24.15,    22.02,    20.43,    19.68
       53.0,      21.40,    23.99,    21.87,    20.28,    19.47
       54.0,      21.24,    23.84,    21.74,    20.13,    19.26
       55.0,      21.09,    23.69,    21.60,    20.00,    19.06
       56.0,      20.94,    23.55,    21.47,    19.86,    18.86
       57.0,      20.79,    23.42,    21.34,    19.73,    18.68
       58.0,      20.65,    23.28,    21.22,    19.61,    18.50
       59.0,      20.52,    23.16,    21.10,    19.49,    18.32
       60.0,      20.39,    23.03,    20.98,    19.37,    18.16
       61.0,      20.26,    22.91,    20.87,    19.26,    18.00
       62.0,      20.14,    22.80,    20.76,    19.15,    17.84
       63.0,      20.02,    22.69,    20.65,    19.04,    17.69
       64.0,      19.90,    22.58,    20.54,    18.94,    17.55
       65.0,      19.79,    22.48,    20.44,    18.83,    17.41
       66.0,      19.68,    22.37,    20.34,    18.74,    17.27
       67.0,      19.58,    22.28,    20.24,    18.64,    17.14
       68.0,      19.47,    22.18,    20.15,    18.55,    17.01
       69.0,      19.38,    22.09,    20.06,    18.46,    16.89
       70.0,      19.28,    22.00,    19.97,    18.38,    16.78
       71.0,      19.19,    21.91,    19.88,    18.29,    16.66
       72.0,      19.10,    21.83,    19.79,    18.21,    16.55
       73.0,      19.01,    21.75,    19.71,    18.13,    16.45
       74.0,      18.93,    21.67,    19.63,    18.06,    16.35
       75.0,      18.84,    21.59,    19.55,    17.98,    16.25
       76.0,      18.76,    21.52,    19.47,    17.91,    16.15
       77.0,      18.69,    21.45,    19.40,    17.84,    16.06
       78.0,      18.61,    21.38,    19.32,    17.77,    15.97
       79.0,      18.54,    21.31,    19.25,    17.70,    15.88
       80.0,      18.47,    21.24,    19.18,    17.64,    15.80
       81.0,      18.40,    21.18,    19.11,    17.58,    15.72
       82.0,      18.33,    21.12,    19.05,    17.51,    15.64
       83.0,      18.26,    21.06,    18.98,    17.45,    15.57
       84.0,      18.20,    21.00,    18.92,    17.39,    15.49
       85.0,      18.14,    20.94,    18.86,    17.34,    15.42
       86.0,      18.08,    20.88,    18.79,    17.28,    15.35
       87.0,      18.02,    20.83,    18.73,    17.23,    15.29
       88.0,      17.96,    20.77,    18.68,    17.17,    15.22
       89.0,      17.91,    20.72,    18.62,    17.12,    15.16
       90.0,      17.85,    20.67,    18.56,    17.07,    15.10
       91.0,      17.80,    20.62,    18.51,    17.02,    15.04
       92.0,      17.75,    20.57,    18.46,    16.97,    14.98
       93.0,      17.70,    20.53,    18.40,    16.92,    14.93
       94.0,      17.65,    20.48,    18.35,    16.88,    14.87
       95.0,      17.60,    20.43,    18.30,    16.83,    14.82
       96.0,      17.55,    20.39,    18.25,    16.79,    14.77
       97.0,      17.50,    20.35,    18.21,    16.74,    14.72
       98.0,      17.46,    20.30,    18.16,    16.70,    14.67
       99.0,      17.42,    20.26,    18.11,    16.66,    14.62
      100.0,      17.37,    20.22,    18.07,    16.62,    14.58
