Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
      105.0,      15.96,    19.18,    13.33,    11.77,    19.56
      106.0,      15.91,    19.11,    13.29,    11.73,    19.52
      107.0,      15.87,    19.03,    13.26,    11.69,    19.48
      108.0,      15.82,    18.96,    13.22,    11.66,    19.45
      109.0,      15.78,    18.89,    13.19,    11.62,    19.41
      110.0,      15.74,    18.82,    13.16,    11.59,    19.37
      111.0,      15.69,    18.75,    13.13,    11.56,    19.34
      112.0,      15.65,    18.69,    13.09,    11.52,    19.30
      113.0,      15.61,    18.62,    13.06,    11.49,    19.27
      114.0,      15.57,    18.55,    13.03,    11.46,    19.23
      115.0,      15.53,    18.49,    13.01,    11.43,    19.20
      116.0,      15.49,    18.42,    12.98,    11.41,    19.17
      117.0,      15.46,    18.36,    12.95,    11.38,    19.14
      118.0,      15.42,    18.29,    12.92,    11.35,    19.10
      119.0,      15.38,    18.23,    12.90,    11.32,    19.07
      120.0,      15.34,    18.17,    12.87,    11.30,    19.04
      121.0,      15.31,    18.11,    12.85,    11.27,    19.01
      122.0,      15.27,    18.05,    12.82,    11.25,    18.98
      123.0,      15.24,    17.99,    12.80,    11.22,    18.95
      124.0,      15.21,    17.93,    12.77,    11.20,    18.92
      125.0,      15.17,    17.87,    12.75,    11.18,    18.89
      126.0,      15.14,    17.81,    12.73,    11.15,    18.86
      127.0,      15.11,    17.76,    12.70,    11.13,    18.83
      128.0,      15.07,    17.70,    12.68,    11.11,    18.81
      129.0,      15.04,    17.64,    12.66,    11.09,    18.78
      130.0,      15.01,    17.59,    12.64,    11.07,    18.75
      131.0,      14.98,    17.53,    12.62,    11.05,    18.72
      132.0,      14.95,    17.48,    12.60,    11.03,    18.70
      133.0,      14.92,    17.43,    12.58,    11.01,    18.67
      134.0,      14.89,    17.37,    12.56,    10.99,    18.65
      135.0,      14.86,    17.32,    12.54,    10.97,    18.62
      136.0,      14.83,    17.27,    12.52,    10.95,    18.59
      137.0,      14.80,    17.22,    12.50,    10.93,    18.57
      138.0,      14.78,    17.17,    12.48,    10.91,    18.54
      139.0,      14.75,    17.12,    12.46,    10.90,    18.52
      140.0,      14.72,    17.07,    12.44,    10.88,    18.49
      141.0,      14.69,    17.02,    12.43,    10.86,    18.47
      142.0,      14.67,    16.97,    12.41,    10.84,    18.45
      143.0,      14.64,    16.92,    12.39,    10.83,    18.42
      144.0,      14.61,    16.87,    12.37,    10.81,    18.40
      145.0,      14.59,    16.82,    12.36,    10.79,    18.37
      146.0,      14.56,    16.78,    12.34,    10.78,    18.35
      147.0,      14.54,    16.73,    12.32,    10.76,    18.33
      148.0,      14.51,    16.69,    12.31,    10.75,    18.31
      149.0,      14.49,    16.64,    12.29,    10.73,    18.28
      150.0,      14.46,    16.60,    12.27,    10.72,    18.26
      151.0,      14.44,    16.55,    12.26,    10.70,    18.24
      152.0,      14.41,    16.51,    12.24,    10.69,    18.22
      153.0,      14.39,    16.46,    12.23,    10.67,    18.19
      154.0,      14.37,    16.42,    12.21,    10.66,    18.17
      155.0,      14.34,    16.38,    12.20,    10.64,    18.15
      156.0,      14.32,    16.34,    12.18,    10.63,    18.13
      157.0,      14.30,    16.29,    12.16,    10.62,    18.11
      158.0,      14.27,    16.25,    12.15,    10.60,    18.09
      159.0,      14.25,    16.21,    12.13,    10.59,    18.06
      160.0,      14.23,    16.17,    12.12,    10.57,    18.04
      161.0,      14.20,    16.13,    12.11,    10.56,    18.02
      162.0,      14.18,    16.09,    12.09,    10.55,    18.00
      163.0,      14.16,    16.05,    12.08,    10.53,    17.98
      164.0,      14.14,    16.01,    12.06,    10.52,    17.96
      165.0,      14.12,    15.97,    12.05,    10.51,    17.94
      166.0,      14.10,    15.93,    12.03,    10.50,    17.92
      167.0,      14.07,    15.90,    12.02,    10.48,    17.90
      168.0,      14.05,    15.86,    12.01,    10.47,    17.88
      169.0,      14.03,    15.82,    11.99,    10.46,    17.86
      170.0,      14.01,    15.78,    11.98,    10.45,    17.84
      171.0,      13.99,    15.75,    11.96,    10.43,    17.82
      172.0,      13.97,    15.71,    11.95,    10.42,    17.80
      173.0,      13.95,    15.68,    11.94,    10.41,    17.78
      174.0,      13.93,    15.64,    11.92,    10.40,    17.76
      175.0,      13.91,    15.60,    11.91,    10.38,    17.74
      176.0,      13.89,    15.57,    11.90,    10.37,    17.72
      177.0,      13.87,    15.53,    11.88,    10.36,    17.70
      178.0,      13.85,    15.50,    11.87,    10.35,    17.68
      179.0,      13.83,    15.47,    11.86,    10.34,    17.66
      180.0,      13.81,    15.43,    11.85,    10.33,    17.64
      181.0,      13.79,    15.40,    11.83,    10.31,    17.62
      182.0,      13.77,    15.37,    11.82,    10.30,    17.60
      183.0,      13.75,    15.33,    11.81,    10.29,    17.59
      184.0,      13.73,    15.30,    11.79,    10.28,    17.57
      185.0,      13.72,    15.27,    11.78,    10.27,    17.55
      186.0,      13.70,    15.23,    11.77,    10.26,    17.53
      187.0,      13.68,    15.20,    11.76,    10.25,    17.51
      188.0,      13.66,    15.17,    11.74,    10.23,    17.49
      189.0,      13.64,    15.14,    11.73,    10.22,    17.47
      190.0,      13.62,    15.11,    11.72,    10.21,    17.45
      191.0,      13.61,    15.08,    11.71,    10.20,    17.44
      192.0,      13.59,    15.05,    11.69,    10.19,    17.42
      193.0,      13.57,    15.02,    11.68,    10.18,    17.40
      194.0,      13.55,    14.99,    11.67,    10.17,    17.38
      195.0,      13.53,    14.96,    11.66,    10.16,    17.36
      196.0,      13.52,    14.93,    11.64,    10.15,    17.34
      197.0,      13.50,    14.90,    11.63,    10.14,    17.33
      198.0,      13.48,    14.87,    11.62,    10.12,    17.31
      199.0,      13.46,    14.84,    11.61,    10.11,    17.29
      200.0,      13.45,    14.81,    11.60,    10.10,    17.27
      201.0,      13.43,    14.78,    11.58,    10.09,    17.25
      202.0,      13.41,    14.75,    11.57,    10.08,    17.24
      203.0,      13.39,    14.73,    11.56,    10.07,    17.22
      204.0,      13.38,    14.70,    11.55,    10.06,    17.20
      205.0,      13.36,    14.67,    11.53,    10.05,    17.18
      206.0,      13.34,    14.64,    11.52,    10.04,    17.16
      207.0,      13.33,    14.62,    11.51,    10.03,    17.15
      208.0,      13.31,    14.59,    11.50,    10.02,    17.13
      209.0,      13.29,    14.56,    11.49,    10.01,    17.11
      210.0,      13.28,    14.53,    11.48,    10.00,    17.09
      211.0,      13.26,    14.51,    11.46,     9.99,    17.08
      212.0,      13.24,    14.48,    11.45,     9.98,    17.06
      213.0,      13.23,    14.46,    11.44,     9.97,    17.04
      214.0,      13.21,    14.43,    11.43,     9.96,    17.02
      215.0,      13.19,    14.40,    11.42,     9.95,    17.01
      216.0,      13.18,    14.38,    11.41,     9.94,    16.99
      217.0,      13.16,    14.35,    11.39,     9.93,    16.97
      218.0,      13.14,    14.33,    11.38,     9.92,    16.95
      219.0,      13.13,    14.30,    11.37,     9.91,    16.94
      220.0,      13.11,    14.28,    11.36,     9.90,    16.92
      221.0,      13.10,    14.25,    11.35,     9.89,    16.90
      222.0,      13.08,    14.23,    11.34,     9.88,    16.88
      223.0,      13.06,    14.20,    11.32,     9.87,    16.87
      224.0,      13.05,    14.18,    11.31,     9.86,    16.85
      225.0,      13.03,    14.16,    11.30,     9.84,    16.83
      226.0,      13.02,    14.13,    11.29,     9.83,    16.81
      227.0,      13.00,    14.11,    11.28,     9.82,    16.80
      228.0,      12.99,    14.08,    11.27,     9.81,    16.78
      229.0,      12.97,    14.06,    11.26,     9.80,    16.76
      230.0,      12.96,    14.04,    11.24,     9.79,    16.75
      231.0,      12.94,    14.01,    11.23,     9.78,    16.73
      232.0,      12.93,    13.99,    11.22,     9.77,    16.71
      233.0,      12.91,    13.97,    11.21,     9.77,    16.70
      234.0,      12.89,    13.95,    11.20,     9.76,    16.68
      235.0,      12.88,    13.92,    11.19,     9.75,    16.66
      236.0,      12.86,    13.90,    11.18,     9.74,    16.64
      237.0,      12.85,    13.88,    11.16,     9.73,    16.63
      238.0,      12.83,    13.86,    11.15,     9.72,    16.61
      239.0,      12.82,    13.83,    11.14,     9.71,    16.59
      240.0,      12.80,    13.81,    11.13,     9.70,    16.58
      241.0,      12.79,    13.79,    11.12,     9.69,    16.56
      242.0,      12.77,    13.77,    11.11,     9.68,    16.54
      243.0,      12.76,    13.75,    11.10,     9.67,    16.53
      244.0,      12.74,    13.73,    11.09,     9.66,    16.51
      245.0,      12.73,    13.70,    11.07,     9.65,    16.49
      246.0,      12.72,    13.68,    11.06,     9.64,    16.48
      247.0,      12.70,    13.66,    11.05,     9.63,    16.46
      248.0,      12.69,    13.64,    11.04,     9.62,    16.44
      249.0,      12.67,    13.62,    11.03,     9.61,    16.43
      250.0,      12.66,    13.60,    11.02,     9.60,    16.41
      251.0,      12.64,    13.58,    11.01,     9.59,    16.39
      252.0,      12.63,    13.56,    11.00,     9.58,    16.38
      253.0,      12.61,    13.54,    10.99,     9.57,    16.36
      254.0,      12.60,    13.52,    10.97,     9.56,    16.34
      255.0,      12.58,    13.50,    10.96,     9.55,    16.33
      256.0,      12.57,    13.48,    10.95,     9.54,    16.31
      257.0,      12.56,    13.46,    10.94,     9.53,    16.30
      258.0,      12.54,    13.44,    10.93,     9.52,    16.28
      259.0,      12.53,    13.42,    10.92,     9.51,    16.26
      260.0,      12.51,    13.40,    10.91,     9.50,    16.25
      261.0,      12.50,    13.38,    10.90,     9.49,    16.23
      262.0,      12.49,    13.36,    10.89,     9.48,    16.21
      263.0,      12.47,    13.34,    10.88,     9.47,    16.20
      264.0,      12.46,    13.32,    10.86,     9.46,    16.18
      265.0,      12.44,    13.30,    10.85,     9.45,    16.17
      266.0,      12.43,    13.28,    10.84,     9.45,    16.15
      267.0,      12.42,    13.26,    10.83,     9.44,    16.13
      268.0,      12.40,    13.24,    10.82,     9.43,    16.12
      269.0,      12.39,    13.22,    10.81,     9.42,    16.10
      270.0,      12.37,    13.21,    10.80,     9.41,    16.08
      271.0,      12.36,    13.19,    10.79,     9.40,    16.07
      272.0,      12.35,    13.17,    10.78,     9.39,    16.05
      273.0,      12.33,    13.15,    10.77,     9.38,    16.04
      274.0,      12.32,    13.13,    10.76,     9.37,    16.02
      275.0,      12.31,    13.11,    10.75,     9.36,    16.00
      276.0,      12.29,    13.10,    10.73,     9.35,    15.99
      277.0,      12.28,    13.08,    10.72,     9.34,    15.97
      278.0,      12.26,    13.06,    10.71,     9.33,    15.96
      279.0,      12.25,    13.04,    10.70,     9.32,    15.94
      280.0,      12.24,    13.02,    10.69,     9.31,    15.92
      281.0,      12.22,    13.00,    10.68,     9.30,    15.91
      282.0,      12.21,    12.99,    10.67,     9.29,    15.89
      283.0,      12.20,    12.97,    10.66,     9.29,    15.88
      284.0,      12.18,    12.95,    10.65,     9.28,    15.86
      285.0,      12.17,    12.93,    10.64,     9.27,    15.84
      286.0,      12.16,    12.92,    10.63,     9.26,    15.83
      287.0,      12.14,    12.90,    10.62,     9.25,    15.81
      288.0,      12.13,    12.88,    10.61,     9.24,    15.80
      289.0,      12.12,    12.86,    10.60,     9.23,    15.78
      290.0,      12.10,    12.85,    10.59,     9.22,    15.76
      291.0,      12.09,    12.83,    10.57,     9.21,    15.75
      292.0,      12.08,    12.81,    10.56,     9.20,    15.73
      293.0,      12.06,    12.80,    10.55,     9.19,    15.72
      294.0,      12.05,    12.78,    10.54,     9.18,    15.70
      295.0,      12.04,    12.76,    10.53,     9.17,    15.69
      296.0,      12.03,    12.75,    10.52,     9.17,    15.67
      297.0,      12.01,    12.73,    10.51,     9.16,    15.65
      298.0,      12.00,    12.71,    10.50,     9.15,    15.64
      299.0,      11.99,    12.69,    10.49,     9.14,    15.62
      300.0,      11.97,    12.68,    10.48,     9.13,    15.61
      301.0,      11.96,    12.66,    10.47,     9.12,    15.59
      302.0,      11.95,    12.65,    10.46,     9.11,    15.58
      303.0,      11.93,    12.63,    10.45,     9.10,    15.56
      304.0,      11.92,    12.61,    10.44,     9.09,    15.54
      305.0,      11.91,    12.60,    10.43,     9.08,    15.53
      306.0,      11.90,    12.58,    10.42,     9.07,    15.51
      307.0,      11.88,    12.56,    10.41,     9.06,    15.50
      308.0,      11.87,    12.55,    10.40,     9.06,    15.48
      309.0,      11.86,    12.53,    10.39,     9.05,    15.47
      310.0,      11.85,    12.52,    10.38,     9.04,    15.45
      311.0,      11.83,    12.50,    10.37,     9.03,    15.44
      312.0,      11.82,    12.48,    10.35,     9.02,    15.42
      313.0,      11.81,    12.47,    10.34,     9.01,    15.41
      314.0,      11.79,    12.45,    10.33,     9.00,    15.39
      315.0,      11.78,    12.44,    10.32,     8.99,    15.37
      316.0,      11.77,    12.42,    10.31,     8.98,    15.36
      317.0,      11.76,    12.40,    10.30,     8.97,    15.34
      318.0,      11.74,    12.39,    10.29,     8.97,    15.33
      319.0,      11.73,    12.37,    10.28,     8.96,    15.31
      320.0,      11.72,    12.36,    10.27,     8.95,    15.30
      321.0,      11.71,    12.34,    10.26,     8.94,    15.28
      322.0,      11.69,    12.33,    10.25,     8.93,    15.27
      323.0,      11.68,    12.31,    10.24,     8.92,    15.25
      324.0,      11.67,    12.30,    10.23,     8.91,    15.24
      325.0,      11.66,    12.28,    10.22,     8.90,    15.22
      326.0,      11.64,    12.27,    10.21,     8.89,    15.21
      327.0,      11.63,    12.25,    10.20,     8.89,    15.19
      328.0,      11.62,    12.24,    10.19,     8.88,    15.18
      329.0,      11.61,    12.22,    10.18,     8.87,    15.16
      330.0,      11.59,    12.21,    10.17,     8.86,    15.15
      331.0,      11.58,    12.19,    10.16,     8.85,    15.13
      332.0,      11.57,    12.18,    10.15,     8.84,    15.12
      333.0,      11.56,    12.16,    10.14,     8.83,    15.10
      334.0,      11.55,    12.15,    10.13,     8.82,    15.09
      335.0,      11.53,    12.13,    10.12,     8.81,    15.07
      336.0,      11.52,    12.12,    10.11,     8.81,    15.06
      337.0,      11.51,    12.10,    10.10,     8.80,    15.04
      338.0,      11.50,    12.09,    10.09,     8.79,    15.02
      339.0,      11.48,    12.07,    10.08,     8.78,    15.01
      340.0,      11.47,    12.06,    10.07,     8.77,    14.99
      341.0,      11.46,    12.04,    10.06,     8.76,    14.98
      342.0,      11.45,    12.03,    10.05,     8.75,    14.96
      343.0,      11.44,    12.01,    10.04,     8.74,    14.95
      344.0,      11.42,    12.00,    10.03,     8.74,    14.93
      345.0,      11.41,    11.98,    10.02,     8.73,    14.92
      346.0,      11.40,    11.97,    10.01,     8.72,    14.91
      347.0,      11.39,    11.96,    10.00,     8.71,    14.89
      348.0,      11.38,    11.94,     9.99,     8.70,    14.88
      349.0,      11.36,    11.93,     9.98,     8.69,    14.86
      350.0,      11.35,    11.91,     9.97,     8.68,    14.85
      351.0,      11.34,    11.90,     9.96,     8.67,    14.83
      352.0,      11.33,    11.88,     9.95,     8.67,    14.82
      353.0,      11.32,    11.87,     9.94,     8.66,    14.80
      354.0,      11.30,    11.86,     9.93,     8.65,    14.79
      355.0,      11.29,    11.84,     9.92,     8.64,    14.77
      356.0,      11.28,    11.83,     9.91,     8.63,    14.76
      357.0,      11.27,    11.81,     9.90,     8.62,    14.74
      358.0,      11.26,    11.80,     9.89,     8.61,    14.73
      359.0,      11.25,    11.79,     9.88,     8.61,    14.71
      360.0,      11.23,    11.77,     9.87,     8.60,    14.70
      361.0,      11.22,    11.76,     9.86,     8.59,    14.68
      362.0,      11.21,    11.74,     9.85,     8.58,    14.67
      363.0,      11.20,    11.73,     9.84,     8.57,    14.65
      364.0,      11.19,    11.72,     9.83,     8.56,    14.64
      365.0,      11.18,    11.70,     9.82,     8.55,    14.62
      366.0,      11.16,    11.69,     9.81,     8.55,    14.61
      367.0,      11.15,    11.67,     9.80,     8.54,    14.60
      368.0,      11.14,    11.66,     9.79,     8.53,    14.58
      369.0,      11.13,    11.65,     9.78,     8.52,    14.57
      370.0,      11.12,    11.63,     9.77,     8.51,    14.55
      371.0,      11.11,    11.62,     9.76,     8.50,    14.54
      372.0,      11.09,    11.61,     9.75,     8.49,    14.52
      373.0,      11.08,    11.59,     9.74,     8.49,    14.51
      374.0,      11.07,    11.58,     9.73,     8.48,    14.49
      375.0,      11.06,    11.57,     9.72,     8.47,    14.48
      376.0,      11.05,    11.55,     9.71,     8.46,    14.46
      377.0,      11.04,    11.54,     9.70,     8.45,    14.45
      378.0,      11.02,    11.53,     9.69,     8.44,    14.44
      379.0,      11.01,    11.51,     9.68,     8.44,    14.42
      380.0,      11.00,    11.50,     9.67,     8.43,    14.41
      381.0,      10.99,    11.49,     9.66,     8.42,    14.39
      382.0,      10.98,    11.47,     9.65,     8.41,    14.38
