Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       3.45,     3.43,     3.47,     3.43,     3.47
        2.0,       5.96,     5.97,     5.99,     5.94,     5.95
        3.0,       8.27,     8.33,     8.31,     8.24,     8.20
        4.0,      10.53,    10.67,    10.61,    10.46,    10.36
        5.0,      12.83,    13.10,    12.97,    12.72,    12.54
        6.0,      15.24,    15.66,    15.44,    15.08,    14.80
        7.0,      17.76,    18.34,    18.00,    17.55,    17.17
        8.0,      20.36,    21.09,    20.60,    20.11,    19.63
        9.0,      22.95,    23.81,    23.17,    22.70,    22.12
       10.0,      25.45,    26.41,    25.61,    25.22,    24.57
       11.0,      27.76,    28.77,    27.82,    27.58,    26.87
       12.0,      29.77,    30.79,    29.72,    29.67,    28.92
       13.0,      31.43,    32.41,    31.25,    31.41,    30.64
       14.0,      32.69,    33.59,    32.40,    32.77,    31.99
       15.0,      33.55,    34.35,    33.17,    33.73,    32.94
       16.0,      34.05,    34.74,    33.62,    34.32,    33.53
       17.0,      34.25,    34.82,    33.80,    34.59,    33.79
       18.0,      34.23,    34.69,    33.80,    34.62,    33.81
       19.0,      34.07,    34.43,    33.68,    34.49,    33.66
       20.0,      33.82,    34.11,    33.51,    34.27,    33.41
       21.0,      33.56,    33.77,    33.32,    34.02,    33.12
       22.0,      33.29,    33.44,    33.14,    33.76,    32.83
       23.0,      33.04,    33.12,    32.97,    33.52,    32.55
       24.0,      32.80,    32.82,    32.80,    33.29,    32.29
       25.0,      32.56,    32.52,    32.63,    33.06,    32.03
       26.0,      32.33,    32.22,    32.47,    32.84,    31.78
       27.0,      32.09,    31.93,    32.30,    32.61,    31.52
       28.0,      31.86,    31.65,    32.14,    32.39,    31.28
       29.0,      31.64,    31.37,    31.98,    32.17,    31.03
       30.0,      31.42,    31.10,    31.82,    31.96,    30.78
       31.0,      31.20,    30.83,    31.67,    31.74,    30.54
       32.0,      30.98,    30.57,    31.51,    31.53,    30.30
       33.0,      30.76,    30.31,    31.36,    31.32,    30.07
       34.0,      30.55,    30.06,    31.21,    31.11,    29.83
       35.0,      30.34,    29.81,    31.05,    30.90,    29.60
       36.0,      30.13,    29.57,    30.91,    30.70,    29.37
       37.0,      29.93,    29.33,    30.76,    30.49,    29.14
       38.0,      29.73,    29.09,    30.61,    30.29,    28.92
       39.0,      29.53,    28.86,    30.47,    30.09,    28.69
       40.0,      29.33,    28.64,    30.33,    29.90,    28.47
       41.0,      29.14,    28.42,    30.18,    29.70,    28.25
       42.0,      28.95,    28.20,    30.04,    29.51,    28.04
       43.0,      28.76,    27.98,    29.91,    29.32,    27.82
       44.0,      28.57,    27.78,    29.77,    29.13,    27.61
       45.0,      28.39,    27.57,    29.63,    28.94,    27.40
       46.0,      28.20,    27.37,    29.50,    28.75,    27.19
       47.0,      28.02,    27.17,    29.37,    28.57,    26.99
       48.0,      27.84,    26.98,    29.24,    28.38,    26.78
       49.0,      27.67,    26.78,    29.11,    28.20,    26.58
       50.0,      27.49,    26.60,    28.98,    28.02,    26.38
       51.0,      27.32,    26.41,    28.85,    27.84,    26.19
       52.0,      27.15,    26.23,    28.72,    27.67,    25.99
       53.0,      26.99,    26.06,    28.60,    27.49,    25.80
       54.0,      26.82,    25.88,    28.47,    27.32,    25.61
       55.0,      26.66,    25.71,    28.35,    27.15,    25.42
       56.0,      26.50,    25.54,    28.23,    26.98,    25.23
       57.0,      26.34,    25.38,    28.11,    26.81,    25.04
       58.0,      26.18,    25.22,    27.99,    26.64,    24.86
       59.0,      26.02,    25.06,    27.87,    26.48,    24.68
       60.0,      25.87,    24.90,    27.76,    26.31,    24.50
       61.0,      25.72,    24.75,    27.64,    26.15,    24.32
       62.0,      25.56,    24.60,    27.53,    25.99,    24.14
       63.0,      25.42,    24.45,    27.42,    25.83,    23.97
       64.0,      25.27,    24.31,    27.30,    25.67,    23.79
       65.0,      25.12,    24.16,    27.19,    25.52,    23.62
       66.0,      24.98,    24.02,    27.08,    25.36,    23.45
       67.0,      24.84,    23.89,    26.98,    25.21,    23.29
       68.0,      24.70,    23.75,    26.87,    25.05,    23.12
       69.0,      24.56,    23.62,    26.76,    24.90,    22.96
       70.0,      24.42,    23.49,    26.66,    24.75,    22.79
       71.0,      24.29,    23.36,    26.55,    24.61,    22.63
       72.0,      24.15,    23.23,    26.45,    24.46,    22.47
       73.0,      24.02,    23.11,    26.35,    24.31,    22.31
       74.0,      23.89,    22.99,    26.25,    24.17,    22.16
       75.0,      23.76,    22.87,    26.15,    24.03,    22.00
       76.0,      23.63,    22.75,    26.05,    23.89,    21.85
       77.0,      23.51,    22.64,    25.95,    23.75,    21.70
       78.0,      23.38,    22.52,    25.85,    23.61,    21.55
       79.0,      23.26,    22.41,    25.75,    23.47,    21.40
       80.0,      23.14,    22.30,    25.66,    23.33,    21.25
