Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
      105.0,      18.74,    17.52,    22.73,    13.48,    21.24
      106.0,      18.67,    17.46,    22.66,    13.40,    21.14
      107.0,      18.59,    17.41,    22.60,    13.33,    21.03
      108.0,      18.52,    17.35,    22.54,    13.26,    20.92
      109.0,      18.45,    17.30,    22.48,    13.19,    20.82
      110.0,      18.38,    17.25,    22.42,    13.12,    20.71
      111.0,      18.31,    17.20,    22.36,    13.05,    20.61
      112.0,      18.24,    17.16,    22.30,    12.99,    20.50
      113.0,      18.17,    17.11,    22.24,    12.92,    20.40
      114.0,      18.10,    17.06,    22.18,    12.86,    20.30
      115.0,      18.03,    17.02,    22.12,    12.79,    20.20
      116.0,      17.96,    16.98,    22.06,    12.73,    20.10
      117.0,      17.90,    16.93,    22.00,    12.67,    19.99
      118.0,      17.83,    16.89,    21.94,    12.61,    19.89
      119.0,      17.77,    16.85,    21.88,    12.55,    19.79
      120.0,      17.70,    16.81,    21.82,    12.49,    19.69
      121.0,      17.64,    16.77,    21.76,    12.43,    19.59
      122.0,      17.58,    16.73,    21.70,    12.37,    19.50
      123.0,      17.51,    16.70,    21.64,    12.31,    19.40
      124.0,      17.45,    16.66,    21.59,    12.25,    19.30
      125.0,      17.39,    16.62,    21.53,    12.20,    19.20
      126.0,      17.33,    16.59,    21.47,    12.14,    19.11
      127.0,      17.27,    16.55,    21.41,    12.08,    19.01
      128.0,      17.21,    16.52,    21.36,    12.03,    18.92
      129.0,      17.15,    16.49,    21.30,    11.97,    18.82
      130.0,      17.09,    16.45,    21.24,    11.92,    18.73
      131.0,      17.03,    16.42,    21.19,    11.87,    18.63
      132.0,      16.97,    16.39,    21.13,    11.82,    18.54
      133.0,      16.91,    16.36,    21.08,    11.76,    18.45
      134.0,      16.85,    16.33,    21.02,    11.71,    18.35
      135.0,      16.80,    16.30,    20.97,    11.66,    18.26
      136.0,      16.74,    16.27,    20.91,    11.61,    18.17
