Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       1.29,     1.13,     1.39,     1.39,     1.26
        2.0,       2.31,     2.11,     2.43,     2.43,     2.27
        3.0,       3.25,     3.05,     3.38,     3.38,     3.22
        4.0,       4.15,     3.95,     4.27,     4.27,     4.12
        5.0,       5.01,     4.83,     5.11,     5.11,     4.98
        6.0,       5.84,     5.69,     5.93,     5.93,     5.83
        7.0,       6.66,     6.54,     6.72,     6.72,     6.65
        8.0,       7.45,     7.38,     7.49,     7.49,     7.45
        9.0,       8.23,     8.20,     8.24,     8.24,     8.25
       10.0,       9.00,     9.02,     8.97,     8.97,     9.03
       11.0,       9.75,     9.83,     9.69,     9.69,     9.79
       12.0,      10.50,    10.63,    10.40,    10.40,    10.55
       13.0,      11.23,    11.43,    11.10,    11.10,    11.30
       14.0,      11.96,    12.22,    11.79,    11.79,    12.04
       15.0,      12.68,    13.00,    12.47,    12.47,    12.77
       16.0,      13.39,    13.78,    13.14,    13.14,    13.50
       17.0,      14.09,    14.56,    13.80,    13.80,    14.22
       18.0,      14.79,    15.33,    14.45,    14.45,    14.93
       19.0,      15.48,    16.09,    15.10,    15.10,    15.64
       20.0,      16.17,    16.86,    15.74,    15.74,    16.34
       21.0,      16.85,    17.61,    16.38,    16.38,    17.04
       22.0,      17.53,    18.37,    17.01,    17.01,    17.73
       23.0,      18.20,    19.12,    17.63,    17.63,    18.42
       24.0,      18.87,    19.87,    18.25,    18.25,    19.11
       25.0,      19.53,    20.61,    18.87,    18.87,    19.79
       26.0,      20.19,    21.36,    19.48,    19.48,    20.46
       27.0,      20.85,    22.10,    20.08,    20.08,    21.13
       28.0,      21.50,    22.83,    20.69,    20.69,    21.80
       29.0,      22.15,    23.57,    21.28,    21.28,    22.47
       30.0,      22.80,    24.30,    21.88,    21.88,    23.13
       31.0,      23.44,    25.03,    22.47,    22.47,    23.79
       32.0,      24.08,    25.75,    23.05,    23.05,    24.45
       33.0,      24.71,    26.48,    23.64,    23.64,    25.10
       34.0,      25.35,    27.20,    24.22,    24.22,    25.75
       35.0,      25.98,    27.92,    24.79,    24.79,    26.40
       36.0,      26.60,    28.64,    25.37,    25.37,    27.04
       37.0,      27.23,    29.36,    25.94,    25.94,    27.68
       38.0,      27.85,    30.07,    26.50,    26.50,    28.32
       39.0,      28.47,    30.78,    27.07,    27.07,    28.96
       40.0,      29.09,    31.50,    27.63,    27.63,    29.59
       41.0,      29.70,    32.21,    28.19,    28.19,    30.23
       42.0,      30.33,    32.93,    28.75,    28.75,    30.88
       43.0,      30.98,    33.70,    29.34,    29.32,    31.56
       44.0,      31.68,    34.53,    29.96,    29.93,    32.29
       45.0,      32.44,    35.46,    30.64,    30.60,    33.08
       46.0,      33.28,    36.48,    31.37,    31.32,    33.95
       47.0,      34.17,    37.57,    32.14,    32.10,    34.86
       48.0,      35.08,    38.69,    32.93,    32.91,    35.78
       49.0,      35.97,    39.78,    33.70,    33.71,    36.68
       50.0,      36.78,    40.76,    34.42,    34.46,    37.49
       51.0,      37.48,    41.58,    35.04,    35.10,    38.18
       52.0,      38.01,    42.17,    35.53,    35.62,    38.72
       53.0,      38.36,    42.53,    35.87,    35.96,    39.07
       54.0,      38.52,    42.63,    36.05,    36.13,    39.25
       55.0,      38.50,    42.51,    36.10,    36.13,    39.27
       56.0,      38.34,    42.21,    36.02,    35.99,    39.15
       57.0,      38.08,    41.77,    35.86,    35.74,    38.94
       58.0,      37.75,    41.27,    35.65,    35.42,    38.68
       59.0,      37.40,    40.73,    35.41,    35.06,    38.39
       60.0,      37.05,    40.21,    35.18,    34.71,    38.10
       61.0,      36.72,    39.72,    34.95,    34.36,    37.83
       62.0,      36.41,    39.26,    34.75,    34.05,    37.57
       63.0,      36.11,    38.83,    34.55,    33.75,    37.33
       64.0,      35.83,    38.42,    34.37,    33.46,    37.09
       65.0,      35.56,    38.02,    34.18,    33.19,    36.85
       66.0,      35.29,    37.63,    34.00,    32.92,    36.61
       67.0,      35.03,    37.26,    33.83,    32.66,    36.38
       68.0,      34.78,    36.89,    33.66,    32.40,    36.15
       69.0,      34.53,    36.54,    33.49,    32.15,    35.93
       70.0,      34.28,    36.20,    33.32,    31.90,    35.70
       71.0,      34.04,    35.87,    33.16,    31.66,    35.48
       72.0,      33.81,    35.55,    33.00,    31.43,    35.27
       73.0,      33.58,    35.24,    32.84,    31.20,    35.05
       74.0,      33.36,    34.94,    32.68,    30.97,    34.84
       75.0,      33.14,    34.65,    32.53,    30.75,    34.63
       76.0,      32.93,    34.37,    32.38,    30.54,    34.42
       77.0,      32.72,    34.09,    32.23,    30.32,    34.21
       78.0,      32.51,    33.83,    32.09,    30.12,    34.01
       79.0,      32.31,    33.57,    31.94,    29.91,    33.81
       80.0,      32.11,    33.31,    31.80,    29.71,    33.61
       81.0,      31.92,    33.07,    31.66,    29.52,    33.42
       82.0,      31.73,    32.83,    31.53,    29.33,    33.22
       83.0,      31.54,    32.60,    31.39,    29.14,    33.03
       84.0,      31.36,    32.37,    31.26,    28.96,    32.84
       85.0,      31.18,    32.15,    31.13,    28.78,    32.66
       86.0,      31.00,    31.94,    31.00,    28.60,    32.47
       87.0,      30.83,    31.73,    30.87,    28.42,    32.29
       88.0,      30.66,    31.53,    30.74,    28.25,    32.11
       89.0,      30.49,    31.33,    30.62,    28.09,    31.93
       90.0,      30.33,    31.14,    30.50,    27.92,    31.75
       91.0,      30.17,    30.95,    30.38,    27.76,    31.58
       92.0,      30.01,    30.76,    30.25,    27.60,    31.41
       93.0,      29.85,    30.59,    30.14,    27.44,    31.24
       94.0,      29.70,    30.41,    30.02,    27.29,    31.07
       95.0,      29.55,    30.24,    29.90,    27.14,    30.90
       96.0,      29.40,    30.07,    29.79,    26.99,    30.74
       97.0,      29.25,    29.91,    29.67,    26.84,    30.58
       98.0,      29.11,    29.75,    29.56,    26.70,    30.42
       99.0,      28.96,    29.59,    29.45,    26.56,    30.26
      100.0,      28.82,    29.44,    29.34,    26.42,    30.10
      101.0,      28.69,    29.29,    29.23,    26.28,    29.94
      102.0,      28.55,    29.15,    29.12,    26.15,    29.79
      103.0,      28.42,    29.00,    29.01,    26.01,    29.64
      104.0,      28.29,    28.86,    28.91,    25.88,    29.49
      105.0,      28.16,    28.73,    28.80,    25.75,    29.34
      106.0,      28.03,    28.59,    28.70,    25.62,    29.19
      107.0,      27.90,    28.46,    28.60,    25.50,    29.05
      108.0,      27.78,    28.33,    28.49,    25.37,    28.90
