Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       1.87,     1.89,     1.89,     1.89,     1.81
        2.0,       3.17,     3.19,     3.19,     3.19,     3.10
        3.0,       4.30,     4.32,     4.32,     4.32,     4.25
        4.0,       5.35,     5.37,     5.37,     5.37,     5.31
        5.0,       6.34,     6.34,     6.34,     6.34,     6.31
        6.0,       7.27,     7.28,     7.28,     7.28,     7.27
        7.0,       8.17,     8.17,     8.17,     8.17,     8.19
        8.0,       9.04,     9.03,     9.03,     9.03,     9.08
        9.0,       9.89,     9.86,     9.86,     9.86,     9.95
       10.0,      10.71,    10.68,    10.68,    10.68,    10.80
       11.0,      11.51,    11.47,    11.47,    11.47,    11.63
       12.0,      12.29,    12.24,    12.24,    12.24,    12.44
       13.0,      13.06,    13.00,    13.00,    13.00,    13.23
       14.0,      13.81,    13.75,    13.75,    13.75,    14.01
       15.0,      14.55,    14.48,    14.48,    14.48,    14.78
       16.0,      15.28,    15.20,    15.20,    15.20,    15.54
       17.0,      16.00,    15.90,    15.90,    15.90,    16.29
       18.0,      16.71,    16.60,    16.60,    16.60,    17.03
       19.0,      17.40,    17.29,    17.29,    17.29,    17.75
       20.0,      18.09,    17.97,    17.97,    17.97,    18.47
       21.0,      18.77,    18.64,    18.64,    18.64,    19.18
       22.0,      19.45,    19.30,    19.30,    19.30,    19.89
       23.0,      20.11,    19.96,    19.96,    19.96,    20.58
       24.0,      20.77,    20.60,    20.60,    20.60,    21.27
       25.0,      21.42,    21.25,    21.25,    21.25,    21.96
       26.0,      22.07,    21.88,    21.88,    21.88,    22.64
       27.0,      22.71,    22.51,    22.51,    22.51,    23.31
       28.0,      23.34,    23.13,    23.13,    23.13,    23.97
       29.0,      23.97,    23.75,    23.75,    23.75,    24.63
       30.0,      24.59,    24.36,    24.36,    24.36,    25.29
       31.0,      25.22,    24.98,    24.98,    24.97,    25.94
       32.0,      25.86,    25.63,    25.63,    25.59,    26.61
       33.0,      26.55,    26.34,    26.32,    26.23,    27.30
       34.0,      27.30,    27.14,    27.07,    26.92,    28.06
       35.0,      28.12,    28.03,    27.90,    27.66,    28.89
       36.0,      29.01,    29.01,    28.79,    28.46,    29.79
       37.0,      29.95,    30.03,    29.70,    29.30,    30.75
       38.0,      30.89,    31.05,    30.61,    30.15,    31.74
       39.0,      31.79,    32.01,    31.48,    30.99,    32.69
       40.0,      32.61,    32.85,    32.24,    31.76,    33.57
       41.0,      33.29,    33.52,    32.88,    32.44,    34.32
       42.0,      33.80,    33.98,    33.35,    32.98,    34.90
       43.0,      34.14,    34.22,    33.67,    33.38,    35.30
       44.0,      34.31,    34.26,    33.83,    33.64,    35.51
       45.0,      34.32,    34.13,    33.86,    33.76,    35.55
       46.0,      34.21,    33.85,    33.78,    33.76,    35.45
