Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       1.18,     1.11,     1.23,     1.23,     1.17
        2.0,       2.18,     2.09,     2.24,     2.24,     2.16
        3.0,       3.12,     3.02,     3.18,     3.18,     3.10
        4.0,       4.03,     3.93,     4.09,     4.09,     4.01
        5.0,       4.91,     4.81,     4.96,     4.96,     4.89
        6.0,       5.76,     5.68,     5.81,     5.81,     5.75
        7.0,       6.61,     6.54,     6.65,     6.65,     6.60
        8.0,       7.43,     7.38,     7.46,     7.46,     7.43
        9.0,       8.25,     8.22,     8.27,     8.27,     8.25
       10.0,       9.06,     9.04,     9.06,     9.06,     9.06
       11.0,       9.85,     9.86,     9.84,     9.84,     9.86
       12.0,      10.64,    10.68,    10.62,    10.62,    10.65
       13.0,      11.42,    11.48,    11.38,    11.38,    11.44
       14.0,      12.19,    12.29,    12.14,    12.14,    12.22
       15.0,      12.96,    13.08,    12.89,    12.89,    12.99
       16.0,      13.72,    13.87,    13.63,    13.63,    13.76
       17.0,      14.48,    14.66,    14.37,    14.37,    14.52
       18.0,      15.23,    15.44,    15.10,    15.10,    15.28
       19.0,      15.98,    16.22,    15.82,    15.82,    16.03
       20.0,      16.72,    17.00,    16.54,    16.54,    16.78
       21.0,      17.45,    17.77,    17.26,    17.26,    17.52
       22.0,      18.19,    18.54,    17.97,    17.97,    18.26
       23.0,      18.92,    19.30,    18.68,    18.68,    19.00
       24.0,      19.64,    20.07,    19.38,    19.38,    19.73
       25.0,      20.36,    20.83,    20.08,    20.08,    20.46
       26.0,      21.08,    21.58,    20.78,    20.78,    21.19
       27.0,      21.80,    22.34,    21.47,    21.47,    21.91
       28.0,      22.51,    23.09,    22.16,    22.16,    22.63
       29.0,      23.22,    23.84,    22.85,    22.85,    23.35
       30.0,      23.93,    24.59,    23.53,    23.53,    24.07
       31.0,      24.63,    25.33,    24.21,    24.21,    24.78
       32.0,      25.33,    26.08,    24.89,    24.89,    25.49
       33.0,      26.03,    26.82,    25.56,    25.56,    26.20
       34.0,      26.73,    27.56,    26.23,    26.23,    26.90
       35.0,      27.42,    28.29,    26.90,    26.90,    27.60
       36.0,      28.12,    29.03,    27.57,    27.57,    28.30
       37.0,      28.81,    29.76,    28.23,    28.23,    29.00
       38.0,      29.49,    30.49,    28.89,    28.89,    29.70
       39.0,      30.18,    31.22,    29.55,    29.55,    30.39
       40.0,      30.86,    31.95,    30.21,    30.21,    31.09
       41.0,      31.55,    32.68,    30.86,    30.86,    31.78
       42.0,      32.24,    33.43,    31.52,    31.52,    32.49
