Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       1.98,     1.34,     1.95,     2.31,     2.31
        2.0,       4.42,     3.49,     4.42,     4.88,     4.91
        3.0,       7.16,     6.17,     7.19,     7.58,     7.73
        4.0,      10.26,     9.42,    10.30,    10.46,    10.86
        5.0,      13.83,    13.40,    13.88,    13.62,    14.41
        6.0,      17.97,    18.24,    18.04,    17.18,    18.43
        7.0,      22.72,    23.99,    22.79,    21.19,    22.92
        8.0,      28.02,    30.60,    28.09,    25.62,    27.76
        9.0,      33.68,    37.83,    33.75,    30.36,    32.77
       10.0,      39.45,    45.34,    39.51,    35.22,    37.72
       11.0,      45.02,    52.72,    45.07,    39.94,    42.33
       12.0,      50.07,    59.52,    50.12,    44.27,    46.38
       13.0,      54.35,    65.35,    54.38,    47.98,    49.67
       14.0,      57.65,    69.93,    57.67,    50.88,    52.10
       15.0,      59.88,    73.10,    59.90,    52.89,    53.65
       16.0,      61.09,    74.86,    61.09,    54.01,    54.38
       17.0,      61.37,    75.36,    61.37,    54.32,    54.43
       18.0,      60.93,    74.84,    60.93,    53.97,    53.97
       19.0,      59.99,    73.61,    59.99,    53.16,    53.20
       20.0,      58.77,    71.98,    58.78,    52.08,    52.26
       21.0,      57.46,    70.19,    57.47,    50.89,    51.28
       22.0,      56.16,    68.43,    56.19,    49.70,    50.32
       23.0,      54.93,    66.77,    54.98,    48.57,    49.41
       24.0,      53.78,    65.22,    53.84,    47.52,    48.54
       25.0,      52.68,    63.74,    52.75,    46.52,    47.69
       26.0,      51.62,    62.32,    51.71,    45.56,    46.87
       27.0,      50.59,    60.95,    50.70,    44.64,    46.07
       28.0,      49.59,    59.62,    49.72,    43.74,    45.29
       29.0,      48.63,    58.34,    48.78,    42.87,    44.53
       30.0,      47.70,    57.10,    47.87,    42.04,    43.80
       31.0,      46.80,    55.90,    46.99,    41.23,    43.08
       32.0,      45.93,    54.75,    46.14,    40.45,    42.38
       33.0,      45.08,    53.63,    45.32,    39.69,    41.70
       34.0,      44.27,    52.55,    44.53,    38.96,    41.03
       35.0,      43.48,    51.51,    43.76,    38.25,    40.39
       36.0,      42.71,    50.50,    43.02,    37.57,    39.76
       37.0,      41.97,    49.53,    42.31,    36.90,    39.15
       38.0,      41.26,    48.59,    41.62,    36.26,    38.55
       39.0,      40.56,    47.68,    40.95,    35.65,    37.97
       40.0,      39.89,    46.80,    40.30,    35.05,    37.41
       41.0,      39.24,    45.95,    39.68,    34.47,    36.86
       42.0,      38.61,    45.13,    39.07,    33.91,    36.32
       43.0,      38.00,    44.34,    38.49,    33.37,    35.80
       44.0,      37.41,    43.57,    37.92,    32.84,    35.29
       45.0,      36.83,    42.83,    37.37,    32.33,    34.80
       46.0,      36.28,    42.12,    36.84,    31.84,    34.32
       47.0,      35.74,    41.42,    36.33,    31.37,    33.85
       48.0,      35.22,    40.75,    35.84,    30.90,    33.39
       49.0,      34.72,    40.10,    35.36,    30.46,    32.95
       50.0,      34.23,    39.47,    34.89,    30.03,    32.52
       51.0,      33.75,    38.87,    34.44,    29.61,    32.10
       52.0,      33.29,    38.28,    34.01,    29.20,    31.69
       53.0,      32.85,    37.71,    33.59,    28.81,    31.29
       54.0,      32.42,    37.16,    33.18,    28.43,    30.90
       55.0,      32.00,    36.63,    32.79,    28.06,    30.52
       56.0,      31.59,    36.11,    32.40,    27.70,    30.15
       57.0,      31.20,    35.62,    32.03,    27.36,    29.79
       58.0,      30.82,    35.13,    31.67,    27.02,    29.44
       59.0,      30.45,    34.66,    31.33,    26.70,    29.10
       60.0,      30.09,    34.21,    30.99,    26.38,    28.76
       61.0,      29.74,    33.77,    30.66,    26.08,    28.44
       62.0,      29.40,    33.35,    30.35,    25.78,    28.12
       63.0,      29.07,    32.94,    30.04,    25.49,    27.81
       64.0,      28.75,    32.54,    29.74,    25.21,    27.51
       65.0,      28.44,    32.15,    29.45,    24.94,    27.22
       66.0,      28.14,    31.78,    29.17,    24.68,    26.94
       67.0,      27.85,    31.41,    28.90,    24.43,    26.66
       68.0,      27.57,    31.06,    28.63,    24.18,    26.39
       69.0,      27.29,    30.72,    28.38,    23.94,    26.13
       70.0,      27.02,    30.39,    28.13,    23.70,    25.87
       71.0,      26.76,    30.07,    27.89,    23.48,    25.62
       72.0,      26.51,    29.76,    27.65,    23.26,    25.38
       73.0,      26.26,    29.46,    27.42,    23.04,    25.14
       74.0,      26.03,    29.16,    27.20,    22.84,    24.91
