Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       3.13,     2.83,     3.17,     3.34,     3.17
        2.0,       5.39,     5.33,     5.54,     5.16,     5.54
        3.0,       7.45,     7.74,     7.71,     6.66,     7.71
        4.0,       9.45,    10.15,     9.83,     7.99,     9.81
        5.0,      11.47,    12.66,    12.01,     9.24,    11.96
        6.0,      13.59,    15.36,    14.32,    10.47,    14.22
        7.0,      15.86,    18.30,    16.79,    11.72,    16.62
        8.0,      18.25,    21.48,    19.41,    12.99,    19.13
        9.0,      20.73,    24.83,    22.10,    14.28,    21.71
       10.0,      23.20,    28.23,    24.75,    15.57,    24.25
       11.0,      25.54,    31.50,    27.24,    16.80,    26.64
       12.0,      27.65,    34.48,    29.44,    17.92,    28.77
       13.0,      29.43,    37.02,    31.24,    18.89,    30.56
       14.0,      30.80,    39.00,    32.58,    19.68,    31.92
       15.0,      31.73,    40.36,    33.43,    20.26,    32.86
       16.0,      32.24,    41.11,    33.82,    20.64,    33.37
       17.0,      32.37,    41.30,    33.82,    20.83,    33.53
       18.0,      32.20,    41.05,    33.50,    20.85,    33.40
       19.0,      31.82,    40.47,    32.98,    20.76,    33.08
       20.0,      31.32,    39.70,    32.34,    20.60,    32.65
       21.0,      30.77,    38.86,    31.67,    20.39,    32.17
       22.0,      30.23,    38.01,    31.01,    20.18,    31.70
       23.0,      29.70,    37.21,    30.39,    19.97,    31.25
       24.0,      29.21,    36.46,    29.79,    19.78,    30.81
       25.0,      28.74,    35.75,    29.22,    19.59,    30.40
       26.0,      28.28,    35.07,    28.67,    19.41,    29.98
       27.0,      27.84,    34.41,    28.14,    19.23,    29.58
       28.0,      27.41,    33.78,    27.62,    19.05,    29.18
       29.0,      26.99,    33.16,    27.12,    18.88,    28.79
       30.0,      26.58,    32.56,    26.64,    18.70,    28.41
       31.0,      26.18,    31.99,    26.17,    18.53,    28.04
       32.0,      25.79,    31.43,    25.71,    18.36,    27.67
       33.0,      25.41,    30.89,    25.27,    18.19,    27.30
       34.0,      25.05,    30.37,    24.84,    18.02,    26.95
       35.0,      24.69,    29.87,    24.43,    17.86,    26.60
       36.0,      24.34,    29.38,    24.03,    17.70,    26.25
       37.0,      24.00,    28.91,    23.64,    17.54,    25.92
       38.0,      23.67,    28.45,    23.26,    17.38,    25.59
       39.0,      23.35,    28.01,    22.89,    17.22,    25.26
