Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
      105.0,      16.01,    18.24,    17.11,    13.63,    15.07
      106.0,      15.92,    18.15,    17.02,    13.54,    14.99
      107.0,      15.84,    18.07,    16.92,    13.46,    14.92
      108.0,      15.76,    17.98,    16.82,    13.38,    14.84
      109.0,      15.68,    17.90,    16.73,    13.30,    14.77
      110.0,      15.60,    17.82,    16.64,    13.23,    14.70
      111.0,      15.52,    17.75,    16.55,    13.15,    14.63
      112.0,      15.44,    17.67,    16.46,    13.08,    14.56
      113.0,      15.37,    17.60,    16.37,    13.01,    14.50
      114.0,      15.29,    17.52,    16.29,    12.93,    14.43
      115.0,      15.22,    17.45,    16.20,    12.86,    14.37
      116.0,      15.15,    17.38,    16.12,    12.80,    14.31
      117.0,      15.08,    17.31,    16.04,    12.73,    14.25
      118.0,      15.01,    17.24,    15.96,    12.66,    14.19
      119.0,      14.95,    17.18,    15.88,    12.60,    14.14
      120.0,      14.88,    17.11,    15.80,    12.53,    14.08
      121.0,      14.82,    17.05,    15.72,    12.47,    14.03
      122.0,      14.75,    16.98,    15.65,    12.41,    13.97
      123.0,      14.69,    16.92,    15.57,    12.35,    13.92
      124.0,      14.63,    16.86,    15.50,    12.29,    13.87
      125.0,      14.57,    16.80,    15.43,    12.23,    13.82
      126.0,      14.51,    16.74,    15.36,    12.17,    13.77
      127.0,      14.45,    16.68,    15.28,    12.11,    13.72
      128.0,      14.39,    16.62,    15.21,    12.05,    13.67
      129.0,      14.33,    16.56,    15.15,    12.00,    13.63
      130.0,      14.28,    16.51,    15.08,    11.94,    13.58
      131.0,      14.22,    16.45,    15.01,    11.89,    13.53
      132.0,      14.17,    16.40,    14.94,    11.83,    13.49
      133.0,      14.11,    16.34,    14.88,    11.78,    13.45
      134.0,      14.06,    16.29,    14.81,    11.73,    13.40
      135.0,      14.00,    16.23,    14.75,    11.67,    13.36
      136.0,      13.95,    16.18,    14.69,    11.62,    13.32
      137.0,      13.90,    16.13,    14.62,    11.57,    13.28
      138.0,      13.85,    16.08,    14.56,    11.52,    13.24
      139.0,      13.80,    16.03,    14.50,    11.47,    13.20
      140.0,      13.75,    15.98,    14.44,    11.42,    13.16
      141.0,      13.70,    15.93,    14.38,    11.37,    13.12
      142.0,      13.65,    15.88,    14.32,    11.33,    13.08
      143.0,      13.60,    15.83,    14.26,    11.28,    13.04
      144.0,      13.56,    15.78,    14.20,    11.23,    13.01
      145.0,      13.51,    15.73,    14.14,    11.19,    12.97
      146.0,      13.46,    15.69,    14.09,    11.14,    12.93
      147.0,      13.42,    15.64,    14.03,    11.09,    12.90
      148.0,      13.37,    15.59,    13.97,    11.05,    12.86
      149.0,      13.32,    15.55,    13.92,    11.00,    12.83
      150.0,      13.28,    15.50,    13.86,    10.96,    12.79
      151.0,      13.23,    15.46,    13.81,    10.91,    12.76
      152.0,      13.19,    15.41,    13.75,    10.87,    12.73
      153.0,      13.15,    15.37,    13.70,    10.83,    12.69
      154.0,      13.10,    15.32,    13.64,    10.78,    12.66
      155.0,      13.06,    15.28,    13.59,    10.74,    12.63
      156.0,      13.02,    15.24,    13.54,    10.70,    12.59
      157.0,      12.97,    15.19,    13.49,    10.66,    12.56
      158.0,      12.93,    15.15,    13.43,    10.62,    12.53
      159.0,      12.89,    15.11,    13.38,    10.57,    12.50
      160.0,      12.85,    15.07,    13.33,    10.53,    12.47
      161.0,      12.81,    15.02,    13.28,    10.49,    12.44
      162.0,      12.77,    14.98,    13.23,    10.45,    12.41
      163.0,      12.73,    14.94,    13.18,    10.41,    12.38
      164.0,      12.69,    14.90,    13.13,    10.37,    12.34
      165.0,      12.65,    14.86,    13.08,    10.33,    12.31
      166.0,      12.61,    14.82,    13.03,    10.29,    12.29
      167.0,      12.57,    14.78,    12.98,    10.25,    12.26
      168.0,      12.53,    14.74,    12.93,    10.22,    12.23
      169.0,      12.49,    14.70,    12.88,    10.18,    12.20
      170.0,      12.45,    14.66,    12.83,    10.14,    12.17
      171.0,      12.41,    14.62,    12.79,    10.10,    12.14
      172.0,      12.37,    14.58,    12.74,    10.06,    12.11
      173.0,      12.34,    14.54,    12.69,    10.03,    12.08
      174.0,      12.30,    14.50,    12.64,     9.99,    12.06
      175.0,      12.26,    14.47,    12.60,     9.95,    12.03
      176.0,      12.22,    14.43,    12.55,     9.91,    12.00
      177.0,      12.19,    14.39,    12.50,     9.88,    11.97
      178.0,      12.15,    14.35,    12.46,     9.84,    11.94
      179.0,      12.11,    14.31,    12.41,     9.81,    11.92
      180.0,      12.08,    14.28,    12.37,     9.77,    11.89
      181.0,      12.04,    14.24,    12.32,     9.73,    11.86
      182.0,      12.00,    14.20,    12.28,     9.70,    11.84
      183.0,      11.97,    14.16,    12.23,     9.66,    11.81
      184.0,      11.93,    14.13,    12.19,     9.63,    11.78
      185.0,      11.90,    14.09,    12.14,     9.59,    11.76
      186.0,      11.86,    14.05,    12.10,     9.56,    11.73
      187.0,      11.82,    14.02,    12.05,     9.52,    11.71
      188.0,      11.79,    13.98,    12.01,     9.49,    11.68
      189.0,      11.75,    13.94,    11.97,     9.45,    11.65
      190.0,      11.72,    13.91,    11.92,     9.42,    11.63
      191.0,      11.69,    13.87,    11.88,     9.38,    11.60
      192.0,      11.65,    13.84,    11.84,     9.35,    11.58
      193.0,      11.62,    13.80,    11.80,     9.32,    11.55
      194.0,      11.58,    13.77,    11.75,     9.28,    11.53
      195.0,      11.55,    13.73,    11.71,     9.25,    11.50
      196.0,      11.51,    13.70,    11.67,     9.22,    11.48
      197.0,      11.48,    13.66,    11.63,     9.18,    11.45
      198.0,      11.45,    13.63,    11.58,     9.15,    11.43
      199.0,      11.41,    13.59,    11.54,     9.12,    11.40
      200.0,      11.38,    13.56,    11.50,     9.09,    11.38
      201.0,      11.35,    13.52,    11.46,     9.05,    11.35
      202.0,      11.31,    13.49,    11.42,     9.02,    11.33
      203.0,      11.28,    13.45,    11.38,     8.99,    11.30
      204.0,      11.25,    13.42,    11.34,     8.96,    11.28
      205.0,      11.22,    13.38,    11.30,     8.92,    11.25
      206.0,      11.18,    13.35,    11.26,     8.89,    11.23
      207.0,      11.15,    13.32,    11.22,     8.86,    11.21
      208.0,      11.12,    13.28,    11.18,     8.83,    11.18
      209.0,      11.09,    13.25,    11.14,     8.80,    11.16
      210.0,      11.05,    13.22,    11.10,     8.77,    11.13
      211.0,      11.02,    13.18,    11.06,     8.74,    11.11
      212.0,      10.99,    13.15,    11.02,     8.70,    11.09
      213.0,      10.96,    13.12,    10.98,     8.67,    11.06
      214.0,      10.93,    13.08,    10.94,     8.64,    11.04
      215.0,      10.90,    13.05,    10.90,     8.61,    11.02
      216.0,      10.86,    13.02,    10.86,     8.58,    10.99
      217.0,      10.83,    12.98,    10.82,     8.55,    10.97
      218.0,      10.80,    12.95,    10.79,     8.52,    10.95
      219.0,      10.77,    12.92,    10.75,     8.49,    10.92
      220.0,      10.74,    12.89,    10.71,     8.46,    10.90
      221.0,      10.71,    12.85,    10.67,     8.43,    10.88
      222.0,      10.68,    12.82,    10.63,     8.40,    10.85
      223.0,      10.65,    12.79,    10.60,     8.37,    10.83
      224.0,      10.62,    12.76,    10.56,     8.34,    10.81
      225.0,      10.59,    12.73,    10.52,     8.31,    10.79
      226.0,      10.56,    12.69,    10.48,     8.28,    10.76
      227.0,      10.53,    12.66,    10.45,     8.25,    10.74
      228.0,      10.50,    12.63,    10.41,     8.23,    10.72
      229.0,      10.47,    12.60,    10.37,     8.20,    10.70
