Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       1.46,     1.55,     1.38,     1.38,     1.55
        2.0,       2.66,     2.77,     2.56,     2.56,     2.77
        3.0,       3.78,     3.89,     3.68,     3.68,     3.89
        4.0,       4.85,     4.95,     4.76,     4.76,     4.95
        5.0,       5.89,     5.97,     5.81,     5.81,     5.97
        6.0,       6.90,     6.96,     6.83,     6.83,     6.96
        7.0,       7.88,     7.92,     7.84,     7.84,     7.92
        8.0,       8.85,     8.86,     8.84,     8.84,     8.86
        9.0,       9.80,     9.78,     9.82,     9.82,     9.78
       10.0,      10.74,    10.68,    10.79,    10.79,    10.68
       11.0,      11.66,    11.57,    11.75,    11.75,    11.57
       12.0,      12.58,    12.45,    12.70,    12.70,    12.45
       13.0,      13.48,    13.31,    13.64,    13.64,    13.31
       14.0,      14.37,    14.17,    14.58,    14.58,    14.17
       15.0,      15.26,    15.01,    15.51,    15.51,    15.01
       16.0,      16.14,    15.85,    16.43,    16.43,    15.85
       17.0,      17.01,    16.68,    17.34,    17.34,    16.68
       18.0,      17.87,    17.50,    18.25,    18.25,    17.50
       19.0,      18.73,    18.31,    19.15,    19.15,    18.31
       20.0,      19.58,    19.11,    20.05,    20.05,    19.11
       21.0,      20.43,    19.91,    20.95,    20.95,    19.91
       22.0,      21.27,    20.70,    21.84,    21.84,    20.70
       23.0,      22.11,    21.49,    22.72,    22.72,    21.49
       24.0,      22.94,    22.27,    23.60,    23.60,    22.27
       25.0,      23.76,    23.05,    24.48,    24.48,    23.05
       26.0,      24.59,    23.82,    25.35,    25.35,    23.82
       27.0,      25.40,    24.59,    26.22,    26.22,    24.59
       28.0,      26.22,    25.35,    27.09,    27.09,    25.35
       29.0,      27.03,    26.10,    27.96,    27.96,    26.10
       30.0,      27.84,    26.86,    28.82,    28.82,    26.86
       31.0,      28.64,    27.62,    29.67,    29.67,    27.61
       32.0,      29.46,    28.43,    30.54,    30.53,    28.36
       33.0,      30.32,    29.33,    31.45,    31.39,    29.13
       34.0,      31.25,    30.35,    32.43,    32.29,    29.94
       35.0,      32.27,    31.52,    33.51,    33.25,    30.81
       36.0,      33.39,    32.81,    34.71,    34.29,    31.74
       37.0,      34.59,    34.19,    36.01,    35.42,    32.73
       38.0,      35.82,    35.57,    37.36,    36.61,    33.76
       39.0,      37.04,    36.87,    38.69,    37.82,    34.77
       40.0,      38.17,    37.99,    39.94,    39.01,    35.74
       41.0,      39.15,    38.87,    41.01,    40.09,    36.61
       42.0,      39.92,    39.44,    41.86,    41.02,    37.35
       43.0,      40.45,    39.70,    42.44,    41.74,    37.92
