Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       1.50,     1.58,     1.42,     1.42,     1.58
        2.0,       2.71,     2.80,     2.62,     2.62,     2.80
        3.0,       3.83,     3.93,     3.74,     3.74,     3.93
        4.0,       4.90,     4.99,     4.82,     4.82,     4.99
        5.0,       5.93,     6.00,     5.86,     5.86,     6.00
        6.0,       6.93,     6.98,     6.88,     6.88,     6.98
        7.0,       7.91,     7.94,     7.88,     7.88,     7.94
        8.0,       8.87,     8.87,     8.86,     8.86,     8.87
        9.0,       9.81,     9.78,     9.83,     9.83,     9.78
       10.0,      10.73,    10.68,    10.79,    10.79,    10.68
       11.0,      11.64,    11.56,    11.73,    11.73,    11.56
       12.0,      12.54,    12.42,    12.67,    12.67,    12.42
       13.0,      13.43,    13.27,    13.59,    13.59,    13.27
       14.0,      14.31,    14.12,    14.51,    14.51,    14.12
       15.0,      15.18,    14.95,    15.42,    15.42,    14.95
       16.0,      16.05,    15.77,    16.32,    16.32,    15.77
       17.0,      16.90,    16.59,    17.21,    17.21,    16.59
       18.0,      17.75,    17.39,    18.10,    18.10,    17.39
       19.0,      18.59,    18.19,    18.98,    18.98,    18.19
       20.0,      19.42,    18.98,    19.86,    19.86,    18.98
       21.0,      20.25,    19.77,    20.73,    20.73,    19.77
       22.0,      21.07,    20.55,    21.60,    21.60,    20.55
       23.0,      21.89,    21.32,    22.46,    22.46,    21.32
       24.0,      22.70,    22.09,    23.32,    23.32,    22.09
       25.0,      23.51,    22.85,    24.17,    24.17,    22.85
       26.0,      24.31,    23.61,    25.02,    25.02,    23.61
       27.0,      25.11,    24.36,    25.87,    25.87,    24.36
       28.0,      25.91,    25.10,    26.71,    26.71,    25.10
       29.0,      26.70,    25.85,    27.55,    27.55,    25.85
       30.0,      27.48,    26.59,    28.38,    28.38,    26.59
       31.0,      28.27,    27.33,    29.22,    29.21,    27.32
       32.0,      29.07,    28.12,    30.08,    30.04,    28.06
       33.0,      29.91,    28.98,    30.99,    30.88,    28.81
       34.0,      30.82,    29.95,    31.98,    31.75,    29.61
       35.0,      31.81,    31.04,    33.08,    32.67,    30.46
       36.0,      32.89,    32.25,    34.27,    33.68,    31.38
       37.0,      34.04,    33.54,    35.53,    34.76,    32.35
       38.0,      35.22,    34.82,    36.82,    35.90,    33.35
       39.0,      36.38,    36.04,    38.06,    37.06,    34.34
       40.0,      37.45,    37.11,    39.20,    38.19,    35.28
       41.0,      38.37,    37.96,    40.16,    39.23,    36.13
       42.0,      39.11,    38.54,    40.92,    40.13,    36.85
       43.0,      39.63,    38.84,    41.43,    40.82,    37.41
       44.0,      39.92,    38.87,    41.71,    41.30,    37.80
       45.0,      40.00,    38.66,    41.77,    41.56,    38.03
       46.0,      39.91,    38.27,    41.65,    41.61,    38.12
       47.0,      39.68,    37.74,    41.40,    41.48,    38.10
       48.0,      39.37,    37.16,    41.07,    41.23,    38.00
       49.0,      39.01,    36.55,    40.72,    40.91,    37.87
       50.0,      38.65,    35.96,    40.36,    40.55,    37.72
       51.0,      38.29,    35.39,    40.01,    40.19,    37.58
       52.0,      37.96,    34.86,    39.68,    39.86,    37.45
       53.0,      37.65,    34.35,    39.36,    39.54,    37.33
