Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       1.03,     0.74,     1.20,     1.25,     0.93
        2.0,       1.84,     1.46,     2.06,     2.13,     1.73
        3.0,       2.59,     2.16,     2.83,     2.90,     2.48
        4.0,       3.31,     2.86,     3.55,     3.61,     3.20
        5.0,       4.00,     3.56,     4.24,     4.29,     3.90
        6.0,       4.66,     4.25,     4.89,     4.93,     4.59
        7.0,       5.32,     4.94,     5.52,     5.55,     5.26
        8.0,       5.96,     5.62,     6.13,     6.14,     5.92
        9.0,       6.58,     6.31,     6.72,     6.72,     6.58
       10.0,       7.20,     6.99,     7.31,     7.29,     7.22
       11.0,       7.81,     7.67,     7.87,     7.84,     7.86
       12.0,       8.41,     8.35,     8.43,     8.38,     8.49
       13.0,       9.01,     9.02,     8.98,     8.91,     9.12
       14.0,       9.60,     9.70,     9.52,     9.43,     9.74
       15.0,      10.18,    10.37,    10.05,     9.94,    10.36
       16.0,      10.76,    11.05,    10.57,    10.44,    10.97
       17.0,      11.33,    11.72,    11.09,    10.94,    11.57
       18.0,      11.90,    12.39,    11.60,    11.43,    12.18
       19.0,      12.46,    13.06,    12.10,    11.91,    12.78
       20.0,      13.02,    13.73,    12.60,    12.39,    13.37
       21.0,      13.58,    14.40,    13.09,    12.86,    13.96
       22.0,      14.13,    15.06,    13.58,    13.32,    14.55
       23.0,      14.68,    15.73,    14.06,    13.79,    15.14
       24.0,      15.23,    16.39,    14.54,    14.24,    15.72
       25.0,      15.77,    17.06,    15.01,    14.69,    16.30
       26.0,      16.31,    17.72,    15.48,    15.14,    16.88
       27.0,      16.85,    18.39,    15.95,    15.59,    17.46
       28.0,      17.38,    19.05,    16.41,    16.03,    18.03
       29.0,      17.91,    19.71,    16.87,    16.46,    18.60
       30.0,      18.44,    20.37,    17.33,    16.90,    19.17
       31.0,      18.97,    21.04,    17.78,    17.33,    19.74
       32.0,      19.50,    21.70,    18.23,    17.75,    20.30
       33.0,      20.02,    22.36,    18.68,    18.17,    20.87
       34.0,      20.54,    23.02,    19.12,    18.59,    21.43
       35.0,      21.06,    23.67,    19.56,    19.01,    21.99
       36.0,      21.58,    24.33,    20.00,    19.43,    22.54
       37.0,      22.09,    24.99,    20.43,    19.84,    23.10
       38.0,      22.60,    25.65,    20.87,    20.25,    23.65
       39.0,      23.12,    26.31,    21.30,    20.65,    24.21
       40.0,      23.63,    26.96,    21.73,    21.06,    24.76
       41.0,      24.13,    27.62,    22.15,    21.46,    25.31
       42.0,      24.64,    28.27,    22.58,    21.86,    25.85
       43.0,      25.15,    28.93,    23.00,    22.26,    26.40
       44.0,      25.65,    29.58,    23.42,    22.65,    26.94
       45.0,      26.15,    30.24,    23.83,    23.04,    27.49
       46.0,      26.65,    30.89,    24.25,    23.44,    28.03
       47.0,      27.15,    31.55,    24.66,    23.82,    28.57
       48.0,      27.65,    32.20,    25.07,    24.21,    29.11
       49.0,      28.15,    32.85,    25.48,    24.60,    29.65
       50.0,      28.64,    33.51,    25.89,    24.98,    30.19
       51.0,      29.14,    34.16,    26.30,    25.36,    30.72
       52.0,      29.63,    34.81,    26.70,    25.74,    31.26
       53.0,      30.12,    35.46,    27.11,    26.12,    31.79
       54.0,      30.61,    36.11,    27.51,    26.50,    32.32
       55.0,      31.10,    36.77,    27.91,    26.87,    32.85
       56.0,      31.59,    37.42,    28.31,    27.24,    33.38
       57.0,      32.08,    38.07,    28.71,    27.62,    33.91
       58.0,      32.58,    38.73,    29.13,    27.99,    34.45
       59.0,      33.10,    39.43,    29.59,    28.36,    35.01
       60.0,      33.66,    40.20,    30.08,    28.75,    35.61
       61.0,      34.28,    41.05,    30.61,    29.16,    36.28
       62.0,      34.95,    42.00,    31.18,    29.61,    37.01
       63.0,      35.66,    43.02,    31.76,    30.07,    37.80
       64.0,      36.39,    44.06,    32.32,    30.56,    38.60
       65.0,      37.08,    45.06,    32.85,    31.05,    39.38
       66.0,      37.71,    45.96,    33.30,    31.50,    40.09
       67.0,      38.23,    46.68,    33.67,    31.91,    40.67
       68.0,      38.61,    47.17,    33.93,    32.24,    41.08
       69.0,      38.82,    47.41,    34.08,    32.48,    41.31
       70.0,      38.88,    47.39,    34.14,    32.62,    41.35
       71.0,      38.78,    47.14,    34.11,    32.67,    41.22
       72.0,      38.57,    46.70,    34.02,    32.63,    40.94
       73.0,      38.27,    46.13,    33.89,    32.52,    40.56
       74.0,      37.93,    45.49,    33.74,    32.37,    40.12
       75.0,      37.57,    44.82,    33.59,    32.19,    39.67
       76.0,      37.21,    44.18,    33.44,    32.01,    39.23
       77.0,      36.88,    43.57,    33.31,    31.83,    38.81
       78.0,      36.57,    43.01,    33.17,    31.67,    38.43
       79.0,      36.28,    42.48,    33.04,    31.52,    38.06
       80.0,      36.00,    41.98,    32.91,    31.38,    37.72
       81.0,      35.72,    41.49,    32.78,    31.24,    37.38
       82.0,      35.46,    41.01,    32.65,    31.10,    37.06
       83.0,      35.20,    40.55,    32.53,    30.96,    36.74
       84.0,      34.94,    40.10,    32.40,    30.82,    36.44
       85.0,      34.69,    39.67,    32.27,    30.69,    36.14
       86.0,      34.45,    39.24,    32.15,    30.55,    35.85
       87.0,      34.21,    38.83,    32.03,    30.41,    35.56
       88.0,      33.98,    38.44,    31.90,    30.28,    35.29
       89.0,      33.75,    38.05,    31.78,    30.14,    35.02
       90.0,      33.52,    37.67,    31.66,    30.01,    34.76
       91.0,      33.30,    37.31,    31.53,    29.87,    34.50
       92.0,      33.09,    36.95,    31.41,    29.74,    34.26
       93.0,      32.88,    36.61,    31.29,    29.61,    34.01
       94.0,      32.67,    36.27,    31.17,    29.48,    33.78
       95.0,      32.47,    35.94,    31.05,    29.34,    33.55
       96.0,      32.27,    35.63,    30.94,    29.21,    33.32
       97.0,      32.08,    35.32,    30.82,    29.08,    33.10
       98.0,      31.89,    35.02,    30.70,    28.95,    32.89
       99.0,      31.70,    34.72,    30.59,    28.82,    32.68
      100.0,      31.52,    34.44,    30.47,    28.70,    32.47
      101.0,      31.34,    34.16,    30.36,    28.57,    32.27
      102.0,      31.16,    33.89,    30.24,    28.44,    32.07
      103.0,      30.99,    33.63,    30.13,    28.31,    31.88
      104.0,      30.82,    33.37,    30.02,    28.19,    31.69
      105.0,      30.65,    33.12,    29.90,    28.06,    31.51
      106.0,      30.48,    32.87,    29.79,    27.94,    31.33
      107.0,      30.32,    32.64,    29.68,    27.81,    31.15
      108.0,      30.16,    32.40,    29.57,    27.69,    30.98
      109.0,      30.00,    32.18,    29.46,    27.56,    30.81
      110.0,      29.85,    31.95,    29.35,    27.44,    30.64
      111.0,      29.70,    31.74,    29.25,    27.32,    30.48
      112.0,      29.54,    31.53,    29.14,    27.20,    30.32
      113.0,      29.40,    31.32,    29.03,    27.08,    30.16
      114.0,      29.25,    31.12,    28.92,    26.95,    30.01
      115.0,      29.11,    30.92,    28.82,    26.83,    29.85
      116.0,      28.97,    30.73,    28.71,    26.71,    29.71
      117.0,      28.83,    30.54,    28.61,    26.60,    29.56
      118.0,      28.69,    30.35,    28.50,    26.48,    29.41
      119.0,      28.55,    30.17,    28.40,    26.36,    29.27
      120.0,      28.42,    30.00,    28.30,    26.24,    29.13
      121.0,      28.28,    29.82,    28.20,    26.12,    29.00
      122.0,      28.15,    29.65,    28.09,    26.01,    28.86
      123.0,      28.03,    29.49,    27.99,    25.89,    28.73
      124.0,      27.90,    29.33,    27.89,    25.78,    28.60
      125.0,      27.77,    29.17,    27.79,    25.66,    28.47
      126.0,      27.65,    29.01,    27.69,    25.55,    28.34
      127.0,      27.52,    28.86,    27.60,    25.43,    28.21
      128.0,      27.40,    28.71,    27.50,    25.32,    28.09
      129.0,      27.28,    28.56,    27.40,    25.21,    27.97
      130.0,      27.16,    28.41,    27.30,    25.09,    27.84
      131.0,      27.05,    28.27,    27.21,    24.98,    27.73
      132.0,      26.93,    28.13,    27.11,    24.87,    27.61
      133.0,      26.81,    27.99,    27.02,    24.76,    27.49
      134.0,      26.70,    27.86,    26.92,    24.65,    27.38
      135.0,      26.59,    27.72,    26.83,    24.54,    27.26
      136.0,      26.48,    27.59,    26.73,    24.43,    27.15
      137.0,      26.37,    27.47,    26.64,    24.32,    27.04
      138.0,      26.26,    27.34,    26.55,    24.21,    26.93
      139.0,      26.15,    27.22,    26.45,    24.11,    26.82
      140.0,      26.04,    27.09,    26.36,    24.00,    26.71
      141.0,      25.94,    26.97,    26.27,    23.89,    26.61
      142.0,      25.83,    26.85,    26.18,    23.78,    26.50
      143.0,      25.73,    26.74,    26.09,    23.68,    26.40
      144.0,      25.62,    26.62,    26.00,    23.57,    26.30
      145.0,      25.52,    26.51,    25.91,    23.47,    26.19
      146.0,      25.42,    26.40,    25.82,    23.36,    26.09
      147.0,      25.32,    26.29,    25.74,    23.26,    25.99
      148.0,      25.22,    26.18,    25.65,    23.16,    25.89
      149.0,      25.12,    26.07,    25.56,    23.05,    25.80
      150.0,      25.02,    25.96,    25.47,    22.95,    25.70
      151.0,      24.92,    25.86,    25.39,    22.85,    25.60
      152.0,      24.83,    25.76,    25.30,    22.75,    25.51
      153.0,      24.73,    25.65,    25.22,    22.64,    25.41
      154.0,      24.64,    25.55,    25.13,    22.54,    25.32
      155.0,      24.54,    25.45,    25.05,    22.44,    25.22
      156.0,      24.45,    25.36,    24.96,    22.34,    25.13
      157.0,      24.36,    25.26,    24.88,    22.24,    25.04
      158.0,      24.26,    25.16,    24.80,    22.14,    24.95
      159.0,      24.17,    25.07,    24.72,    22.05,    24.86
      160.0,      24.08,    24.97,    24.63,    21.95,    24.77
      161.0,      23.99,    24.88,    24.55,    21.85,    24.68
      162.0,      23.90,    24.79,    24.47,    21.75,    24.59
      163.0,      23.81,    24.70,    24.39,    21.65,    24.50
      164.0,      23.72,    24.61,    24.31,    21.56,    24.41
      165.0,      23.64,    24.52,    24.23,    21.46,    24.33
      166.0,      23.55,    24.43,    24.15,    21.37,    24.24
      167.0,      23.46,    24.34,    24.07,    21.27,    24.16
      168.0,      23.37,    24.26,    24.00,    21.18,    24.07
      169.0,      23.29,    24.17,    23.92,    21.08,    23.99
      170.0,      23.20,    24.09,    23.84,    20.99,    23.90
      171.0,      23.12,    24.00,    23.76,    20.89,    23.82
      172.0,      23.04,    23.92,    23.69,    20.80,    23.74
      173.0,      22.95,    23.83,    23.61,    20.71,    23.65
      174.0,      22.87,    23.75,    23.53,    20.62,    23.57
      175.0,      22.79,    23.67,    23.46,    20.53,    23.49
      176.0,      22.70,    23.59,    23.38,    20.43,    23.41
      177.0,      22.62,    23.51,    23.31,    20.34,    23.33
      178.0,      22.54,    23.43,    23.24,    20.25,    23.25
      179.0,      22.46,    23.35,    23.16,    20.16,    23.17
      180.0,      22.38,    23.27,    23.09,    20.07,    23.09
      181.0,      22.30,    23.20,    23.02,    19.98,    23.01
      182.0,      22.22,    23.12,    22.94,    19.89,    22.93
      183.0,      22.14,    23.04,    22.87,    19.80,    22.85
      184.0,      22.06,    22.97,    22.80,    19.72,    22.77
      185.0,      21.99,    22.89,    22.73,    19.63,    22.70
      186.0,      21.91,    22.82,    22.66,    19.54,    22.62
      187.0,      21.83,    22.74,    22.59,    19.45,    22.54
      188.0,      21.75,    22.67,    22.52,    19.37,    22.47
      189.0,      21.68,    22.59,    22.45,    19.28,    22.39
      190.0,      21.60,    22.52,    22.38,    19.20,    22.31
      191.0,      21.53,    22.45,    22.31,    19.11,    22.24
      192.0,      21.45,    22.38,    22.24,    19.02,    22.16
      193.0,      21.38,    22.30,    22.17,    18.94,    22.09
      194.0,      21.30,    22.23,    22.10,    18.86,    22.02
      195.0,      21.23,    22.16,    22.04,    18.77,    21.94
      196.0,      21.15,    22.09,    21.97,    18.69,    21.87
      197.0,      21.08,    22.02,    21.90,    18.60,    21.80
      198.0,      21.01,    21.95,    21.84,    18.52,    21.72
      199.0,      20.94,    21.88,    21.77,    18.44,    21.65
      200.0,      20.86,    21.81,    21.70,    18.36,    21.58
      201.0,      20.79,    21.75,    21.64,    18.28,    21.51
      202.0,      20.72,    21.68,    21.57,    18.19,    21.43
      203.0,      20.65,    21.61,    21.51,    18.11,    21.36
      204.0,      20.58,    21.54,    21.44,    18.03,    21.29
      205.0,      20.51,    21.48,    21.38,    17.95,    21.22
      206.0,      20.44,    21.41,    21.32,    17.87,    21.15
      207.0,      20.37,    21.34,    21.25,    17.79,    21.08
      208.0,      20.30,    21.28,    21.19,    17.71,    21.01
      209.0,      20.23,    21.21,    21.13,    17.63,    20.94
      210.0,      20.16,    21.15,    21.07,    17.56,    20.87
      211.0,      20.09,    21.08,    21.00,    17.48,    20.80
      212.0,      20.02,    21.02,    20.94,    17.40,    20.73
      213.0,      19.95,    20.95,    20.88,    17.32,    20.66
      214.0,      19.89,    20.89,    20.82,    17.25,    20.60
      215.0,      19.82,    20.82,    20.76,    17.17,    20.53
      216.0,      19.75,    20.76,    20.70,    17.09,    20.46
      217.0,      19.69,    20.70,    20.64,    17.02,    20.39
      218.0,      19.62,    20.63,    20.58,    16.94,    20.33
      219.0,      19.55,    20.57,    20.52,    16.87,    20.26
      220.0,      19.49,    20.51,    20.46,    16.79,    20.19
      221.0,      19.42,    20.45,    20.40,    16.72,    20.13
      222.0,      19.36,    20.38,    20.34,    16.64,    20.06
      223.0,      19.29,    20.32,    20.29,    16.57,    19.99
      224.0,      19.23,    20.26,    20.23,    16.49,    19.93
      225.0,      19.16,    20.20,    20.17,    16.42,    19.86
      226.0,      19.10,    20.14,    20.11,    16.35,    19.80
      227.0,      19.03,    20.08,    20.06,    16.27,    19.73
      228.0,      18.97,    20.02,    20.00,    16.20,    19.67
      229.0,      18.91,    19.96,    19.94,    16.13,    19.60
      230.0,      18.84,    19.90,    19.89,    16.06,    19.54
      231.0,      18.78,    19.84,    19.83,    15.99,    19.47
      232.0,      18.72,    19.78,    19.78,    15.91,    19.41
      233.0,      18.66,    19.72,    19.72,    15.84,    19.35
      234.0,      18.60,    19.66,    19.67,    15.77,    19.28
      235.0,      18.53,    19.60,    19.61,    15.70,    19.22
      236.0,      18.47,    19.54,    19.56,    15.63,    19.16
      237.0,      18.41,    19.48,    19.50,    15.56,    19.09
      238.0,      18.35,    19.42,    19.45,    15.49,    19.03
      239.0,      18.29,    19.37,    19.40,    15.43,    18.97
      240.0,      18.23,    19.31,    19.34,    15.36,    18.91
      241.0,      18.17,    19.25,    19.29,    15.29,    18.84
      242.0,      18.11,    19.19,    19.24,    15.22,    18.78
      243.0,      18.05,    19.14,    19.19,    15.15,    18.72
      244.0,      17.99,    19.08,    19.13,    15.09,    18.66
      245.0,      17.93,    19.02,    19.08,    15.02,    18.60
      246.0,      17.87,    18.97,    19.03,    14.95,    18.54
      247.0,      17.81,    18.91,    18.98,    14.88,    18.48
      248.0,      17.75,    18.85,    18.93,    14.82,    18.42
      249.0,      17.70,    18.80,    18.88,    14.75,    18.36
      250.0,      17.64,    18.74,    18.83,    14.69,    18.30
      251.0,      17.58,    18.69,    18.78,    14.62,    18.24
      252.0,      17.52,    18.63,    18.73,    14.56,    18.18
      253.0,      17.47,    18.58,    18.68,    14.49,    18.12
      254.0,      17.41,    18.52,    18.63,    14.43,    18.06
      255.0,      17.35,    18.47,    18.58,    14.36,    18.00
      256.0,      17.29,    18.41,    18.53,    14.30,    17.94
      257.0,      17.24,    18.36,    18.48,    14.24,    17.88
      258.0,      17.18,    18.30,    18.43,    14.17,    17.82
      259.0,      17.13,    18.25,    18.38,    14.11,    17.77
      260.0,      17.07,    18.19,    18.34,    14.05,    17.71
      261.0,      17.02,    18.14,    18.29,    13.98,    17.65
      262.0,      16.96,    18.09,    18.24,    13.92,    17.59
      263.0,      16.91,    18.03,    18.19,    13.86,    17.54
      264.0,      16.85,    17.98,    18.15,    13.80,    17.48
      265.0,      16.80,    17.93,    18.10,    13.74,    17.42
      266.0,      16.74,    17.87,    18.05,    13.68,    17.36
      267.0,      16.69,    17.82,    18.01,    13.61,    17.31
      268.0,      16.63,    17.77,    17.96,    13.55,    17.25
      269.0,      16.58,    17.72,    17.91,    13.49,    17.19
      270.0,      16.53,    17.66,    17.87,    13.43,    17.14
      271.0,      16.47,    17.61,    17.82,    13.37,    17.08
      272.0,      16.42,    17.56,    17.78,    13.31,    17.03
      273.0,      16.37,    17.51,    17.73,    13.26,    16.97
      274.0,      16.31,    17.46,    17.69,    13.20,    16.92
      275.0,      16.26,    17.41,    17.64,    13.14,    16.86
      276.0,      16.21,    17.35,    17.60,    13.08,    16.81
      277.0,      16.16,    17.30,    17.55,    13.02,    16.75
      278.0,      16.11,    17.25,    17.51,    12.96,    16.70
      279.0,      16.05,    17.20,    17.47,    12.91,    16.64
      280.0,      16.00,    17.15,    17.42,    12.85,    16.59
      281.0,      15.95,    17.10,    17.38,    12.79,    16.53
      282.0,      15.90,    17.05,    17.34,    12.73,    16.48
      283.0,      15.85,    17.00,    17.29,    12.68,    16.43
      284.0,      15.80,    16.95,    17.25,    12.62,    16.37
      285.0,      15.75,    16.90,    17.21,    12.56,    16.32
      286.0,      15.70,    16.85,    17.17,    12.51,    16.27
      287.0,      15.65,    16.80,    17.13,    12.45,    16.21
      288.0,      15.60,    16.75,    17.08,    12.40,    16.16
      289.0,      15.55,    16.70,    17.04,    12.34,    16.11
      290.0,      15.50,    16.65,    17.00,    12.29,    16.06
      291.0,      15.45,    16.60,    16.96,    12.23,    16.00
      292.0,      15.40,    16.56,    16.92,    12.18,    15.95
      293.0,      15.35,    16.51,    16.88,    12.12,    15.90
      294.0,      15.30,    16.46,    16.84,    12.07,    15.85
      295.0,      15.25,    16.41,    16.80,    12.02,    15.80
      296.0,      15.21,    16.36,    16.76,    11.96,    15.74
      297.0,      15.16,    16.31,    16.72,    11.91,    15.69
      298.0,      15.11,    16.27,    16.68,    11.86,    15.64
      299.0,      15.06,    16.22,    16.64,    11.80,    15.59
      300.0,      15.02,    16.17,    16.60,    11.75,    15.54
      301.0,      14.97,    16.12,    16.56,    11.70,    15.49
      302.0,      14.92,    16.08,    16.52,    11.65,    15.44
      303.0,      14.87,    16.03,    16.48,    11.60,    15.39
      304.0,      14.83,    15.98,    16.44,    11.54,    15.34
      305.0,      14.78,    15.93,    16.40,    11.49,    15.29
      306.0,      14.73,    15.89,    16.37,    11.44,    15.24
      307.0,      14.69,    15.84,    16.33,    11.39,    15.19
      308.0,      14.64,    15.79,    16.29,    11.34,    15.14
      309.0,      14.60,    15.75,    16.25,    11.29,    15.09
      310.0,      14.55,    15.70,    16.21,    11.24,    15.04
      311.0,      14.50,    15.66,    16.18,    11.19,    14.99
      312.0,      14.46,    15.61,    16.14,    11.14,    14.94
      313.0,      14.41,    15.56,    16.10,    11.09,    14.89
      314.0,      14.37,    15.52,    16.07,    11.04,    14.85
      315.0,      14.32,    15.47,    16.03,    10.99,    14.80
      316.0,      14.28,    15.43,    15.99,    10.94,    14.75
      317.0,      14.23,    15.38,    15.96,    10.89,    14.70
      318.0,      14.19,    15.34,    15.92,    10.85,    14.65
      319.0,      14.15,    15.29,    15.88,    10.80,    14.61
      320.0,      14.10,    15.25,    15.85,    10.75,    14.56
      321.0,      14.06,    15.20,    15.81,    10.70,    14.51
      322.0,      14.01,    15.16,    15.78,    10.65,    14.46
      323.0,      13.97,    15.11,    15.74,    10.61,    14.42
      324.0,      13.93,    15.07,    15.71,    10.56,    14.37
      325.0,      13.88,    15.03,    15.67,    10.51,    14.32
      326.0,      13.84,    14.98,    15.64,    10.47,    14.28
      327.0,      13.80,    14.94,    15.60,    10.42,    14.23
      328.0,      13.75,    14.89,    15.57,    10.37,    14.18
      329.0,      13.71,    14.85,    15.53,    10.33,    14.14
      330.0,      13.67,    14.81,    15.50,    10.28,    14.09
