Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       2.19,     2.07,     2.27,     2.27,     2.15
        2.0,       3.44,     3.44,     3.48,     3.36,     3.49
        3.0,       4.48,     4.62,     4.46,     4.23,     4.62
        4.0,       5.41,     5.70,     5.33,     4.97,     5.65
        5.0,       6.26,     6.71,     6.11,     5.64,     6.60
        6.0,       7.06,     7.66,     6.84,     6.25,     7.49
        7.0,       7.81,     8.57,     7.51,     6.82,     8.34
        8.0,       8.53,     9.45,     8.16,     7.36,     9.15
        9.0,       9.22,    10.30,     8.77,     7.86,     9.94
       10.0,       9.88,    11.12,     9.36,     8.35,    10.69
       11.0,      10.52,    11.92,     9.92,     8.81,    11.43
       12.0,      11.14,    12.70,    10.46,     9.25,    12.14
       13.0,      11.74,    13.47,    10.99,     9.68,    12.84
       14.0,      12.33,    14.22,    11.50,    10.09,    13.52
       15.0,      12.91,    14.95,    12.00,    10.49,    14.18
       16.0,      13.47,    15.67,    12.49,    10.88,    14.84
       17.0,      14.02,    16.38,    12.96,    11.26,    15.48
       18.0,      14.56,    17.08,    13.43,    11.63,    16.10
       19.0,      15.09,    17.76,    13.88,    11.99,    16.72
       20.0,      15.61,    18.44,    14.32,    12.35,    17.33
       21.0,      16.12,    19.11,    14.76,    12.69,    17.93
       22.0,      16.63,    19.79,    15.19,    13.03,    18.52
       23.0,      17.15,    20.51,    15.61,    13.37,    19.12
       24.0,      17.70,    21.30,    16.05,    13.70,    19.75
       25.0,      18.29,    22.18,    16.51,    14.05,    20.43
       26.0,      18.94,    23.15,    17.01,    14.43,    21.17
       27.0,      19.64,    24.20,    17.54,    14.82,    21.98
       28.0,      20.37,    25.29,    18.11,    15.24,    22.83
       29.0,      21.11,    26.36,    18.70,    15.67,    23.70
       30.0,      21.81,    27.34,    19.28,    16.09,    24.54
       31.0,      22.44,    28.17,    19.81,    16.48,    25.29
       32.0,      22.96,    28.81,    20.27,    16.83,    25.93
       33.0,      23.34,    29.24,    20.63,    17.11,    26.40
       34.0,      23.58,    29.43,    20.87,    17.32,    26.70
       35.0,      23.67,    29.42,    21.00,    17.44,    26.83
       36.0,      23.63,    29.24,    21.01,    17.50,    26.79
       37.0,      23.49,    28.92,    20.92,    17.49,    26.63
       38.0,      23.28,    28.53,    20.76,    17.44,    26.38
       39.0,      23.02,    28.10,    20.56,    17.35,    26.08
       40.0,      22.75,    27.66,    20.34,    17.25,    25.75
       41.0,      22.48,    27.24,    20.11,    17.14,    25.44
       42.0,      22.23,    26.85,    19.89,    17.04,    25.13
       43.0,      21.99,    26.48,    19.68,    16.95,    24.85
       44.0,      21.76,    26.12,    19.49,    16.86,    24.59
