Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       2.53,     2.52,     2.52,     2.64,     2.42
        2.0,       4.22,     4.23,     4.23,     4.27,     4.16
        3.0,       5.71,     5.73,     5.73,     5.65,     5.72
        4.0,       7.07,     7.10,     7.10,     6.90,     7.17
        5.0,       8.34,     8.39,     8.39,     8.05,     8.54
        6.0,       9.55,     9.61,     9.61,     9.13,     9.85
        7.0,      10.71,    10.79,    10.79,    10.16,    11.12
        8.0,      11.83,    11.92,    11.92,    11.14,    12.35
        9.0,      12.91,    13.01,    13.01,    12.09,    13.54
       10.0,      13.97,    14.08,    14.08,    13.00,    14.71
       11.0,      14.99,    15.12,    15.12,    13.89,    15.85
       12.0,      16.00,    16.14,    16.14,    14.76,    16.98
       13.0,      17.02,    17.15,    17.16,    15.63,    18.14
       14.0,      18.08,    18.20,    18.21,    16.54,    19.36
       15.0,      19.21,    19.30,    19.34,    17.52,    20.68
       16.0,      20.44,    20.49,    20.57,    18.59,    22.12
       17.0,      21.77,    21.76,    21.91,    19.75,    23.66
       18.0,      23.17,    23.10,    23.33,    20.97,    25.28
       19.0,      24.59,    24.46,    24.79,    22.20,    26.90
       20.0,      25.96,    25.78,    26.22,    23.38,    28.45
       21.0,      27.21,    27.02,    27.54,    24.45,    29.85
       22.0,      28.29,    28.10,    28.67,    25.35,    31.03
       23.0,      29.13,    28.97,    29.56,    26.04,    31.95
       24.0,      29.72,    29.63,    30.18,    26.49,    32.59
       25.0,      30.06,    30.05,    30.52,    26.72,    32.94
       26.0,      30.16,    30.26,    30.59,    26.73,    33.05
       27.0,      30.06,    30.28,    30.44,    26.57,    32.95
       28.0,      29.83,    30.18,    30.13,    26.29,    32.71
       29.0,      29.51,    29.98,    29.71,    25.94,    32.39
       30.0,      29.14,    29.75,    29.24,    25.55,    32.03
       31.0,      28.78,    29.50,    28.77,    25.17,    31.67
       32.0,      28.42,    29.26,    28.31,    24.79,    31.32
       33.0,      28.08,    29.04,    27.87,    24.44,    30.98
       34.0,      27.76,    28.82,    27.45,    24.09,    30.66
       35.0,      27.44,    28.61,    27.04,    23.76,    30.34
       36.0,      27.13,    28.41,    26.65,    23.43,    30.03
       37.0,      26.83,    28.21,    26.27,    23.11,    29.72
       38.0,      26.53,    28.01,    25.89,    22.80,    29.42
       39.0,      26.24,    27.82,    25.52,    22.50,    29.12
       40.0,      25.96,    27.63,    25.17,    22.20,    28.83
       41.0,      25.68,    27.44,    24.82,    21.91,    28.55
