Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       1.68,     1.54,     1.60,     1.95,     1.63
        2.0,       3.39,     3.21,     3.30,     3.72,     3.34
        3.0,       5.12,     4.94,     5.03,     5.45,     5.07
        4.0,       6.86,     6.70,     6.79,     7.13,     6.83
        5.0,       8.61,     8.50,     8.56,     8.79,     8.59
        6.0,      10.37,    10.31,    10.35,    10.43,    10.37
        7.0,      12.13,    12.15,    12.16,    12.05,    12.16
        8.0,      13.89,    14.00,    13.97,    13.65,    13.95
        9.0,      15.66,    15.87,    15.79,    15.24,    15.75
       10.0,      17.44,    17.74,    17.63,    16.83,    17.56
       11.0,      19.22,    19.64,    19.47,    18.40,    19.38
       12.0,      21.01,    21.56,    21.31,    19.96,    21.20
       13.0,      22.84,    23.59,    23.18,    21.52,    23.07
       14.0,      24.76,    25.80,    25.10,    23.10,    25.05
       15.0,      26.86,    28.30,    27.15,    24.75,    27.23
       16.0,      29.18,    31.13,    29.41,    26.54,    29.65
       17.0,      31.77,    34.27,    31.93,    28.52,    32.35
       18.0,      34.57,    37.64,    34.70,    30.68,    35.26
       19.0,      37.51,    41.09,    37.67,    32.99,    38.29
       20.0,      40.44,    44.42,    40.69,    35.35,    41.30
       21.0,      43.21,    47.45,    43.62,    37.66,    44.11
       22.0,      45.65,    49.99,    46.28,    39.76,    46.57
       23.0,      47.63,    51.92,    48.50,    41.54,    48.54
       24.0,      49.05,    53.18,    50.17,    42.90,    49.94
       25.0,      49.88,    53.75,    51.22,    43.79,    50.75
       26.0,      50.14,    53.72,    51.65,    44.18,    51.01
       27.0,      49.91,    53.20,    51.52,    44.13,    50.79
       28.0,      49.30,    52.34,    50.93,    43.71,    50.22
       29.0,      48.44,    51.27,    50.04,    43.02,    49.42
       30.0,      47.44,    50.12,    48.96,    42.18,    48.50
       31.0,      46.42,    48.99,    47.82,    41.29,    47.57
       32.0,      45.43,    47.91,    46.71,    40.40,    46.68
       33.0,      44.50,    46.90,    45.67,    39.57,    45.84
